"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,21,0.31982857142857146,195,85.71428571428571
Chemistry,1,2001,15,0.7036133333333333,308,93.33333333333333
Chemistry,1,2002,32,0.7294312500000002,707,84.375
Chemistry,1,2003,41,0.6077682926829268,761,90.2439024390244
Chemistry,1,2004,69,0.5782768115942031,1229,92.7536231884058
Chemistry,1,2005,90,1.13463,3131,94.44444444444444
Chemistry,1,2006,70,0.9486785714285714,1959,90.0
Chemistry,1,2007,80,0.9696862500000003,2154,92.5
Chemistry,1,2008,119,1.1672336134453778,3852,93.27731092436974
Chemistry,1,2009,138,1.229191304347826,4377,94.92753623188406
Chemistry,1,2010,119,1.2478453781512606,3776,93.27731092436974
Chemistry,1,2011,137,1.1457678832116784,3791,94.16058394160584
Chemistry,1,2012,120,1.2008216666666667,3262,98.33333333333333
Chemistry,1,2013,122,1.1356688524590164,2968,95.90163934426229
Chemistry,1,2014,141,1.740958865248227,4495,98.58156028368793
Chemistry,1,2015,155,1.131410967741935,2786,95.48387096774194
Chemistry,1,2016,129,1.0104248062015506,1633,97.67441860465115
Chemistry,1,2017,153,1.313274509803922,1880,92.81045751633987
Chemistry,1,2018,139,2.447742446043165,1893,89.92805755395683
Chemistry,1,2019,195,1.5129461538461542,516,57.948717948717956
Chemistry,1,2020,40,0.75749,4,10.0
Materials Science,2,2000,1,0.1275,3,100.0
Materials Science,2,2002,5,0.72694,93,100.0
Materials Science,2,2003,5,0.568,80,80.0
Materials Science,2,2004,5,1.28852,176,100.0
Materials Science,2,2005,7,1.4501285714285717,277,100.0
Materials Science,2,2006,15,1.3183733333333334,539,100.0
Materials Science,2,2007,20,1.52054,890,95.0
Materials Science,2,2008,22,1.0723,669,100.0
Materials Science,2,2009,23,0.8405434782608697,538,95.65217391304348
Materials Science,2,2010,16,1.02853125,480,93.75
Materials Science,2,2011,18,1.3908944444444444,674,94.44444444444444
Materials Science,2,2012,19,2.1821473684210524,1048,100.0
Materials Science,2,2013,25,0.8284720000000001,476,100.0
Materials Science,2,2014,23,1.7743521739130441,888,100.0
Materials Science,2,2015,31,1.6135709677419352,933,83.87096774193549
Materials Science,2,2016,24,1.2969416666666664,464,100.0
Materials Science,2,2017,34,1.6637323529411763,661,100.0
Materials Science,2,2018,58,1.612746551724138,621,93.10344827586206
Materials Science,2,2019,69,1.8045550724637682,235,68.11594202898551
Materials Science,2,2020,18,0.8471666666666667,2,11.11111111111111
Physics,3,2000,3,0.0356,3,66.66666666666666
Physics,3,2001,1,0.1484,4,100.0
Physics,3,2002,6,0.20083333333333334,33,100.0
Physics,3,2003,8,0.3145375,65,62.5
Physics,3,2004,13,0.5173461538461539,179,84.61538461538461
Physics,3,2005,20,0.7862,404,80.0
Physics,3,2006,22,0.869940909090909,474,100.0
Physics,3,2007,40,0.53799,493,97.5
Physics,3,2008,41,0.49658048780487796,459,92.6829268292683
Physics,3,2009,52,0.6053173076923076,684,98.07692307692307
