"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,17,0.2775764705882353,137,94.11764705882352
Chemistry,1,2001,18,0.2627166666666667,138,94.44444444444444
Chemistry,1,2002,34,0.36412941176470587,375,82.35294117647058
Chemistry,1,2003,32,0.3294781250000001,322,90.625
Chemistry,1,2004,36,0.35983333333333334,399,77.77777777777779
Chemistry,1,2005,53,0.4093226415094339,665,94.33962264150944
Chemistry,1,2006,72,0.4510472222222223,958,88.88888888888889
Chemistry,1,2007,72,0.6908083333333334,1745,93.05555555555556
Chemistry,1,2008,72,0.34812638888888886,693,91.66666666666666
Chemistry,1,2009,75,0.33256133333333343,639,88.0
Chemistry,1,2010,74,0.416822972972973,800,87.83783783783784
Chemistry,1,2011,103,0.38993495145631074,970,86.40776699029125
Chemistry,1,2012,109,0.7136339449541284,1760,93.57798165137615
Chemistry,1,2013,121,0.7804355371900827,1899,85.9504132231405
Chemistry,1,2014,116,0.9636224137931033,2152,90.51724137931035
Chemistry,1,2015,135,0.885077777777778,1950,82.96296296296296
Chemistry,1,2016,129,1.7262906976744186,3056,88.37209302325581
Chemistry,1,2017,153,1.1197986928104577,1721,88.88888888888889
Chemistry,1,2018,157,1.1462853503184713,1031,85.98726114649682
Chemistry,1,2019,154,0.9477558441558445,256,53.896103896103895
Chemistry,1,2020,27,0.8416555555555556,3,11.11111111111111
Physics,2,2000,9,0.6487888888888889,164,88.88888888888889
Physics,2,2001,18,0.37316111111111105,181,88.88888888888889
Physics,2,2002,30,0.60811,510,93.33333333333333
Physics,2,2003,43,0.7283465116279072,809,88.37209302325581
Physics,2,2004,43,0.5621767441860466,579,95.34883720930233
Physics,2,2005,66,1.1033484848484854,1871,90.9090909090909
Physics,2,2006,52,0.7586634615384618,960,88.46153846153845
Physics,2,2007,55,0.3773781818181818,485,76.36363636363637
Physics,2,2008,72,1.046534722222222,1742,91.66666666666666
Physics,2,2009,73,0.7640328767123288,1212,91.78082191780823
Physics,2,2010,77,0.5719714285714287,929,90.9090909090909
Physics,2,2011,77,0.5253324675324677,786,96.1038961038961
Physics,2,2012,81,0.8112567901234568,1192,90.12345679012346
Physics,2,2013,95,0.6968,1059,85.26315789473684
