"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,29,0.31711034482758627,267,79.3103448275862
Chemistry,1,2001,34,0.8052882352941177,799,97.05882352941177
Chemistry,1,2002,40,0.49914500000000006,595,75.0
Chemistry,1,2003,44,0.6467022727272729,869,88.63636363636364
Chemistry,1,2004,70,0.7943328571428573,2044,94.28571428571428
Chemistry,1,2005,225,0.5559728888888888,3807,86.66666666666667
Chemistry,1,2006,240,0.5420958333333333,3838,83.75
Chemistry,1,2007,299,0.7844247491638798,6687,74.24749163879598
Chemistry,1,2008,239,1.0773694560669456,8051,91.63179916317992
Chemistry,1,2009,207,1.145534782608696,6254,93.71980676328504
Chemistry,1,2010,180,1.3713305555555557,6319,91.11111111111111
Chemistry,1,2011,191,1.3949350785340313,6298,89.00523560209425
Chemistry,1,2012,174,1.9275879310344832,8910,98.27586206896551
Chemistry,1,2013,185,1.1871962162162164,4594,94.05405405405406
Chemistry,1,2014,239,1.3891753138075316,6482,91.21338912133892
Chemistry,1,2015,239,1.5987200836820086,7233,92.05020920502092
Chemistry,1,2016,220,1.79921409090909,5815,94.54545454545455
Chemistry,1,2017,187,2.174636898395722,4011,93.04812834224599
Chemistry,1,2018,207,2.018608695652174,2566,86.95652173913044
Chemistry,1,2019,241,2.586592946058092,1115,67.63485477178423
Chemistry,1,2020,41,2.0792682926829267,17,17.073170731707318
Physics,2,2000,58,0.40899482758620687,658,81.03448275862068
Physics,2,2001,55,0.5283363636363635,783,83.63636363636363
Physics,2,2002,88,1.0039693181818181,2414,82.95454545454545
Physics,2,2003,73,1.665758904109589,3146,79.45205479452055
Physics,2,2004,114,1.5249938596491228,4627,85.96491228070175
Physics,2,2005,111,1.7588090090090096,6851,94.5945945945946
Physics,2,2006,132,1.199181060606061,4194,91.66666666666666
Physics,2,2007,158,0.9063512658227849,3298,84.17721518987342
Physics,2,2008,161,0.8449204968944098,3375,91.30434782608695
Physics,2,2009,135,0.9202711111111113,3469,89.62962962962962
Physics,2,2010,154,1.4077097402597405,4558,88.31168831168831
Physics,2,2011,166,1.34211265060241,4446,85.54216867469879
Physics,2,2012,175,1.5105108571428572,4748,87.42857142857143
Physics,2,2013,180,2.4455716666666674,7152,92.22222222222223
Physics,2,2014,259,2.4172652509652512,9148,95.36679536679536
Physics,2,2015,248,2.057717741935484,6591,97.98387096774194
Physics,2,2016,266,1.8306710526315797,5039,92.85714285714286
Physics,2,2017,305,2.0171393442622954,4444,91.47540983606557
Physics,2,2018,291,1.4831254295532645,1946,88.65979381443299
Physics,2,2019,389,1.3838706940874035,686,56.555269922879184
Physics,2,2020,58,0.8501379310344829,5,8.620689655172415
Materials Science,3,2000,1,0.0,0,0.0
Materials Science,3,2001,1,4.3522,108,100.0
Materials Science,3,2002,1,0.5081,13,100.0
Materials Science,3,2003,1,0.0,0,0.0
Materials Science,3,2004,5,0.16106,22,80.0
Materials Science,3,2005,12,0.9364333333333335,288,100.0
Materials Science,3,2006,26,1.3984346153846152,991,92.3076923076923
Materials Science,3,2007,39,1.491192307692308,1702,92.3076923076923
Materials Science,3,2008,39,1.885166666666667,2085,97.43589743589743
Materials Science,3,2009,41,1.3241292682926833,1530,97.5609756097561
Materials Science,3,2010,31,2.0670451612903227,1869,100.0
Materials Science,3,2011,31,4.1794677419354835,3488,100.0
Materials Science,3,2012,28,4.852610714285715,4805,96.42857142857143
Materials Science,3,2013,26,2.719615384615385,1831,100.0
Materials Science,3,2014,39,1.7501820512820514,1489,97.43589743589743
Materials Science,3,2015,47,2.387195744680851,2144,97.87234042553192
Materials Science,3,2016,32,2.4871375000000007,1242,96.875
Materials Science,3,2017,53,2.647647169811321,1693,100.0
Materials Science,3,2018,52,2.634246153846154,929,96.15384615384616
Materials Science,3,2019,65,2.0646538461538464,273,66.15384615384615
Materials Science,3,2020,16,1.42959375,3,18.75
Mathematics,4,2000,20,1.47963,459,85.0
Mathematics,4,2001,13,1.4580538461538461,289,84.61538461538461
Mathematics,4,2002,17,1.1653529411764705,291,94.11764705882352
Mathematics,4,2003,38,1.0908368421052632,592,100.0
Mathematics,4,2004,27,0.5839333333333334,235,81.48148148148148
Mathematics,4,2005,29,0.7568068965517242,309,79.3103448275862
Mathematics,4,2006,53,0.5889509433962266,426,71.69811320754717
Mathematics,4,2007,43,0.6245488372093023,338,88.37209302325581
Mathematics,4,2008,43,0.657153488372093,338,83.72093023255815
Mathematics,4,2009,51,0.8696333333333334,495,96.07843137254902
Mathematics,4,2010,55,1.1331236363636366,644,87.27272727272727
Mathematics,4,2011,74,0.9098067567567567,604,87.83783783783784
Mathematics,4,2012,76,1.1406460526315794,660,86.8421052631579
Mathematics,4,2013,85,1.1129247058823533,596,78.82352941176471
Mathematics,4,2014,91,1.9646472527472525,1008,87.91208791208791
Mathematics,4,2015,103,1.6497359223300967,827,79.6116504854369
Mathematics,4,2016,113,1.0874628318584072,463,80.53097345132744
Mathematics,4,2017,104,1.2617471153846151,365,75.0
Mathematics,4,2018,145,1.3245503448275864,332,62.758620689655174
Mathematics,4,2019,143,1.2617951048951046,110,33.56643356643357
Mathematics,4,2020,40,0.4061850000000001,2,5.0
Molecular Biology & Genetics,5,2004,1,0.18100000000000002,13,100.0
Molecular Biology & Genetics,5,2005,1,0.1046,7,100.0
Molecular Biology & Genetics,5,2006,2,0.50205,83,100.0
Molecular Biology & Genetics,5,2007,2,0.39625,49,100.0
Molecular Biology & Genetics,5,2008,2,0.28690000000000004,32,100.0
Molecular Biology & Genetics,5,2009,3,0.23973333333333335,37,66.66666666666666
Molecular Biology & Genetics,5,2010,9,0.3424444444444445,150,66.66666666666666
Molecular Biology & Genetics,5,2011,7,0.37509999999999993,112,85.71428571428571
Molecular Biology & Genetics,5,2012,13,3.684415384615385,2898,100.0
Molecular Biology & Genetics,5,2013,13,0.523223076923077,214,76.92307692307693
Molecular Biology & Genetics,5,2014,12,0.43346666666666667,136,75.0
Molecular Biology & Genetics,5,2015,15,0.45402,167,93.33333333333333
Molecular Biology & Genetics,5,2016,20,4.204470000000001,2496,75.0
Molecular Biology & Genetics,5,2017,12,0.5578500000000001,73,91.66666666666666
Molecular Biology & Genetics,5,2018,11,1.1433545454545457,82,72.72727272727273
Molecular Biology & Genetics,5,2019,20,1.581445,56,35.0
Molecular Biology & Genetics,5,2020,5,0.0,0,0.0
Plant & Animal Science,6,2000,1,0.5246000000000001,15,100.0
Plant & Animal Science,6,2001,1,1.4455,41,100.0
Plant & Animal Science,6,2002,3,1.1079,93,100.0
Plant & Animal Science,6,2003,1,0.7104,20,100.0
Plant & Animal Science,6,2004,5,0.72656,101,100.0
Plant & Animal Science,6,2005,5,2.8651000000000004,378,100.0
Plant & Animal Science,6,2006,7,0.9882428571428571,233,100.0
Plant & Animal Science,6,2007,10,1.2935800000000002,300,100.0
Plant & Animal Science,6,2008,10,0.6753500000000001,142,90.0
Plant & Animal Science,6,2009,15,2.28336,679,100.0
Plant & Animal Science,6,2010,14,1.2052642857142857,544,100.0
Plant & Animal Science,6,2011,15,0.7113066666666668,177,93.33333333333333
Plant & Animal Science,6,2012,23,1.2219826086956522,419,100.0
Plant & Animal Science,6,2013,25,1.3250520000000001,340,100.0
Plant & Animal Science,6,2014,30,1.0097966666666667,337,96.66666666666667
Plant & Animal Science,6,2015,33,1.2825515151515152,379,93.93939393939394
Plant & Animal Science,6,2016,35,1.186168571428572,291,94.28571428571428
Plant & Animal Science,6,2017,38,1.380847368421053,248,92.10526315789474
Plant & Animal Science,6,2018,36,1.260077777777778,113,77.77777777777779
Plant & Animal Science,6,2019,39,0.9676846153846154,29,48.717948717948715
Plant & Animal Science,6,2020,10,0.0,0,0.0
Environment/Ecology,7,2001,1,0.47140000000000004,20,100.0
Environment/Ecology,7,2002,1,0.0,0,0.0
Environment/Ecology,7,2004,4,1.16235,198,100.0
Environment/Ecology,7,2005,7,0.45194285714285715,134,100.0
Environment/Ecology,7,2006,3,0.7229000000000001,85,100.0
Environment/Ecology,7,2007,9,0.8509666666666668,286,100.0
Environment/Ecology,7,2008,2,3.16595,221,100.0
Environment/Ecology,7,2009,15,0.9785800000000002,448,93.33333333333333
Environment/Ecology,7,2010,10,0.60007,207,100.0
Environment/Ecology,7,2011,10,1.4506900000000003,381,100.0
Environment/Ecology,7,2012,11,1.673654545454545,442,100.0
Environment/Ecology,7,2013,9,1.1800000000000002,214,88.88888888888889
Environment/Ecology,7,2014,15,1.93938,511,100.0
Environment/Ecology,7,2015,11,1.8239454545454548,292,100.0
Environment/Ecology,7,2016,17,1.0961294117647058,204,94.11764705882352
Environment/Ecology,7,2017,27,2.1167444444444445,504,96.29629629629629
Environment/Ecology,7,2018,41,1.2194268292682928,270,75.60975609756098
Environment/Ecology,7,2019,59,0.8892830508474576,68,35.59322033898305
Environment/Ecology,7,2020,15,0.9220533333333333,2,13.333333333333334
Engineering,8,2000,2,0.6659,27,100.0
Engineering,8,2001,2,0.2369,10,100.0
Engineering,8,2002,6,0.5278666666666667,71,100.0
Engineering,8,2003,3,0.9851333333333333,64,100.0
Engineering,8,2004,5,0.40066000000000007,49,80.0
Engineering,8,2005,6,1.10645,148,66.66666666666666
Engineering,8,2006,9,0.8539333333333333,172,77.77777777777779
Engineering,8,2007,7,1.4219142857142857,223,71.42857142857143
Engineering,8,2008,9,1.7353111111111112,326,100.0
Engineering,8,2009,13,0.9589692307692308,265,76.92307692307693
Engineering,8,2010,15,1.76308,529,100.0
Engineering,8,2011,11,0.7270181818181818,149,81.81818181818183
Engineering,8,2012,28,0.6417428571428572,303,75.0
Engineering,8,2013,17,1.2200470588235295,325,88.23529411764706
Engineering,8,2014,23,0.8472304347826088,272,95.65217391304348
Engineering,8,2015,23,0.8717521739130436,242,86.95652173913044
Engineering,8,2016,33,1.7355424242424242,559,84.84848484848484
Engineering,8,2017,35,0.9542428571428573,246,82.85714285714286
Engineering,8,2018,42,1.908104761904762,349,76.19047619047619
Engineering,8,2019,78,1.36274358974359,141,43.58974358974359
Engineering,8,2020,15,2.192246666666667,6,13.333333333333334
Biology & Biochemistry,9,2000,2,1.2465000000000002,122,100.0
Biology & Biochemistry,9,2001,3,1.4244,215,100.0
Biology & Biochemistry,9,2002,3,0.15446666666666667,22,66.66666666666666
Biology & Biochemistry,9,2003,4,0.57045,109,75.0
Biology & Biochemistry,9,2004,2,0.4749,45,100.0
Biology & Biochemistry,9,2005,6,0.3981666666666666,109,100.0
Biology & Biochemistry,9,2006,9,0.4250666666666667,164,88.88888888888889
Biology & Biochemistry,9,2007,14,0.8278714285714287,462,100.0
Biology & Biochemistry,9,2008,11,0.7373818181818182,301,90.9090909090909
Biology & Biochemistry,9,2009,14,0.4566214285714286,232,100.0
Biology & Biochemistry,9,2010,13,0.41457692307692307,187,100.0
Biology & Biochemistry,9,2011,15,0.5317000000000001,243,100.0
Biology & Biochemistry,9,2012,18,0.5056611111111111,245,94.44444444444444
Biology & Biochemistry,9,2013,17,0.3359882352941176,129,88.23529411764706
Biology & Biochemistry,9,2014,23,0.7773304347826088,344,95.65217391304348
Biology & Biochemistry,9,2015,18,3.100116666666667,879,83.33333333333334
Biology & Biochemistry,9,2016,34,0.8544117647058822,319,91.17647058823529
Biology & Biochemistry,9,2017,29,0.7046172413793104,176,86.20689655172413
Biology & Biochemistry,9,2018,23,0.48601739130434785,61,65.21739130434783
Biology & Biochemistry,9,2019,30,1.5100900000000002,74,70.0
