"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,1,0.2411,7,100.0
Chemistry,1,2001,5,0.19874,29,100.0
Chemistry,1,2002,1,0.1981,6,100.0
Chemistry,1,2004,1,1.2012,37,100.0
Chemistry,1,2005,7,0.28427142857142856,61,100.0
Chemistry,1,2006,12,0.4265666666666667,151,91.66666666666666
Chemistry,1,2007,21,0.32755238095238093,191,80.95238095238095
Chemistry,1,2008,19,0.6357947368421053,334,89.47368421052632
Chemistry,1,2009,15,1.6446,632,100.0
Chemistry,1,2010,14,0.5000928571428571,178,92.85714285714286
Chemistry,1,2011,13,0.18154615384615386,57,61.53846153846154
Chemistry,1,2012,27,0.6100555555555555,375,85.18518518518519
Chemistry,1,2013,27,0.5909925925925926,341,92.5925925925926
Chemistry,1,2014,23,0.6814565217391304,287,100.0
Chemistry,1,2015,31,1.6080870967741938,545,80.64516129032258
Chemistry,1,2016,46,0.7092195652173913,439,91.30434782608695
Chemistry,1,2017,55,1.0256672727272729,594,89.0909090909091
Chemistry,1,2018,77,1.506568831168832,651,92.20779220779221
Chemistry,1,2019,75,1.5345599999999997,197,66.66666666666666
Chemistry,1,2020,20,1.13623,3,10.0
Engineering,2,2000,5,1.39098,141,100.0
Engineering,2,2001,9,1.405577777777778,267,88.88888888888889
Engineering,2,2002,1,0.5799000000000001,13,100.0
Engineering,2,2003,7,0.9836285714285715,128,85.71428571428571
Engineering,2,2004,3,1.0084,74,100.0
Engineering,2,2005,12,0.8746916666666666,234,100.0
Engineering,2,2006,18,0.6429333333333332,259,94.44444444444444
Engineering,2,2007,13,0.5047076923076923,147,100.0
Engineering,2,2008,11,0.4529363636363637,104,90.9090909090909
Engineering,2,2009,18,0.6912555555555555,259,83.33333333333334
Engineering,2,2010,14,0.5857928571428571,165,100.0
Engineering,2,2011,25,0.57024,294,84.0
Engineering,2,2012,24,0.6721,272,83.33333333333334
Engineering,2,2013,21,1.8446333333333336,607,85.71428571428571
Engineering,2,2014,23,0.45764782608695653,129,82.6086956521739
Engineering,2,2015,35,0.9585571428571429,434,80.0
Engineering,2,2016,15,1.88568,274,73.33333333333333
Engineering,2,2017,29,1.2687172413793104,271,82.75862068965517
Engineering,2,2018,44,1.53455,271,84.0909090909091
Engineering,2,2019,53,1.8561433962264149,132,49.056603773584904
Engineering,2,2020,9,0.6089555555555556,1,11.11111111111111
Mathematics,3,2000,2,0.9026000000000001,28,100.0
Mathematics,3,2001,12,1.3554666666666668,248,83.33333333333334
Mathematics,3,2002,6,0.4652,41,100.0
Mathematics,3,2003,8,0.962775,110,87.5
Mathematics,3,2004,7,0.7763285714285715,81,85.71428571428571
