"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,58,0.841748275862069,1460,96.55172413793103
Chemistry,1,2001,75,0.7049960000000001,1543,97.33333333333334
Chemistry,1,2002,67,0.7613208955223879,1545,92.53731343283582
Chemistry,1,2003,106,0.7795235849056608,2525,96.22641509433963
Chemistry,1,2004,109,0.9820990825688071,3368,95.41284403669725
Chemistry,1,2005,137,0.6378846715328469,2721,93.43065693430657
Chemistry,1,2006,141,0.7725652482269507,3271,95.74468085106383
Chemistry,1,2007,184,0.8085249999999999,4211,94.02173913043478
Chemistry,1,2008,231,0.9348324675324675,6563,93.93939393939394
Chemistry,1,2009,271,0.9412309963099629,6756,96.30996309963099
Chemistry,1,2010,262,1.3015374045801529,9748,95.41984732824427
Chemistry,1,2011,324,1.4662907407407406,11814,95.98765432098766
Chemistry,1,2012,337,1.1303264094955494,9893,94.95548961424333
Chemistry,1,2013,372,1.4329395161290321,11525,97.04301075268818
Chemistry,1,2014,405,1.4009074074074073,10730,97.28395061728395
Chemistry,1,2015,398,1.6404153266331658,10964,94.72361809045226
Chemistry,1,2016,471,1.5742409766454353,9945,95.75371549893843
Chemistry,1,2017,463,1.4897149028077754,7074,92.0086393088553
Chemistry,1,2018,474,1.3748428270042197,3995,88.81856540084388
Chemistry,1,2019,549,1.4164814207650278,1473,61.02003642987249
Chemistry,1,2020,125,0.908984,15,7.199999999999999
Physics,2,2000,29,0.3891896551724138,317,82.75862068965517
Physics,2,2001,46,0.679891304347826,836,93.47826086956522
Physics,2,2002,58,0.46593793103448283,740,93.10344827586206
Physics,2,2003,70,0.6733685714285714,1300,95.71428571428572
Physics,2,2004,91,0.5353307692307692,1248,87.91208791208791
Physics,2,2005,95,0.6531810526315789,1586,91.57894736842105
Physics,2,2006,119,0.7127798319327733,2129,90.75630252100841
Physics,2,2007,144,0.7783409722222223,2572,91.66666666666666
Physics,2,2008,192,0.7674880208333331,3355,94.27083333333334
Physics,2,2009,236,0.7198847457627117,3695,94.91525423728814
Physics,2,2010,162,1.1181500000000002,3802,95.06172839506173
Physics,2,2011,196,1.0576780612244896,3956,92.85714285714286
Physics,2,2012,203,0.7582270935960591,2893,93.59605911330048
Physics,2,2013,245,0.7328497959183674,2905,92.65306122448979
Physics,2,2014,260,0.8902373076923077,3313,89.61538461538461
Physics,2,2015,250,1.0777692,3342,93.60000000000001
Physics,2,2016,216,0.8227097222222223,1795,87.03703703703704
Physics,2,2017,300,0.9960006666666668,2189,85.33333333333334
Physics,2,2018,325,1.0350476923076926,1441,79.6923076923077
