"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,18,0.20855555555555558,109,72.22222222222221
Chemistry,1,2001,19,0.5807473684210528,322,94.73684210526315
Chemistry,1,2002,23,0.5067086956521738,353,91.30434782608695
Chemistry,1,2003,23,0.31605217391304347,222,95.65217391304348
Chemistry,1,2004,30,0.36361666666666664,336,80.0
Chemistry,1,2005,53,0.4733452830188679,769,86.79245283018868
Chemistry,1,2006,65,0.33377384615384614,640,95.38461538461539
Chemistry,1,2007,75,0.3977026666666667,809,89.33333333333333
Chemistry,1,2008,82,0.37051829268292685,854,80.48780487804879
Chemistry,1,2009,65,0.32853384615384623,551,73.84615384615385
Chemistry,1,2010,66,0.5849030303030304,1021,83.33333333333334
Chemistry,1,2011,87,0.6120494252873563,1286,90.80459770114942
Chemistry,1,2012,81,1.172025925925926,2148,92.5925925925926
Chemistry,1,2013,90,0.86941,1575,97.77777777777777
Chemistry,1,2014,106,1.060117924528302,2084,92.45283018867924
Chemistry,1,2015,117,1.0088230769230768,1875,92.3076923076923
Chemistry,1,2016,141,0.8956304964539007,1570,92.90780141843972
Chemistry,1,2017,135,1.3455140740740743,1731,90.37037037037037
Chemistry,1,2018,143,1.3614405594405596,1090,84.61538461538461
Chemistry,1,2019,187,1.6226545454545451,599,64.1711229946524
Chemistry,1,2020,55,0.9640745454545455,7,9.090909090909092
Materials Science,2,2000,4,2.6146,246,75.0
Materials Science,2,2001,1,1.1686,29,100.0
Materials Science,2,2002,4,0.7034750000000001,72,100.0
Materials Science,2,2003,4,0.15975,18,100.0
Materials Science,2,2004,6,0.7443166666666667,122,66.66666666666666
Materials Science,2,2005,12,0.6657416666666667,218,75.0
Materials Science,2,2006,15,0.86588,354,86.66666666666667
Materials Science,2,2007,19,0.9189736842105263,511,94.73684210526315
Materials Science,2,2008,35,0.8124942857142857,841,100.0
Materials Science,2,2009,27,0.6001,477,96.29629629629629
Materials Science,2,2010,22,0.7141545454545457,479,86.36363636363636
Materials Science,2,2011,31,0.8373709677419356,721,100.0
Materials Science,2,2012,41,0.6456292682926832,687,95.1219512195122
Materials Science,2,2013,25,0.89634,515,92.0
Materials Science,2,2014,34,0.6377294117647059,468,94.11764705882352
Materials Science,2,2015,53,0.9296207547169812,919,96.22641509433963
Materials Science,2,2016,49,1.184218367346939,865,95.91836734693877
Materials Science,2,2017,54,1.933705555555556,1175,92.5925925925926
Materials Science,2,2018,98,1.3394744897959183,985,93.87755102040816
Materials Science,2,2019,120,1.4091841666666667,334,60.0
Materials Science,2,2020,23,0.3315,1,4.3478260869565215
Physics,3,2000,3,0.05933333333333333,5,66.66666666666666
Physics,3,2001,8,0.199475,43,75.0
Physics,3,2002,5,0.4236000000000001,58,100.0
Physics,3,2003,3,0.5935666666666667,46,100.0
Physics,3,2004,11,0.8368545454545455,245,90.9090909090909
Physics,3,2005,23,0.4247391304347827,251,95.65217391304348
Physics,3,2006,34,0.7362882352941176,620,79.41176470588235
Physics,3,2007,46,0.6854760869565218,557,93.47826086956522
Physics,3,2008,53,0.7965754716981132,979,84.90566037735849
Physics,3,2009,52,0.6212461538461539,702,92.3076923076923
Physics,3,2010,39,0.6512333333333333,534,89.74358974358975
Physics,3,2011,55,0.6204618181818183,650,92.72727272727272
Physics,3,2012,51,0.5274960784313726,488,90.19607843137256
Physics,3,2013,55,0.7005018181818182,645,80.0
Physics,3,2014,56,0.5251321428571428,419,91.07142857142857
Physics,3,2015,45,0.6564711111111111,368,84.44444444444444
Physics,3,2016,55,0.6970781818181817,375,87.27272727272727
Physics,3,2017,48,0.7916625000000002,269,79.16666666666666
Physics,3,2018,64,0.9425265625,263,78.125
Physics,3,2019,85,0.8918211764705882,96,42.35294117647059
Physics,3,2020,14,0.0,0,0.0
Computer Science,4,2002,1,0.5512,13,100.0
Computer Science,4,2003,1,0.9487000000000001,18,100.0
Computer Science,4,2004,3,0.21203333333333332,11,66.66666666666666
Computer Science,4,2005,3,0.24766666666666667,12,100.0
Computer Science,4,2006,8,0.1853625,26,100.0
Computer Science,4,2007,1,0.21810000000000002,5,100.0
Computer Science,4,2008,4,0.6840250000000001,62,100.0
Computer Science,4,2009,13,0.32801538461538465,89,76.92307692307693
Computer Science,4,2010,10,0.9839200000000001,195,80.0
Computer Science,4,2011,13,1.0030307692307694,263,92.3076923076923
Computer Science,4,2012,19,1.0462526315789475,330,94.73684210526315
Computer Science,4,2013,24,0.48580416666666676,185,87.5
Computer Science,4,2014,32,1.194840625,553,87.5
Computer Science,4,2015,48,1.7727479166666662,1042,91.66666666666666
Computer Science,4,2016,47,1.3696510638297874,620,93.61702127659575
Computer Science,4,2017,68,1.5261279411764708,772,77.94117647058823
Computer Science,4,2018,64,2.1498124999999995,541,81.25
Computer Science,4,2019,78,1.651038461538462,157,38.46153846153847
Computer Science,4,2020,21,2.0946761904761906,11,14.285714285714285
Engineering,5,2000,3,0.11506666666666666,7,100.0
Engineering,5,2001,1,0.047400000000000005,1,100.0
Engineering,5,2002,1,0.0,0,0.0
Engineering,5,2003,3,0.8620000000000001,56,100.0
Engineering,5,2004,3,1.5345000000000002,67,66.66666666666666
Engineering,5,2005,3,0.0,0,0.0
Engineering,5,2006,5,0.58088,65,80.0
Engineering,5,2007,6,0.52815,71,83.33333333333334
Engineering,5,2008,8,0.35238749999999996,106,75.0
Engineering,5,2009,6,1.729466666666667,216,100.0
Engineering,5,2010,13,1.6440153846153849,430,76.92307692307693
Engineering,5,2011,27,0.8965333333333335,451,74.07407407407408
Engineering,5,2012,18,0.38480000000000003,135,77.77777777777779
Engineering,5,2013,9,2.0516444444444444,306,77.77777777777779
Engineering,5,2014,17,1.963805882352941,466,94.11764705882352
Engineering,5,2015,29,1.4007482758620688,473,79.3103448275862
Engineering,5,2016,36,1.338713888888889,569,97.22222222222221
Engineering,5,2017,42,1.9112380952380954,598,90.47619047619048
Engineering,5,2018,70,1.6383542857142863,510,90.0
Engineering,5,2019,94,1.5289510638297874,185,47.87234042553192
Engineering,5,2020,14,0.3914714285714286,1,7.142857142857142
Mathematics,6,2000,8,0.11283750000000001,14,62.5
Mathematics,6,2001,13,0.3228846153846154,64,84.61538461538461
Mathematics,6,2002,10,0.40166,59,90.0
Mathematics,6,2003,12,0.5426416666666667,93,83.33333333333334
Mathematics,6,2004,15,1.909833333333333,427,100.0
Mathematics,6,2005,18,0.5050777777777777,128,66.66666666666666
Mathematics,6,2006,17,0.7154941176470588,166,88.23529411764706
Mathematics,6,2007,23,1.0363565217391304,300,86.95652173913044
Mathematics,6,2008,37,0.6507432432432434,288,91.8918918918919
Mathematics,6,2009,38,0.49226842105263163,194,81.57894736842105
Mathematics,6,2010,29,0.4237862068965517,127,75.86206896551724
Mathematics,6,2011,44,0.5192386363636365,204,79.54545454545455
Mathematics,6,2012,47,0.8020531914893618,287,80.85106382978722
Mathematics,6,2013,39,0.6585461538461539,169,74.35897435897436
Mathematics,6,2014,75,0.8395240000000002,355,70.66666666666667
Mathematics,6,2015,69,0.902276811594203,303,75.36231884057972
