"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,17,0.36266470588235294,179,100.0
Chemistry,1,2001,20,0.373575,231,95.0
Chemistry,1,2002,26,0.3949000000000001,311,96.15384615384616
Chemistry,1,2003,34,0.3467058823529413,360,94.11764705882352
Chemistry,1,2004,49,0.47042448979591833,710,97.95918367346938
Chemistry,1,2005,66,0.5951181818181818,1204,95.45454545454545
Chemistry,1,2006,107,0.4263644859813085,1348,88.78504672897196
Chemistry,1,2007,97,0.5358814432989693,1485,88.65979381443299
Chemistry,1,2008,91,0.5325934065934065,1340,90.10989010989012
Chemistry,1,2009,134,0.6315291044776118,2272,87.31343283582089
Chemistry,1,2010,96,0.8120822916666666,1982,88.54166666666666
Chemistry,1,2011,127,0.6914858267716535,2142,89.76377952755905
Chemistry,1,2012,104,0.8373817307692307,1972,91.34615384615384
Chemistry,1,2013,115,0.8791200000000001,2042,92.17391304347827
Chemistry,1,2014,119,0.8478092436974791,1932,89.91596638655463
Chemistry,1,2015,136,1.167159558823529,2590,94.11764705882352
Chemistry,1,2016,132,1.0108659090909091,1710,95.45454545454545
Chemistry,1,2017,136,0.9784029411764706,1264,91.91176470588235
Chemistry,1,2018,148,1.2429236486486488,1001,89.1891891891892
Chemistry,1,2019,228,1.5189442982456145,633,61.8421052631579
Chemistry,1,2020,47,1.2893382978723407,8,10.638297872340425
Physics,2,2000,7,0.3357,66,100.0
Physics,2,2001,11,0.5364363636363637,159,90.9090909090909
Physics,2,2002,16,0.3423875,150,75.0
Physics,2,2003,16,0.7912125,327,93.75
Physics,2,2004,54,0.7681537037037038,1104,88.88888888888889
Physics,2,2005,42,0.8886976190476188,959,97.61904761904762
Physics,2,2006,47,0.848776595744681,988,95.74468085106383
Physics,2,2007,47,0.6117340425531915,658,97.87234042553192
Physics,2,2008,54,0.6508555555555555,815,85.18518518518519
Physics,2,2009,50,0.35710200000000003,388,90.0
Physics,2,2010,48,0.8551208333333334,863,91.66666666666666
Physics,2,2011,50,0.8652139999999998,824,90.0
Physics,2,2012,62,0.7922354838709679,891,87.09677419354838
Physics,2,2013,66,1.3348318181818177,1414,93.93939393939394
Physics,2,2014,60,1.5195116666666664,1299,91.66666666666666
Physics,2,2015,85,1.1406847058823535,1199,90.58823529411765
Physics,2,2016,56,1.5787,897,92.85714285714286
Physics,2,2017,82,1.3039743902439025,755,89.02439024390245
Physics,2,2018,95,1.1423578947368422,463,86.31578947368422
Physics,2,2019,125,1.1749776,186,59.199999999999996
Physics,2,2020,30,0.32872,1,3.3333333333333335
Engineering,3,2001,1,0.4264,9,100.0
Engineering,3,2002,2,0.20075,9,100.0
Engineering,3,2003,3,1.770166666666667,115,100.0
Engineering,3,2004,4,0.2555,25,75.0
Engineering,3,2005,6,0.4934,66,100.0
Engineering,3,2006,8,0.22900000000000004,41,100.0
Engineering,3,2007,6,0.22316666666666665,30,100.0
Engineering,3,2008,7,0.2600714285714286,38,100.0
Engineering,3,2009,12,1.0889416666666667,272,91.66666666666666
Engineering,3,2010,16,2.0688875,666,93.75
