"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,2,0.05165,3,50.0
Chemistry,1,2001,1,0.1713,5,100.0
Chemistry,1,2002,6,0.42368333333333336,77,100.0
Chemistry,1,2003,2,0.14735,9,100.0
Chemistry,1,2004,6,0.11363333333333332,21,83.33333333333334
Chemistry,1,2005,8,0.2528375,62,75.0
Chemistry,1,2006,5,0.46102,68,60.0
Chemistry,1,2007,3,0.07203333333333334,6,66.66666666666666
Chemistry,1,2008,9,0.2290666666666667,57,100.0
Chemistry,1,2009,11,0.4187181818181818,118,81.81818181818183
Chemistry,1,2010,11,1.7156999999999998,517,100.0
Chemistry,1,2011,9,1.1777666666666664,256,77.77777777777779
Chemistry,1,2012,5,0.6452600000000001,73,80.0
Chemistry,1,2013,13,0.3060076923076923,80,76.92307692307693
Chemistry,1,2014,12,1.5382,338,100.0
Chemistry,1,2015,19,0.9836263157894737,295,94.73684210526315
Chemistry,1,2016,18,0.5609555555555557,200,88.88888888888889
Chemistry,1,2017,24,0.6807208333333334,164,95.83333333333334
Chemistry,1,2018,24,0.7424750000000001,101,66.66666666666666
Chemistry,1,2019,31,0.6164290322580646,32,48.38709677419355
Chemistry,1,2020,4,0.0,0,0.0
Environment/Ecology,2,2004,1,1.5028000000000001,64,100.0
Environment/Ecology,2,2006,2,0.581,22,100.0
Environment/Ecology,2,2008,2,0.1423,7,100.0
Environment/Ecology,2,2009,2,1.4908000000000001,91,100.0
Environment/Ecology,2,2010,6,0.48089999999999994,87,83.33333333333334
Environment/Ecology,2,2011,5,0.38076000000000004,50,100.0
Environment/Ecology,2,2012,1,2.2909,55,100.0
Environment/Ecology,2,2013,12,0.8103583333333333,203,100.0
Environment/Ecology,2,2014,11,0.45025454545454546,87,90.9090909090909
Environment/Ecology,2,2015,16,0.36981875000000003,103,81.25
Environment/Ecology,2,2016,14,2.403142857142857,392,100.0
Environment/Ecology,2,2017,14,0.7719857142857144,86,100.0
Environment/Ecology,2,2018,36,0.6824333333333332,128,86.11111111111111
Environment/Ecology,2,2019,48,1.30925,82,50.0
Environment/Ecology,2,2020,17,1.2203705882352942,3,11.76470588235294
Mathematics,3,2000,3,1.0745333333333333,50,100.0
Mathematics,3,2002,2,0.47655000000000003,14,100.0
Mathematics,3,2006,5,0.43095999999999995,21,80.0
Mathematics,3,2007,1,0.0795,1,100.0
Mathematics,3,2008,5,0.76914,46,100.0
Mathematics,3,2009,14,0.6719857142857143,105,78.57142857142857
Mathematics,3,2010,18,1.3494444444444447,251,88.88888888888889
Mathematics,3,2011,17,1.482229411764706,225,100.0
Mathematics,3,2012,15,1.0857933333333334,124,93.33333333333333
Mathematics,3,2013,28,1.3026250000000001,240,96.42857142857143
Mathematics,3,2014,21,0.41387142857142856,49,80.95238095238095
Mathematics,3,2015,21,1.134966666666667,116,66.66666666666666
Mathematics,3,2016,30,0.8131066666666668,92,73.33333333333333
Mathematics,3,2017,21,1.0100571428571428,59,57.14285714285714
Mathematics,3,2018,37,0.656672972972973,42,56.75675675675676
Mathematics,3,2019,32,0.61511875,12,28.125
