"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2001,5,0.7196400000000001,105,100.0
Chemistry,1,2002,11,0.19208181818181816,64,100.0
Chemistry,1,2003,21,0.2604,167,85.71428571428571
Chemistry,1,2004,22,0.23021363636363643,156,77.27272727272727
Chemistry,1,2005,22,0.2639409090909091,178,90.9090909090909
Chemistry,1,2006,32,0.5018031249999999,546,90.625
Chemistry,1,2007,47,0.4757978723404255,628,93.61702127659575
Chemistry,1,2008,57,0.5945964912280701,972,91.22807017543859
Chemistry,1,2009,74,0.6825364864864867,1660,89.1891891891892
Chemistry,1,2010,86,0.6232651162790697,1555,89.53488372093024
Chemistry,1,2011,107,1.0420757009345794,2997,94.39252336448598
Chemistry,1,2012,117,0.8365589743589743,2266,95.72649572649573
Chemistry,1,2013,120,1.3417391666666667,3360,97.5
Chemistry,1,2014,145,1.077735172413793,3301,97.93103448275862
Chemistry,1,2015,165,0.9644236363636361,2977,90.30303030303031
Chemistry,1,2016,148,1.099651351351351,2063,93.24324324324324
Chemistry,1,2017,119,1.046161344537815,1212,89.07563025210085
Chemistry,1,2018,132,0.9934477272727275,702,87.12121212121212
Chemistry,1,2019,161,1.1592161490683233,329,59.62732919254658
Chemistry,1,2020,31,1.2217548387096775,5,12.903225806451612
Physics,2,2000,10,0.93998,264,80.0
Physics,2,2001,5,0.34142,46,80.0
Physics,2,2002,8,0.3515125,77,100.0
Physics,2,2003,8,0.4839125,100,100.0
Physics,2,2004,12,0.38199999999999995,122,100.0
Physics,2,2005,13,0.6317076923076924,211,84.61538461538461
Physics,2,2006,17,0.43465294117647063,183,94.11764705882352
Physics,2,2007,15,0.5973333333333335,207,80.0
Physics,2,2008,16,0.74389375,276,93.75
Physics,2,2009,19,0.5740105263157895,237,89.47368421052632
Physics,2,2010,41,1.0544829268292686,909,95.1219512195122
Physics,2,2011,57,1.7481859649122804,1898,98.24561403508771
Physics,2,2012,94,1.009704255319149,2052,96.80851063829788
Physics,2,2013,114,1.7024622807017535,3143,92.98245614035088
Physics,2,2014,99,1.4417585858585862,2038,95.95959595959596
Physics,2,2015,105,1.307046666666667,1716,96.19047619047619
Physics,2,2016,85,1.579502352941177,1629,94.11764705882352
Physics,2,2017,83,1.5942180722891566,819,87.95180722891565
Physics,2,2018,100,0.8616829999999999,402,85.0
Physics,2,2019,113,1.191899115044248,173,55.75221238938053
Physics,2,2020,21,0.0,0,0.0
Neuroscience & Behavior,3,2005,2,0.7483500000000001,75,50.0
Neuroscience & Behavior,3,2006,1,1.0147000000000002,47,100.0
Neuroscience & Behavior,3,2007,3,1.4764333333333335,198,100.0
Neuroscience & Behavior,3,2008,3,0.6349666666666667,77,100.0
Neuroscience & Behavior,3,2009,3,0.35023333333333334,40,100.0
Neuroscience & Behavior,3,2010,9,1.542211111111111,230,100.0
Neuroscience & Behavior,3,2011,9,4.9114,1400,88.88888888888889
Neuroscience & Behavior,3,2012,28,0.8435892857142856,626,85.71428571428571
Neuroscience & Behavior,3,2013,40,1.4701850000000003,1439,100.0
Neuroscience & Behavior,3,2014,52,1.5703403846153847,1686,98.07692307692307
Neuroscience & Behavior,3,2015,67,1.3783880597014926,1334,94.02985074626866
Neuroscience & Behavior,3,2016,47,1.8061212765957446,1039,100.0
Neuroscience & Behavior,3,2017,51,0.8020176470588237,303,92.15686274509804
Neuroscience & Behavior,3,2018,47,0.6383765957446811,137,82.97872340425532
Neuroscience & Behavior,3,2019,52,0.8984096153846152,54,46.15384615384615
Neuroscience & Behavior,3,2020,10,1.64038,6,10.0
Materials Science,4,2004,2,1.3655,23,100.0
Materials Science,4,2005,3,0.28096666666666664,23,66.66666666666666
Materials Science,4,2006,2,0.51365,28,50.0
Materials Science,4,2007,2,0.47835000000000005,28,100.0
Materials Science,4,2008,4,0.72425,101,100.0
Materials Science,4,2009,3,1.7847000000000002,149,66.66666666666666
Materials Science,4,2010,11,0.813490909090909,261,81.81818181818183
Materials Science,4,2011,12,1.3558083333333333,438,100.0
Materials Science,4,2012,19,2.496573684210526,1199,89.47368421052632
Materials Science,4,2013,27,1.7364666666666668,1183,96.29629629629629
Materials Science,4,2014,29,1.6109413793103446,1024,96.55172413793103
Materials Science,4,2015,35,1.0017971428571428,654,94.28571428571428
Materials Science,4,2016,25,1.0545479999999998,393,100.0
Materials Science,4,2017,29,1.1307758620689656,369,89.65517241379311
Materials Science,4,2018,29,1.9269862068965515,371,100.0
Materials Science,4,2019,55,1.500816363636364,180,58.18181818181818
Materials Science,4,2020,10,3.81225,5,20.0
Plant & Animal Science,5,2000,5,1.7765800000000003,254,100.0
Plant & Animal Science,5,2001,1,1.0577,30,100.0
Plant & Animal Science,5,2002,2,1.1794,66,100.0
Plant & Animal Science,5,2003,5,1.1651000000000002,164,100.0
Plant & Animal Science,5,2004,4,0.71035,79,75.0
Plant & Animal Science,5,2005,13,0.8716692307692308,299,92.3076923076923
Plant & Animal Science,5,2006,10,0.6615400000000001,167,100.0
Plant & Animal Science,5,2007,11,0.7996636363636364,204,90.9090909090909
Plant & Animal Science,5,2008,16,0.55289375,186,87.5
Plant & Animal Science,5,2009,19,0.6835947368421053,281,100.0
Plant & Animal Science,5,2010,29,0.8663620689655173,486,96.55172413793103
Plant & Animal Science,5,2011,24,0.9519249999999998,379,95.83333333333334
Plant & Animal Science,5,2012,40,0.8977199999999999,505,97.5
Plant & Animal Science,5,2013,37,1.3444027027027028,650,97.2972972972973
Plant & Animal Science,5,2014,49,1.2926571428571427,615,95.91836734693877
Plant & Animal Science,5,2015,50,1.7692499999999998,890,100.0
Plant & Animal Science,5,2016,37,1.4803594594594593,391,83.78378378378379
Plant & Animal Science,5,2017,51,1.4598039215686271,385,86.27450980392157
Plant & Animal Science,5,2018,52,1.6409846153846153,207,88.46153846153845
Plant & Animal Science,5,2019,71,1.5748718309859155,89,43.66197183098591
Plant & Animal Science,5,2020,13,0.8338307692307693,1,7.6923076923076925
Molecular Biology & Genetics,6,2004,1,0.0,0,0.0
Molecular Biology & Genetics,6,2006,1,0.062400000000000004,4,100.0
Molecular Biology & Genetics,6,2008,2,0.34965,39,100.0
Molecular Biology & Genetics,6,2009,2,0.5345500000000001,55,100.0
Molecular Biology & Genetics,6,2010,9,0.4497666666666667,197,88.88888888888889
Molecular Biology & Genetics,6,2011,10,0.8298800000000002,354,100.0
Molecular Biology & Genetics,6,2012,21,0.6871761904761905,516,95.23809523809523
Molecular Biology & Genetics,6,2013,29,0.726658620689655,663,96.55172413793103
Molecular Biology & Genetics,6,2014,29,0.5499758620689655,417,96.55172413793103
Molecular Biology & Genetics,6,2015,33,0.863860606060606,567,96.96969696969697
Molecular Biology & Genetics,6,2016,45,2.3754200000000005,2885,93.33333333333333
Molecular Biology & Genetics,6,2017,43,0.9065418604651164,421,88.37209302325581
Molecular Biology & Genetics,6,2018,35,0.6613799999999999,128,68.57142857142857
Molecular Biology & Genetics,6,2019,30,0.5207666666666666,27,40.0
Molecular Biology & Genetics,6,2020,6,6.8403,2,33.33333333333333
Clinical Medicine,7,2004,2,0.3417,26,100.0
Clinical Medicine,7,2005,2,0.10845,8,50.0
Clinical Medicine,7,2006,5,0.81518,139,100.0
Clinical Medicine,7,2007,5,1.1621000000000001,180,100.0
Clinical Medicine,7,2008,12,1.3736500000000003,472,66.66666666666666
Clinical Medicine,7,2009,18,0.40537222222222224,197,66.66666666666666
Clinical Medicine,7,2010,14,0.6634214285714285,97,64.28571428571429
Clinical Medicine,7,2011,21,0.5611904761904762,264,80.95238095238095
Clinical Medicine,7,2012,32,0.7569000000000001,502,84.375
Clinical Medicine,7,2013,37,1.0253594594594593,553,81.08108108108108
Clinical Medicine,7,2014,61,0.8233918032786888,817,83.60655737704919
Clinical Medicine,7,2015,51,0.9256627450980393,571,90.19607843137256
Clinical Medicine,7,2016,59,0.8344779661016949,490,72.88135593220339
Clinical Medicine,7,2017,77,1.0608727272727274,502,80.51948051948052
Clinical Medicine,7,2018,67,0.7226208955223883,178,73.13432835820896
Clinical Medicine,7,2019,86,0.43732674418604656,42,30.23255813953488
Clinical Medicine,7,2020,11,0.5109545454545454,1,9.090909090909092
Biology & Biochemistry,8,2001,1,0.7751,39,100.0
Biology & Biochemistry,8,2004,1,0.1477,7,100.0
Biology & Biochemistry,8,2005,2,0.2301,21,100.0
Biology & Biochemistry,8,2006,5,0.4525200000000001,97,100.0
Biology & Biochemistry,8,2007,1,0.20070000000000002,8,100.0
Biology & Biochemistry,8,2008,2,0.28295000000000003,21,100.0
Biology & Biochemistry,8,2009,4,0.49460000000000004,71,75.0
Biology & Biochemistry,8,2010,12,0.4285833333333333,166,100.0
Biology & Biochemistry,8,2011,16,0.7589625,370,93.75
Biology & Biochemistry,8,2012,20,0.9363699999999999,492,100.0
Biology & Biochemistry,8,2013,44,0.9394909090909092,949,95.45454545454545
Biology & Biochemistry,8,2014,38,0.680392105263158,512,97.36842105263158
Biology & Biochemistry,8,2015,43,0.77826511627907,575,93.02325581395348
Biology & Biochemistry,8,2016,36,1.0743666666666667,480,94.44444444444444
Biology & Biochemistry,8,2017,43,1.1175883720930235,411,90.69767441860465
Biology & Biochemistry,8,2018,46,1.3529913043478266,286,80.43478260869566
