"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,2,0.5166000000000001,30,100.0
Chemistry,1,2001,5,0.27414,40,80.0
Chemistry,1,2002,12,0.3219,117,91.66666666666666
Chemistry,1,2003,23,0.48073043478260874,334,100.0
Chemistry,1,2004,16,0.23133750000000003,114,81.25
Chemistry,1,2005,33,0.2372545454545455,240,90.9090909090909
Chemistry,1,2006,27,0.6212111111111112,497,96.29629629629629
Chemistry,1,2007,26,0.9045153846153847,653,84.61538461538461
Chemistry,1,2008,38,0.5680184210526317,732,92.10526315789474
Chemistry,1,2009,43,0.837853488372093,923,97.67441860465115
Chemistry,1,2010,57,0.8163508771929825,1183,87.71929824561403
Chemistry,1,2011,63,0.8477841269841269,1343,98.4126984126984
Chemistry,1,2012,42,0.6608428571428573,628,95.23809523809523
Chemistry,1,2013,67,0.7194507462686565,946,92.53731343283582
Chemistry,1,2014,62,0.9759467741935486,1108,95.16129032258065
Chemistry,1,2015,81,1.3077172839506173,1672,100.0
Chemistry,1,2016,66,1.1577924242424245,950,93.93939393939394
Chemistry,1,2017,84,1.7285535714285718,1339,96.42857142857143
Chemistry,1,2018,81,1.4889061728395063,671,91.35802469135803
Chemistry,1,2019,86,1.4304104651162788,206,62.7906976744186
Chemistry,1,2020,28,0.5410642857142858,2,7.142857142857142
Materials Science,2,2003,4,0.19525000000000003,22,100.0
Materials Science,2,2004,5,1.1787,161,100.0
Materials Science,2,2005,3,0.18666666666666668,7,66.66666666666666
Materials Science,2,2006,6,0.5748,94,100.0
Materials Science,2,2007,14,0.4075857142857143,167,100.0
Materials Science,2,2008,11,1.2405818181818182,387,100.0
Materials Science,2,2009,14,0.9702142857142858,378,100.0
Materials Science,2,2010,30,1.10626,968,96.66666666666667
Materials Science,2,2011,32,0.8380937500000001,722,96.875
Materials Science,2,2012,24,0.842225,584,100.0
Materials Science,2,2013,49,0.9621183673469389,1071,97.95918367346938
Materials Science,2,2014,69,1.0676840579710147,1576,95.65217391304348
Materials Science,2,2015,49,1.5326204081632653,1404,93.87755102040816
Materials Science,2,2016,38,1.956368421052632,1101,92.10526315789474
Materials Science,2,2017,56,1.7882125000000002,1159,91.07142857142857
Materials Science,2,2018,40,2.2217475000000007,590,92.5
Materials Science,2,2019,66,1.9421045454545454,240,69.6969696969697
Materials Science,2,2020,21,0.3630714285714286,1,4.761904761904762
Mathematics,3,2000,1,0.19340000000000002,3,100.0
Mathematics,3,2001,1,0.5247,8,100.0
Mathematics,3,2002,6,1.7927333333333333,158,100.0
Mathematics,3,2003,10,1.00828,144,100.0
Mathematics,3,2004,12,0.8777583333333334,157,91.66666666666666
Mathematics,3,2005,8,0.46168750000000003,52,100.0
Mathematics,3,2006,15,1.50944,309,93.33333333333333
Mathematics,3,2007,20,1.3785150000000002,347,95.0
Mathematics,3,2008,17,1.3376529411764706,272,100.0
Mathematics,3,2009,23,2.8141086956521737,715,100.0
Mathematics,3,2010,17,0.7286411764705882,128,94.11764705882352
Mathematics,3,2011,17,1.6469470588235298,250,100.0
Mathematics,3,2012,24,0.8975375,164,95.83333333333334
Mathematics,3,2013,24,1.0701458333333334,169,79.16666666666666
Mathematics,3,2014,21,0.7432380952380953,88,66.66666666666666
Mathematics,3,2015,18,0.47941666666666666,42,72.22222222222221
Mathematics,3,2016,26,1.3971076923076922,137,73.07692307692307
Mathematics,3,2017,26,1.2029807692307692,87,53.84615384615385
Mathematics,3,2018,20,1.5908449999999998,55,60.0
Mathematics,3,2019,27,1.5188222222222223,25,48.148148148148145
Mathematics,3,2020,17,5.734376470588236,12,29.411764705882355
Physics,4,2000,2,0.2136,12,100.0
Physics,4,2001,4,0.10205,11,25.0
Physics,4,2002,2,0.0548,3,50.0
Physics,4,2003,5,0.31744,41,100.0
Physics,4,2004,4,0.2818,30,75.0
Physics,4,2005,10,0.54879,141,90.0
Physics,4,2006,10,0.23017000000000004,57,100.0
Physics,4,2007,7,0.32771428571428574,53,85.71428571428571
Physics,4,2008,14,0.40659285714285714,132,92.85714285714286
Physics,4,2009,28,0.5177071428571428,315,92.85714285714286
Physics,4,2010,26,0.6494000000000001,355,96.15384615384616
Physics,4,2011,28,0.4893785714285715,261,100.0
Physics,4,2012,32,0.3260625000000001,193,78.125
Physics,4,2013,28,0.37452857142857143,169,82.14285714285714
Physics,4,2014,19,0.8089684210526316,219,94.73684210526315
Physics,4,2015,24,1.06865,312,95.83333333333334
Physics,4,2016,15,2.3378466666666666,343,93.33333333333333
Physics,4,2017,17,1.091335294117647,131,100.0
Physics,4,2018,21,2.350233333333333,209,85.71428571428571
Physics,4,2019,17,0.8360823529411765,18,35.294117647058826
Physics,4,2020,4,2.4654000000000003,1,25.0
Engineering,5,2004,1,0.1635,4,100.0
Engineering,5,2005,1,0.0,0,0.0
Engineering,5,2007,2,0.0223,1,50.0
Engineering,5,2008,3,1.5809666666666666,99,100.0
Engineering,5,2009,6,1.1049333333333333,138,83.33333333333334
Engineering,5,2010,3,1.3751,83,100.0
Engineering,5,2011,7,0.6134000000000001,80,100.0
Engineering,5,2012,10,1.6012,270,100.0
Engineering,5,2013,8,1.4279375,179,100.0
Engineering,5,2014,7,1.6477571428571431,161,100.0
Engineering,5,2015,9,0.5247444444444445,57,88.88888888888889
Engineering,5,2016,13,1.1037692307692308,139,100.0
Engineering,5,2017,17,0.9024588235294118,113,82.35294117647058
Engineering,5,2018,14,0.9184928571428571,56,92.85714285714286
Engineering,5,2019,24,3.6254000000000004,112,62.5
Engineering,5,2020,7,2.348842857142857,3,14.285714285714285
Environment/Ecology,6,2002,1,0.0,0,0.0
Environment/Ecology,6,2003,1,0.139,6,100.0
Environment/Ecology,6,2004,1,0.0,0,0.0
Environment/Ecology,6,2005,1,0.9443,40,100.0
Environment/Ecology,6,2006,3,0.18710000000000002,22,100.0
Environment/Ecology,6,2007,1,0.2142,8,100.0
Environment/Ecology,6,2008,2,0.04905,7,100.0
Environment/Ecology,6,2009,4,0.13924999999999998,17,75.0
Environment/Ecology,6,2010,2,0.5306500000000001,32,100.0
Environment/Ecology,6,2011,7,0.5983428571428571,110,100.0
Environment/Ecology,6,2012,5,0.1916,23,100.0
Environment/Ecology,6,2013,4,0.562875,47,100.0
Environment/Ecology,6,2014,18,0.5471555555555554,173,100.0
Environment/Ecology,6,2015,20,0.7042749999999999,205,80.0
Environment/Ecology,6,2016,5,0.75616,42,100.0
Environment/Ecology,6,2017,6,0.5655166666666667,27,83.33333333333334
Environment/Ecology,6,2018,15,0.6029266666666666,41,66.66666666666666
Environment/Ecology,6,2019,26,0.5341769230769231,18,30.76923076923077
Environment/Ecology,6,2020,3,0.0,0,0.0
Biology & Biochemistry,7,2001,1,0.0398,2,100.0
Biology & Biochemistry,7,2004,1,0.1477,7,100.0
Biology & Biochemistry,7,2006,1,2.0294000000000003,87,100.0
Biology & Biochemistry,7,2007,1,0.2975,27,100.0
Biology & Biochemistry,7,2008,3,0.0,0,0.0
Biology & Biochemistry,7,2010,4,0.751325,97,75.0
Biology & Biochemistry,7,2011,5,1.88108,282,100.0
Biology & Biochemistry,7,2012,4,0.28547500000000003,30,75.0
Biology & Biochemistry,7,2013,4,0.6419750000000001,58,100.0
Biology & Biochemistry,7,2014,11,0.2285,50,100.0
Biology & Biochemistry,7,2015,5,0.6457200000000001,51,100.0
Biology & Biochemistry,7,2016,5,0.41723999999999994,29,100.0
Biology & Biochemistry,7,2017,4,1.173175,40,100.0
Biology & Biochemistry,7,2018,4,1.477525,29,100.0
Biology & Biochemistry,7,2019,5,0.83482,6,40.0
Biology & Biochemistry,7,2020,2,0.0,0,0.0
Plant & Animal Science,8,2000,1,0.035,1,100.0
Plant & Animal Science,8,2002,1,0.07150000000000001,2,100.0
Plant & Animal Science,8,2003,4,0.24865,28,100.0
Plant & Animal Science,8,2005,2,0.26530000000000004,14,100.0
Plant & Animal Science,8,2006,3,0.18486666666666665,14,100.0
Plant & Animal Science,8,2007,2,0.1078,5,50.0
Plant & Animal Science,8,2008,2,0.33290000000000003,14,100.0
