"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,35,0.15253142857142862,155,71.42857142857143
Chemistry,1,2001,31,0.4366387096774195,395,87.09677419354838
Chemistry,1,2002,30,0.23329666666666662,212,90.0
Chemistry,1,2003,28,0.1964607142857143,168,85.71428571428571
Chemistry,1,2004,41,0.4082097560975612,508,95.1219512195122
Chemistry,1,2005,51,0.6878392156862744,955,82.35294117647058
Chemistry,1,2006,45,0.4369222222222222,580,84.44444444444444
Chemistry,1,2007,82,0.4908841463414634,1084,89.02439024390245
Chemistry,1,2008,74,0.6263797297297297,1272,89.1891891891892
Chemistry,1,2009,81,0.5198604938271605,1075,90.12345679012346
Chemistry,1,2010,82,0.6325695121951218,1301,89.02439024390245
Chemistry,1,2011,79,0.7044177215189874,1305,87.34177215189874
Chemistry,1,2012,65,0.6651753846153846,1084,86.15384615384616
Chemistry,1,2013,85,0.827230588235294,1414,90.58823529411765
Chemistry,1,2014,78,0.9595064102564104,1583,92.3076923076923
Chemistry,1,2015,97,0.677360824742268,1255,89.69072164948454
Chemistry,1,2016,82,0.6594829268292682,673,90.2439024390244
Chemistry,1,2017,89,0.9841213483146068,868,88.76404494382022
Chemistry,1,2018,91,0.8469538461538462,448,92.3076923076923
Chemistry,1,2019,104,0.8206625,160,44.230769230769226
Chemistry,1,2020,28,0.46617500000000006,3,7.142857142857142
Physics,2,2000,14,0.2594,102,85.71428571428571
Physics,2,2001,22,0.22942272727272728,136,77.27272727272727
Physics,2,2002,30,0.2921600000000001,240,86.66666666666667
Physics,2,2003,29,0.4578896551724138,343,79.3103448275862
Physics,2,2004,39,0.562625641025641,584,84.61538461538461
Physics,2,2005,36,1.0562694444444445,977,91.66666666666666
Physics,2,2006,38,0.4218368421052632,397,76.31578947368422
Physics,2,2007,53,0.6696943396226415,820,88.67924528301887
Physics,2,2008,59,0.4694186440677966,640,96.61016949152543
Physics,2,2009,53,0.6572867924528302,757,90.56603773584906
Physics,2,2010,54,0.5095203703703705,586,88.88888888888889
