"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,42,0.45450952380952386,553,80.95238095238095
Chemistry,1,2001,30,0.48316333333333344,423,90.0
Chemistry,1,2002,25,0.34204,259,92.0
Chemistry,1,2003,31,0.3960967741935485,375,87.09677419354838
Chemistry,1,2004,52,0.5481769230769232,878,84.61538461538461
Chemistry,1,2005,65,1.0805615384615388,2153,93.84615384615384
Chemistry,1,2006,77,1.0831051948051948,2461,97.40259740259741
Chemistry,1,2007,88,1.0657306818181815,2608,96.5909090909091
Chemistry,1,2008,73,0.9370369863013697,1899,97.26027397260275
Chemistry,1,2009,104,1.0767596153846155,3027,97.11538461538461
Chemistry,1,2010,94,1.0369127659574469,2478,95.74468085106383
Chemistry,1,2011,102,0.8362450980392158,2060,92.15686274509804
Chemistry,1,2012,98,0.964409183673469,2140,92.85714285714286
Chemistry,1,2013,110,1.3955072727272728,3490,98.18181818181819
Chemistry,1,2014,96,1.2650010416666666,2232,92.70833333333334
Chemistry,1,2015,121,1.2116371900826446,2163,96.69421487603306
Chemistry,1,2016,128,1.0928976562500001,1729,94.53125
Chemistry,1,2017,144,1.1939868055555556,1610,95.13888888888889
Chemistry,1,2018,171,1.9277315789473684,1755,91.22807017543859
Chemistry,1,2019,199,1.5882758793969853,496,62.311557788944725
Chemistry,1,2020,42,0.3607095238095238,2,4.761904761904762
Physics,2,2000,44,0.5721045454545455,707,93.18181818181817
Physics,2,2001,48,0.48114999999999997,600,87.5
Physics,2,2002,52,0.3820538461538462,544,86.53846153846155
Physics,2,2003,42,0.7226452380952381,784,95.23809523809523
Physics,2,2004,62,0.6092112903225806,1006,91.93548387096774
Physics,2,2005,73,0.6024712328767122,1130,91.78082191780823
Physics,2,2006,117,0.3872068376068376,1122,88.03418803418803
Physics,2,2007,96,0.37245937500000004,859,89.58333333333334
Physics,2,2008,94,0.7693478723404253,1677,89.36170212765957
Physics,2,2009,80,0.5286362499999999,919,90.0
Physics,2,2010,120,0.8880741666666665,2238,92.5
Physics,2,2011,96,0.6677427083333334,1221,95.83333333333334
Physics,2,2012,76,0.6071328947368422,837,92.10526315789474
Physics,2,2013,92,0.8682,1282,94.56521739130434
Physics,2,2014,97,0.6266030927835052,866,88.65979381443299
Physics,2,2015,97,0.8496329896907213,1015,87.62886597938144
Physics,2,2016,119,1.0992899159663871,1165,90.75630252100841
Physics,2,2017,151,1.2035973509933777,1357,92.71523178807946
Physics,2,2018,224,1.4362834821428572,1416,84.375
Physics,2,2019,290,1.0923393103448278,389,48.275862068965516
Physics,2,2020,59,0.5014372881355933,3,5.084745762711865
Biology & Biochemistry,3,2000,5,0.33922,83,100.0
Biology & Biochemistry,3,2001,12,0.18716666666666668,113,83.33333333333334
Biology & Biochemistry,3,2002,15,0.6568733333333332,514,93.33333333333333
Biology & Biochemistry,3,2003,13,0.6128384615384616,463,100.0
Biology & Biochemistry,3,2004,20,0.4601300000000001,436,95.0
Biology & Biochemistry,3,2005,32,1.47705,728,100.0
Biology & Biochemistry,3,2006,33,0.7901939393939393,910,93.93939393939394
Biology & Biochemistry,3,2007,25,0.7586399999999999,756,96.0
Biology & Biochemistry,3,2008,40,0.9096775000000001,1529,97.5
Biology & Biochemistry,3,2009,22,0.47372272727272713,388,100.0
Biology & Biochemistry,3,2010,24,0.5860791666666667,454,95.83333333333334
Biology & Biochemistry,3,2011,22,0.6187272727272728,398,95.45454545454545
Biology & Biochemistry,3,2012,28,0.9582357142857143,723,92.85714285714286
Biology & Biochemistry,3,2013,26,0.5483423076923076,322,88.46153846153845
Biology & Biochemistry,3,2014,31,0.6259806451612904,385,100.0
Biology & Biochemistry,3,2015,29,0.6547586206896552,322,93.10344827586206
Biology & Biochemistry,3,2016,30,1.3057300000000003,556,90.0
Biology & Biochemistry,3,2017,37,0.8731324324324324,400,83.78378378378379
Biology & Biochemistry,3,2018,52,1.227951923076923,273,82.6923076923077
Biology & Biochemistry,3,2019,57,0.936198245614035,85,54.385964912280706
Biology & Biochemistry,3,2020,17,0.4423,1,5.88235294117647
Molecular Biology & Genetics,4,2000,3,0.49086666666666673,106,100.0
Molecular Biology & Genetics,4,2001,9,0.7265444444444445,497,100.0
Molecular Biology & Genetics,4,2002,9,0.6685111111111112,462,88.88888888888889
Molecular Biology & Genetics,4,2003,13,0.24714615384615388,237,84.61538461538461
Molecular Biology & Genetics,4,2004,21,0.39193333333333336,591,76.19047619047619
Molecular Biology & Genetics,4,2005,13,0.2715461538461538,337,92.3076923076923
Molecular Biology & Genetics,4,2006,17,0.2614529411764706,352,82.35294117647058
Molecular Biology & Genetics,4,2007,14,0.3284142857142857,292,100.0
Molecular Biology & Genetics,4,2008,29,0.43221034482758636,699,79.3103448275862
Molecular Biology & Genetics,4,2009,29,0.5697275862068965,850,100.0
Molecular Biology & Genetics,4,2010,15,0.46435333333333334,339,100.0
Molecular Biology & Genetics,4,2011,8,0.23755000000000004,86,100.0
Molecular Biology & Genetics,4,2012,23,0.40153043478260864,328,100.0
Molecular Biology & Genetics,4,2013,7,0.5176285714285714,114,100.0
Molecular Biology & Genetics,4,2014,18,0.8775888888888888,413,100.0
Molecular Biology & Genetics,4,2015,15,0.5404,175,100.0
Molecular Biology & Genetics,4,2016,29,0.8834413793103447,413,86.20689655172413
Molecular Biology & Genetics,4,2017,57,0.9030280701754387,584,92.98245614035088
Molecular Biology & Genetics,4,2018,45,0.929357777777778,273,82.22222222222221
Molecular Biology & Genetics,4,2019,67,0.7558940298507464,89,47.76119402985074
Molecular Biology & Genetics,4,2020,12,0.6007083333333333,1,8.333333333333332
Materials Science,5,2000,6,1.1266,159,83.33333333333334
Materials Science,5,2001,4,3.0929,307,100.0
Materials Science,5,2003,1,0.5680000000000001,16,100.0
Materials Science,5,2004,7,0.6118285714285714,117,85.71428571428571
Materials Science,5,2005,3,0.19543333333333335,16,100.0
Materials Science,5,2006,5,1.26948,173,100.0
Materials Science,5,2007,9,0.44040000000000007,116,44.44444444444444
Materials Science,5,2008,9,0.9364,239,88.88888888888889
Materials Science,5,2009,12,0.6917249999999999,231,75.0
Materials Science,5,2010,9,0.5333222222222221,140,77.77777777777779
Materials Science,5,2011,10,1.22951,331,100.0
Materials Science,5,2012,15,1.4475200000000004,519,100.0
Materials Science,5,2013,26,1.0136038461538461,610,84.61538461538461
Materials Science,5,2014,32,1.4364343750000002,995,100.0
Materials Science,5,2015,23,1.3496434782608695,579,100.0
Materials Science,5,2016,30,1.3662600000000003,611,96.66666666666667
Materials Science,5,2017,48,1.5737041666666658,850,97.91666666666666
Materials Science,5,2018,63,1.5115571428571428,691,93.65079365079364
Materials Science,5,2019,80,2.26091,397,66.25
Materials Science,5,2020,17,0.4485,1,5.88235294117647
Clinical Medicine,6,2000,1,2.1579,80,100.0
Clinical Medicine,6,2001,2,0.97035,72,100.0
Clinical Medicine,6,2002,5,1.18266,223,100.0
Clinical Medicine,6,2003,9,0.5106444444444445,225,88.88888888888889
Clinical Medicine,6,2004,19,0.777642105263158,530,78.94736842105263
Clinical Medicine,6,2005,23,0.4715000000000001,357,86.95652173913044
Clinical Medicine,6,2006,21,0.6664476190476192,365,95.23809523809523
Clinical Medicine,6,2007,13,1.2728692307692309,559,100.0
Clinical Medicine,6,2008,6,0.6984500000000001,120,100.0
Clinical Medicine,6,2009,18,0.7236722222222223,374,100.0
Clinical Medicine,6,2010,37,0.42347027027027034,407,59.45945945945946
Clinical Medicine,6,2011,17,0.6615529411764703,256,94.11764705882352
Clinical Medicine,6,2012,31,0.6784161290322581,475,96.7741935483871
Clinical Medicine,6,2013,52,0.6234615384615385,488,73.07692307692307
Clinical Medicine,6,2014,50,0.8812080000000002,728,90.0
Clinical Medicine,6,2015,47,0.609572340425532,376,80.85106382978722
Clinical Medicine,6,2016,68,0.7840794117647059,537,77.94117647058823
Clinical Medicine,6,2017,68,1.109454411764706,342,80.88235294117648
Clinical Medicine,6,2018,87,0.7354206896551724,226,75.86206896551724
Clinical Medicine,6,2019,132,0.9081734848484849,130,34.84848484848485
Clinical Medicine,6,2020,24,0.6623958333333334,1,4.166666666666666
Mathematics,7,2000,27,0.4154925925925926,174,96.29629629629629
Mathematics,7,2001,35,0.4441228571428571,237,80.0
Mathematics,7,2002,27,0.762388888888889,308,85.18518518518519
Mathematics,7,2003,27,0.5783111111111112,223,74.07407407407408
Mathematics,7,2004,15,0.5456533333333333,122,80.0
Mathematics,7,2005,34,1.284764705882353,615,91.17647058823529
Mathematics,7,2006,37,0.5544918918918917,280,91.8918918918919
Mathematics,7,2007,57,0.749936842105263,538,91.22807017543859
Mathematics,7,2008,50,0.7959020000000001,476,88.0
Mathematics,7,2009,48,0.8464791666666666,462,83.33333333333334
Mathematics,7,2010,46,0.5259304347826087,250,76.08695652173914
Mathematics,7,2011,48,0.8539395833333333,366,81.25
Mathematics,7,2012,51,0.7958058823529414,309,82.35294117647058
Mathematics,7,2013,85,0.6025341176470588,337,69.41176470588235
Mathematics,7,2014,62,0.6779903225806452,237,80.64516129032258
Mathematics,7,2015,55,0.7583672727272729,203,74.54545454545455
Mathematics,7,2016,57,0.9908052631578944,213,75.43859649122807
Mathematics,7,2017,74,0.8842067567567571,182,70.27027027027027
Mathematics,7,2018,100,1.1454160000000002,198,64.0
Mathematics,7,2019,117,1.2617965811965814,90,28.205128205128204
Mathematics,7,2020,40,2.0309275,10,10.0
Engineering,8,2000,5,0.7399000000000001,75,100.0
Engineering,8,2001,9,1.7904000000000002,108,100.0
Engineering,8,2002,11,0.7398181818181818,134,81.81818181818183
Engineering,8,2003,16,0.5685687500000002,197,93.75
Engineering,8,2004,13,0.4056692307692308,129,92.3076923076923
Engineering,8,2005,9,0.8721888888888889,175,88.88888888888889
Engineering,8,2006,6,1.1785333333333334,67,100.0
Engineering,8,2007,8,0.34033750000000007,61,87.5
Engineering,8,2008,8,0.47309999999999997,79,100.0
Engineering,8,2009,11,0.3668454545454546,84,90.9090909090909
Engineering,8,2010,9,0.855988888888889,155,77.77777777777779
Engineering,8,2011,7,0.7360857142857142,96,85.71428571428571
Engineering,8,2012,8,0.5114875000000001,69,100.0
Engineering,8,2013,14,0.7840428571428572,172,85.71428571428571
Engineering,8,2014,11,0.9378454545454545,144,81.81818181818183
Engineering,8,2015,26,0.8730653846153847,367,84.61538461538461
Engineering,8,2016,22,1.8159090909090911,387,90.9090909090909
Engineering,8,2017,32,0.8909749999999999,210,87.5
Engineering,8,2018,54,1.6031407407407405,377,81.48148148148148
Engineering,8,2019,112,1.026579464285714,148,45.535714285714285
Engineering,8,2020,22,0.9964727272727273,4,13.636363636363635
Plant & Animal Science,9,2001,5,1.30446,185,100.0
Plant & Animal Science,9,2002,5,0.19297999999999998,27,100.0
Plant & Animal Science,9,2003,3,0.7933333333333333,67,33.33333333333333
Plant & Animal Science,9,2004,7,0.5806142857142857,113,85.71428571428571
Plant & Animal Science,9,2005,5,0.46236,61,100.0
Plant & Animal Science,9,2006,8,0.20796250000000002,42,87.5
Plant & Animal Science,9,2007,7,0.3264714285714286,53,100.0
Plant & Animal Science,9,2008,24,0.5271374999999999,266,91.66666666666666
Plant & Animal Science,9,2009,15,0.45062666666666673,134,100.0
Plant & Animal Science,9,2010,24,1.280775,573,83.33333333333334
Plant & Animal Science,9,2011,9,0.944388888888889,141,100.0
Plant & Animal Science,9,2012,17,1.4260000000000002,354,88.23529411764706
Plant & Animal Science,9,2013,9,0.9363666666666668,109,66.66666666666666
Plant & Animal Science,9,2014,15,1.8327866666666666,237,93.33333333333333
Plant & Animal Science,9,2015,18,1.7287222222222225,252,100.0
Plant & Animal Science,9,2016,29,0.8075931034482761,162,86.20689655172413
Plant & Animal Science,9,2017,35,1.0063657142857145,150,88.57142857142857
Plant & Animal Science,9,2018,44,1.1621363636363633,133,75.0
Plant & Animal Science,9,2019,89,1.7074089887640451,118,38.20224719101123
Plant & Animal Science,9,2020,15,0.0,0,0.0
Pharmacology & Toxicology,10,2000,2,0.521,33,100.0
Pharmacology & Toxicology,10,2001,2,0.6537000000000001,39,100.0
Pharmacology & Toxicology,10,2003,7,0.7895714285714286,190,100.0
Pharmacology & Toxicology,10,2004,3,1.0909666666666666,158,100.0
Pharmacology & Toxicology,10,2005,5,0.44072000000000006,73,100.0
Pharmacology & Toxicology,10,2006,2,0.75465,46,50.0
Pharmacology & Toxicology,10,2007,8,0.53075,119,100.0
Pharmacology & Toxicology,10,2008,12,0.566975,177,83.33333333333334
Pharmacology & Toxicology,10,2009,4,0.81795,78,100.0
Pharmacology & Toxicology,10,2010,6,0.9831833333333333,134,100.0
Pharmacology & Toxicology,10,2011,4,0.719075,58,75.0
Pharmacology & Toxicology,10,2012,15,0.9273533333333333,137,73.33333333333333
Pharmacology & Toxicology,10,2013,21,1.888142857142857,192,90.47619047619048
Pharmacology & Toxicology,10,2014,19,0.8015684210526315,214,100.0
Pharmacology & Toxicology,10,2015,15,0.4297666666666667,82,86.66666666666667
Pharmacology & Toxicology,10,2016,29,0.7844689655172415,221,96.55172413793103
Pharmacology & Toxicology,10,2017,16,1.193775,125,100.0
Pharmacology & Toxicology,10,2018,20,0.7346350000000001,65,80.0
Pharmacology & Toxicology,10,2019,33,0.3768333333333333,13,30.303030303030305
Pharmacology & Toxicology,10,2020,5,0.0,0,0.0
Environment/Ecology,11,2003,1,0.25470000000000004,11,100.0
Environment/Ecology,11,2004,1,0.9862000000000001,42,100.0
Environment/Ecology,11,2005,1,0.4958,21,100.0
Environment/Ecology,11,2007,1,0.3749,14,100.0
Environment/Ecology,11,2009,2,0.27849999999999997,17,100.0
Environment/Ecology,11,2010,1,0.0,0,0.0
Environment/Ecology,11,2011,4,0.9519,100,100.0
Environment/Ecology,11,2012,5,0.59146,71,100.0
Environment/Ecology,11,2013,6,0.8113166666666668,92,100.0
Environment/Ecology,11,2014,9,1.2587666666666666,199,100.0
