"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,10,0.37542000000000003,109,80.0
Chemistry,1,2001,31,0.27413225806451613,248,90.32258064516128
Chemistry,1,2002,42,0.44658809523809523,572,90.47619047619048
Chemistry,1,2003,70,0.5194171428571428,1121,85.71428571428571
Chemistry,1,2004,99,0.3955676767676768,1207,94.94949494949495
Chemistry,1,2005,95,0.2966884210526316,864,81.05263157894737
Chemistry,1,2006,103,0.414026213592233,1258,75.72815533980582
Chemistry,1,2007,108,0.5210157407407409,1564,87.96296296296296
Chemistry,1,2008,91,0.4392,1105,85.71428571428571
Chemistry,1,2009,128,0.63368203125,2078,82.8125
Chemistry,1,2010,80,0.6680074999999999,1600,88.75
Chemistry,1,2011,96,0.6098958333333334,1927,86.45833333333334
Chemistry,1,2012,111,0.77540990990991,1969,86.48648648648648
Chemistry,1,2013,123,0.7758804878048782,1937,87.8048780487805
Chemistry,1,2014,118,1.1921813559322036,2576,94.0677966101695
Chemistry,1,2015,127,1.3257102362204722,2729,94.48818897637796
Chemistry,1,2016,163,1.2228196319018403,2478,90.79754601226993
Chemistry,1,2017,165,1.4523206060606064,2326,93.33333333333333
Chemistry,1,2018,170,1.7188276470588242,1786,89.41176470588236
Chemistry,1,2019,171,1.883724561403509,551,61.40350877192983
Chemistry,1,2020,42,1.2278452380952383,10,11.904761904761903
Physics,2,2000,8,0.5518875000000001,124,100.0
Physics,2,2001,12,0.56905,184,91.66666666666666
Physics,2,2002,13,0.5506153846153846,196,92.3076923076923
Physics,2,2003,14,0.48391428571428563,175,78.57142857142857
Physics,2,2004,20,0.7138800000000001,380,100.0
Physics,2,2005,13,0.42813076923076926,143,92.3076923076923
Physics,2,2006,10,0.6944800000000001,172,100.0
Physics,2,2007,17,0.34372941176470595,135,94.11764705882352
Physics,2,2008,29,0.2795586206896552,188,86.20689655172413
Physics,2,2009,24,0.4678416666666667,244,87.5
Physics,2,2010,31,0.30992258064516126,202,90.32258064516128
Physics,2,2011,23,0.6208739130434783,272,86.95652173913044
Physics,2,2012,45,0.9130422222222222,755,88.88888888888889
Physics,2,2013,63,0.9316904761904765,939,92.06349206349206
Physics,2,2014,66,0.6432136363636363,620,93.93939393939394
Physics,2,2015,72,1.579940277777778,1401,97.22222222222221
Physics,2,2016,90,1.1450666666666665,1008,92.22222222222223
Physics,2,2017,59,1.0417694915254236,434,91.52542372881356
Physics,2,2018,88,1.3315363636363637,512,86.36363636363636
Physics,2,2019,113,0.7446681415929203,109,42.47787610619469
Physics,2,2020,9,0.0,0,0.0
Mathematics,3,2000,10,0.43841,68,80.0
Mathematics,3,2001,5,0.48532000000000003,37,100.0
Mathematics,3,2002,12,0.7602166666666665,134,75.0
Mathematics,3,2003,9,0.6146222222222222,79,66.66666666666666
Mathematics,3,2004,19,1.1193473684210526,317,68.42105263157895
Mathematics,3,2005,30,1.8419766666666668,778,86.66666666666667
Mathematics,3,2006,23,0.8824695652173914,277,82.6086956521739
Mathematics,3,2007,35,0.8036228571428572,354,94.28571428571428
Mathematics,3,2008,39,0.8939102564102563,417,87.17948717948718
Mathematics,3,2009,51,0.9539686274509805,543,92.15686274509804
Mathematics,3,2010,38,0.5984657894736841,235,92.10526315789474
Mathematics,3,2011,47,0.6764191489361701,286,89.36170212765957
Mathematics,3,2012,66,1.0169333333333335,511,83.33333333333334
Mathematics,3,2013,75,1.2832173333333337,636,85.33333333333334
Mathematics,3,2014,69,0.830268115942029,323,76.81159420289855
Mathematics,3,2015,64,0.9021468749999999,281,68.75
Mathematics,3,2016,66,0.91595,228,68.18181818181817
Mathematics,3,2017,87,1.8636781609195396,451,72.41379310344827
Mathematics,3,2018,102,1.2817558823529416,226,68.62745098039215
Mathematics,3,2019,96,0.8714197916666668,51,37.5
Mathematics,3,2020,38,2.1378157894736844,10,21.052631578947366
Engineering,4,2000,2,0.36995,15,50.0
Engineering,4,2001,1,0.379,8,100.0
Engineering,4,2002,1,0.3123,7,100.0
Engineering,4,2003,2,0.7619500000000001,33,100.0
Engineering,4,2005,5,2.4311599999999998,271,80.0
Engineering,4,2006,6,0.7149166666666668,96,66.66666666666666
Engineering,4,2007,7,1.817257142857143,285,100.0
Engineering,4,2008,3,0.5589333333333334,35,100.0
Engineering,4,2009,5,3.3725,351,100.0
Engineering,4,2010,4,2.696375,217,100.0
Engineering,4,2011,20,1.0144050000000002,378,95.0
Engineering,4,2012,24,0.9992833333333332,443,83.33333333333334
Engineering,4,2013,30,1.3596366666666668,679,93.33333333333333
Engineering,4,2014,38,1.8136421052631577,962,89.47368421052632
Engineering,4,2015,30,0.9034766666666668,394,100.0
Engineering,4,2016,41,1.4626463414634143,604,92.6829268292683
Engineering,4,2017,58,1.4802017241379313,658,94.82758620689656
Engineering,4,2018,78,1.2031884615384616,412,78.2051282051282
Engineering,4,2019,96,2.0506468750000004,254,57.291666666666664
Engineering,4,2020,15,2.55762,7,26.666666666666668
Materials Science,5,2003,1,0.0,0,0.0
Materials Science,5,2004,1,0.0732,2,100.0
Materials Science,5,2005,8,0.050375,11,37.5
Materials Science,5,2006,10,0.55034,150,60.0
Materials Science,5,2007,1,0.0,0,0.0
Materials Science,5,2011,1,0.0743,2,100.0
Materials Science,5,2012,12,0.98245,298,91.66666666666666
Materials Science,5,2013,9,0.7272333333333334,188,100.0
Materials Science,5,2014,19,1.3311473684210526,656,100.0
Materials Science,5,2015,48,1.0552354166666666,972,97.91666666666666
Materials Science,5,2016,62,1.3280790322580645,1236,96.7741935483871
Materials Science,5,2017,91,1.0735824175824178,1135,92.3076923076923
Materials Science,5,2018,73,1.0604575342465752,568,90.41095890410958
Materials Science,5,2019,90,1.2903922222222224,228,58.88888888888889
Materials Science,5,2020,17,1.3455,3,11.76470588235294
Computer Science,6,2004,1,0.057800000000000004,1,100.0
Computer Science,6,2005,2,0.0,0,0.0
Computer Science,6,2006,5,0.12546,11,80.0
Computer Science,6,2009,1,0.5271,11,100.0
Computer Science,6,2010,3,0.08413333333333334,5,100.0
Computer Science,6,2011,6,1.3386666666666667,162,83.33333333333334
Computer Science,6,2012,5,0.20482,17,80.0
Computer Science,6,2013,11,0.7963636363636365,139,90.9090909090909
Computer Science,6,2014,13,3.3916076923076925,643,100.0
Computer Science,6,2015,14,0.2902285714285715,50,64.28571428571429
Computer Science,6,2016,24,3.171120833333333,733,83.33333333333334
Computer Science,6,2017,23,1.783965217391305,291,69.56521739130434
Computer Science,6,2018,14,2.569285714285715,144,71.42857142857143
Computer Science,6,2019,19,4.262394736842105,104,63.1578947368421
Computer Science,6,2020,6,38.656349999999996,58,33.33333333333333
Molecular Biology & Genetics,7,2002,1,0.0912,7,100.0
Molecular Biology & Genetics,7,2003,1,0.0949,7,100.0
Molecular Biology & Genetics,7,2004,2,0.33065000000000005,48,100.0
Molecular Biology & Genetics,7,2005,2,0.13445000000000001,18,100.0
Molecular Biology & Genetics,7,2006,2,0.21055000000000001,27,100.0
Molecular Biology & Genetics,7,2007,2,0.33155,41,50.0
Molecular Biology & Genetics,7,2008,5,0.26182000000000005,73,100.0
Molecular Biology & Genetics,7,2009,14,0.30006428571428573,213,100.0
Molecular Biology & Genetics,7,2010,23,0.25459130434782606,285,100.0
Molecular Biology & Genetics,7,2011,25,0.195044,208,96.0
Molecular Biology & Genetics,7,2012,13,0.10756923076923078,50,100.0
Molecular Biology & Genetics,7,2013,21,0.4540714285714286,300,95.23809523809523
Molecular Biology & Genetics,7,2014,14,0.9152428571428571,335,92.85714285714286
Molecular Biology & Genetics,7,2015,13,0.6227384615384616,178,92.3076923076923
Molecular Biology & Genetics,7,2016,6,0.10883333333333334,10,50.0
Molecular Biology & Genetics,7,2017,19,0.581521052631579,115,78.94736842105263
Molecular Biology & Genetics,7,2018,40,0.9717024999999999,249,95.0
Molecular Biology & Genetics,7,2019,33,0.6241,35,45.45454545454545
Molecular Biology & Genetics,7,2020,5,0.0,0,0.0
Agricultural Sciences,8,2005,1,1.0295,29,100.0
Agricultural Sciences,8,2006,1,0.8855000000000001,24,100.0
Agricultural Sciences,8,2007,3,0.7383333333333333,55,100.0
Agricultural Sciences,8,2008,4,0.4247000000000001,36,100.0
Agricultural Sciences,8,2009,1,3.3541000000000003,66,100.0
Agricultural Sciences,8,2010,3,5.651133333333334,1095,100.0
Agricultural Sciences,8,2011,4,0.6437999999999999,43,75.0
Agricultural Sciences,8,2012,2,0.6266,19,100.0
