"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,12,0.43008333333333343,148,100.0
Chemistry,1,2001,7,0.43568571428571434,89,100.0
Chemistry,1,2002,18,0.19070555555555557,94,72.22222222222221
Chemistry,1,2003,29,0.43357931034482755,384,93.10344827586206
Chemistry,1,2004,36,0.6159527777777778,683,80.55555555555556
Chemistry,1,2005,26,0.4253461538461539,339,84.61538461538461
Chemistry,1,2006,32,0.443871875,419,90.625
Chemistry,1,2007,54,0.6102351851851852,915,88.88888888888889
Chemistry,1,2008,61,0.9664770491803281,1630,90.1639344262295
Chemistry,1,2009,73,0.9615739726027398,1907,89.04109589041096
Chemistry,1,2010,78,0.8702076923076922,1948,92.3076923076923
Chemistry,1,2011,89,0.8484426966292135,1851,94.3820224719101
Chemistry,1,2012,98,0.8802265306122447,2168,96.93877551020408
Chemistry,1,2013,102,1.131750980392157,2761,92.15686274509804
Chemistry,1,2014,192,1.527036979166667,5727,96.875
Chemistry,1,2015,216,1.8067467592592592,5314,95.37037037037037
Chemistry,1,2016,233,1.1988583690987125,3572,95.27896995708154
Chemistry,1,2017,208,1.2954533653846154,2861,90.86538461538461
Chemistry,1,2018,201,1.5646114427860696,1798,88.05970149253731
Chemistry,1,2019,261,1.6037417624521075,754,63.984674329501914
Chemistry,1,2020,58,0.39180517241379315,3,5.172413793103448
Materials Science,2,2002,1,0.0,0,0.0
Materials Science,2,2004,2,1.39105,76,100.0
Materials Science,2,2005,4,3.3073249999999996,361,100.0
Materials Science,2,2006,4,2.87095,313,100.0
Materials Science,2,2007,2,1.3326,78,100.0
Materials Science,2,2008,11,1.3591818181818185,424,100.0
Materials Science,2,2009,13,1.5810999999999997,572,100.0
Materials Science,2,2010,12,0.36285000000000006,127,91.66666666666666
Materials Science,2,2011,14,1.0188428571428572,384,92.85714285714286
Materials Science,2,2012,22,1.1670727272727275,649,95.45454545454545
Materials Science,2,2013,22,1.8215227272727277,920,95.45454545454545
Materials Science,2,2014,35,1.5373828571428572,1190,97.14285714285714
Materials Science,2,2015,49,1.4625040816326529,1349,95.91836734693877
Materials Science,2,2016,45,1.181488888888889,761,91.11111111111111
Materials Science,2,2017,58,1.4050413793103447,917,98.27586206896551
Materials Science,2,2018,68,1.391829411764706,607,89.70588235294117
Materials Science,2,2019,94,2.403348936170213,423,72.3404255319149
Materials Science,2,2020,26,0.5865,2,7.6923076923076925
Physics,3,2000,7,0.3407857142857143,67,100.0
Physics,3,2001,8,0.21802500000000002,47,75.0
Physics,3,2002,9,0.3651777777777777,90,100.0
Physics,3,2003,9,0.17635555555555557,41,66.66666666666666
Physics,3,2004,21,0.7586047619047619,424,90.47619047619048
Physics,3,2005,23,0.33505217391304354,198,86.95652173913044
Physics,3,2006,21,0.5268190476190477,274,95.23809523809523
Physics,3,2007,25,0.207776,120,80.0
Physics,3,2008,50,0.43382200000000004,503,84.0
Physics,3,2009,64,0.644,891,87.5
Physics,3,2010,78,0.6517602564102564,1053,83.33333333333334
Physics,3,2011,70,0.5932542857142858,791,87.14285714285714
Physics,3,2012,65,0.8336323076923078,992,96.92307692307692
Physics,3,2013,85,0.5202094117647058,722,85.88235294117646
Physics,3,2014,77,0.5304974025974026,582,83.11688311688312
Physics,3,2015,78,0.37579743589743597,361,74.35897435897436
Physics,3,2016,76,0.7664157894736846,688,82.89473684210526
Physics,3,2017,52,0.6018865384615386,221,90.38461538461539
Physics,3,2018,57,0.7788701754385965,188,61.40350877192983
Physics,3,2019,91,0.9458197802197803,109,46.15384615384615
Physics,3,2020,16,0.6163500000000001,1,6.25
Mathematics,4,2000,2,0.3546,11,100.0
Mathematics,4,2001,3,0.4591,21,66.66666666666666
Mathematics,4,2002,9,0.9304222222222222,123,88.88888888888889
Mathematics,4,2003,5,0.37812000000000007,27,80.0
Mathematics,4,2004,6,0.41373333333333334,37,66.66666666666666
Mathematics,4,2005,12,0.242675,41,83.33333333333334
Mathematics,4,2006,7,0.5171428571428571,47,100.0
Mathematics,4,2007,15,0.47673333333333345,90,86.66666666666667
Mathematics,4,2008,28,0.37023928571428577,124,71.42857142857143
Mathematics,4,2009,34,0.5217852941176471,198,82.35294117647058
Mathematics,4,2010,39,0.6153717948717948,248,79.48717948717949
Mathematics,4,2011,40,0.7559500000000001,270,82.5
Mathematics,4,2012,51,1.019870588235294,396,84.31372549019608
Mathematics,4,2013,64,0.5675234375,239,62.5
Mathematics,4,2014,48,0.6244729166666666,169,68.75
Mathematics,4,2015,53,0.6280377358490568,162,66.0377358490566
Mathematics,4,2016,65,0.7383169230769233,181,73.84615384615385
Mathematics,4,2017,52,0.6153153846153846,89,55.769230769230774
Mathematics,4,2018,52,0.51175,46,51.92307692307693
Mathematics,4,2019,53,1.9188867924528303,62,24.528301886792452
Mathematics,4,2020,15,3.249486666666667,6,13.333333333333334
Geosciences,5,2003,1,0.3272,13,100.0
Geosciences,5,2004,1,1.5429000000000002,60,100.0
Geosciences,5,2006,2,3.0991500000000003,224,100.0
Geosciences,5,2007,4,0.8405500000000001,111,100.0
Geosciences,5,2008,2,0.4116,26,100.0
Geosciences,5,2010,4,0.578725,65,100.0
Geosciences,5,2011,6,1.0396166666666666,162,100.0
Geosciences,5,2012,10,1.96049,451,100.0
Geosciences,5,2013,7,1.6110142857142857,226,85.71428571428571
Geosciences,5,2014,6,1.6080000000000003,164,83.33333333333334
Geosciences,5,2015,14,1.0335642857142857,203,100.0
Geosciences,5,2016,12,0.9426583333333333,121,100.0
Geosciences,5,2017,12,1.0164666666666669,90,100.0
Geosciences,5,2018,13,1.9692615384615388,103,100.0
Geosciences,5,2019,27,1.3749185185185182,44,40.74074074074074
Geosciences,5,2020,6,1.2614333333333334,1,16.666666666666664
Engineering,6,2002,4,0.24535,22,75.0
Engineering,6,2004,2,0.51105,25,100.0
Engineering,6,2005,4,0.8074,72,75.0
Engineering,6,2006,4,0.11170000000000001,10,50.0
Engineering,6,2007,3,0.14876666666666669,10,100.0
Engineering,6,2008,6,0.15968333333333334,20,66.66666666666666
Engineering,6,2009,3,0.11210000000000002,7,66.66666666666666
Engineering,6,2010,4,0.42245,34,100.0
Engineering,6,2011,3,0.5367666666666667,30,100.0
Engineering,6,2012,12,0.9982583333333334,202,83.33333333333334
Engineering,6,2013,12,1.2869833333333336,242,100.0
Engineering,6,2014,20,0.916995,256,95.0
Engineering,6,2015,22,1.3406863636363635,356,100.0
Engineering,6,2016,15,1.7549133333333333,255,86.66666666666667
Engineering,6,2017,16,1.5188874999999997,179,100.0
Engineering,6,2018,27,1.2246888888888892,144,85.18518518518519
Engineering,6,2019,46,1.5368565217391303,91,39.130434782608695
Engineering,6,2020,7,1.5658857142857143,2,28.57142857142857
Environment/Ecology,7,2005,3,0.7712,98,100.0
Environment/Ecology,7,2006,1,0.3317,13,100.0
Environment/Ecology,7,2007,1,0.0268,1,100.0
Environment/Ecology,7,2008,1,0.1433,5,100.0
Environment/Ecology,7,2009,1,0.1966,6,100.0
Environment/Ecology,7,2010,1,0.26530000000000004,8,100.0
Environment/Ecology,7,2011,4,0.49500000000000005,52,100.0
Environment/Ecology,7,2012,2,0.5831500000000001,28,100.0
Environment/Ecology,7,2013,7,1.0881142857142858,159,100.0
Environment/Ecology,7,2014,14,0.9732928571428572,219,100.0
Environment/Ecology,7,2015,18,0.8474222222222223,222,94.44444444444444
Environment/Ecology,7,2016,31,1.015158064516129,354,100.0
Environment/Ecology,7,2017,25,0.8545639999999999,170,84.0
Environment/Ecology,7,2018,36,0.8497750000000001,147,80.55555555555556
Environment/Ecology,7,2019,31,0.8213645161290324,33,35.483870967741936
Environment/Ecology,7,2020,5,0.0,0,0.0
Agricultural Sciences,8,2004,1,0.1734,5,100.0
Agricultural Sciences,8,2006,1,0.2214,6,100.0
Agricultural Sciences,8,2010,3,1.0809,60,100.0
Agricultural Sciences,8,2011,2,1.31755,44,100.0
Agricultural Sciences,8,2012,9,1.1212222222222223,153,88.88888888888889
Agricultural Sciences,8,2013,7,1.534157142857143,145,100.0
Agricultural Sciences,8,2014,10,1.8750900000000006,226,100.0
Agricultural Sciences,8,2015,11,1.1737727272727274,131,90.9090909090909
Agricultural Sciences,8,2016,15,1.3383200000000002,160,100.0
Agricultural Sciences,8,2017,31,1.328825806451613,224,96.7741935483871
Agricultural Sciences,8,2018,29,1.7974137931034486,173,93.10344827586206
Agricultural Sciences,8,2019,23,1.4275000000000002,39,52.17391304347826
Agricultural Sciences,8,2020,19,1.1182947368421055,2,10.526315789473683
Computer Science,9,2005,2,0.37145,12,100.0
Computer Science,9,2006,6,0.6844,72,66.66666666666666
Computer Science,9,2007,1,13.4814,309,100.0
Computer Science,9,2008,2,0.22065,10,100.0
Computer Science,9,2009,2,0.2156,9,100.0
Computer Science,9,2010,4,0.6181,49,100.0
Computer Science,9,2011,3,0.4958,30,100.0
