"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,18,0.3654833333333334,191,72.22222222222221
Chemistry,1,2001,24,0.19743750000000002,133,66.66666666666666
Chemistry,1,2002,22,0.24760909090909095,165,68.18181818181817
Chemistry,1,2003,23,0.27000869565217384,229,91.30434782608695
Chemistry,1,2004,48,0.40950000000000003,670,83.33333333333334
Chemistry,1,2005,88,0.44356704545454556,797,80.68181818181817
Chemistry,1,2006,95,1.022242105263158,1487,89.47368421052632
Chemistry,1,2007,110,0.5038736363636364,1539,85.45454545454545
Chemistry,1,2008,95,1.0552189473684215,1088,86.31578947368422
Chemistry,1,2009,117,0.5114136752136752,1547,95.72649572649573
Chemistry,1,2010,122,0.5338696721311474,1773,92.62295081967213
Chemistry,1,2011,114,0.5568017543859651,1533,91.22807017543859
Chemistry,1,2012,111,0.5030288288288286,1368,90.990990990991
Chemistry,1,2013,121,0.4208322314049588,1024,86.77685950413223
Chemistry,1,2014,93,0.706409677419355,1203,89.24731182795699
Chemistry,1,2015,98,0.7414887755102042,1147,92.85714285714286
Chemistry,1,2016,92,0.6680782608695652,769,89.13043478260869
Chemistry,1,2017,84,0.6027904761904761,479,86.90476190476191
Chemistry,1,2018,67,0.8408029850746268,319,76.11940298507463
Chemistry,1,2019,76,0.796663157894737,102,48.68421052631579
Chemistry,1,2020,12,1.262475,2,8.333333333333332
Physics,2,2000,6,0.2255,38,83.33333333333334
Physics,2,2001,15,0.15586000000000003,63,86.66666666666667
Physics,2,2002,19,0.24986315789473687,130,84.21052631578947
Physics,2,2003,35,0.3738685714285715,338,82.85714285714286
Physics,2,2004,42,0.38645476190476186,432,76.19047619047619
Physics,2,2005,60,0.4527816666666667,698,81.66666666666667
Physics,2,2006,46,0.6363782608695653,725,78.26086956521739
Physics,2,2007,39,0.6403948717948718,577,89.74358974358975
Physics,2,2008,54,0.3210314814814815,402,88.88888888888889
Physics,2,2009,44,0.31585681818181816,302,81.81818181818183
Physics,2,2010,51,0.3208098039215687,344,88.23529411764706
Physics,2,2011,42,0.4622309523809524,372,88.09523809523809
Physics,2,2012,50,0.533634,484,76.0
Physics,2,2013,39,0.5351743589743589,335,94.87179487179486
Physics,2,2014,46,0.6133630434782609,402,84.78260869565217
Physics,2,2015,37,0.4026108108108109,179,81.08108108108108
Physics,2,2016,47,0.6728,390,78.72340425531915
Physics,2,2017,48,0.7474062499999999,254,89.58333333333334
Physics,2,2018,45,0.750408888888889,143,75.55555555555556
Physics,2,2019,67,1.1196328358208958,95,55.223880597014926
Physics,2,2020,16,0.0,0,0.0
Materials Science,3,2001,1,1.1686,29,100.0
Materials Science,3,2002,2,0.6253,32,100.0
Materials Science,3,2003,1,0.0,0,0.0
Materials Science,3,2005,2,0.7696000000000001,42,100.0
Materials Science,3,2006,4,0.7429749999999999,81,100.0
Materials Science,3,2007,7,1.1129428571428572,228,100.0
Materials Science,3,2008,7,1.2694428571428573,252,100.0
Materials Science,3,2009,7,1.5194857142857146,296,100.0
Materials Science,3,2010,8,1.032825,241,100.0
Materials Science,3,2011,7,0.4298285714285714,81,85.71428571428571
Materials Science,3,2012,21,0.4653095238095238,247,85.71428571428571
Materials Science,3,2013,17,0.3864764705882353,151,94.11764705882352
Materials Science,3,2014,19,0.6851894736842106,281,94.73684210526315
Materials Science,3,2015,15,0.7648733333333334,214,100.0
Materials Science,3,2016,15,1.1046333333333331,247,93.33333333333333
Materials Science,3,2017,8,1.2330375,111,100.0
Materials Science,3,2018,13,0.8226538461538462,71,92.3076923076923
