"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,24,0.4802125,334,79.16666666666666
Chemistry,1,2001,14,0.19336428571428574,79,78.57142857142857
Chemistry,1,2002,36,0.36459444444444455,403,88.88888888888889
Chemistry,1,2003,51,0.5014333333333332,781,92.15686274509804
Chemistry,1,2004,61,0.9154344262295081,1720,85.24590163934425
Chemistry,1,2005,78,0.5811846153846154,1441,89.74358974358975
Chemistry,1,2006,87,0.594206896551724,1525,91.95402298850574
Chemistry,1,2007,75,0.5990293333333334,1349,92.0
Chemistry,1,2008,77,0.8120571428571426,2816,89.6103896103896
Chemistry,1,2009,88,1.0698136363636364,2476,95.45454545454545
Chemistry,1,2010,82,1.0472963414634147,2169,93.90243902439023
Chemistry,1,2011,101,1.0231257425742577,2904,96.03960396039604
Chemistry,1,2012,115,1.0050939130434784,3000,95.65217391304348
Chemistry,1,2013,136,1.184925,3377,96.32352941176471
Chemistry,1,2014,147,1.4549163265306122,4406,95.23809523809523
Chemistry,1,2015,156,1.9399615384615392,4777,96.7948717948718
Chemistry,1,2016,163,1.861411042944785,3802,96.31901840490798
Chemistry,1,2017,208,1.8188379807692305,3543,94.71153846153845
Chemistry,1,2018,271,1.6811719557195572,2501,88.19188191881919
Chemistry,1,2019,282,1.8883726950354611,907,59.57446808510638
Chemistry,1,2020,59,0.6063999999999999,6,8.47457627118644
Physics,2,2000,31,0.6087322580645163,530,80.64516129032258
Physics,2,2001,22,0.9885409090909093,586,95.45454545454545
Physics,2,2002,50,0.521554,701,94.0
Physics,2,2003,32,0.4960125,410,87.5
Physics,2,2004,71,0.8116352112676057,1546,85.91549295774648
Physics,2,2005,60,0.8387466666666665,1293,90.0
Physics,2,2006,73,0.8230232876712329,1488,94.52054794520548
Physics,2,2007,71,0.4791859154929577,786,90.14084507042254
Physics,2,2008,85,0.5408258823529413,1066,94.11764705882352
Physics,2,2009,69,0.5902463768115941,880,89.85507246376811
Physics,2,2010,78,0.7394884615384616,1221,88.46153846153845
Physics,2,2011,79,0.5468202531645571,828,91.13924050632912
Physics,2,2012,84,0.6880273809523809,980,92.85714285714286
Physics,2,2013,108,1.1167453703703705,1919,91.66666666666666
Physics,2,2014,137,0.8567131386861313,1704,85.40145985401459
Physics,2,2015,147,1.2432727891156465,2168,91.15646258503402
Physics,2,2016,136,1.1881080882352943,1678,93.38235294117648
Physics,2,2017,195,1.2281302564102563,1691,87.6923076923077
Physics,2,2018,229,1.1671353711790393,1138,79.91266375545851
Physics,2,2019,233,1.4487270386266096,436,52.78969957081545
Physics,2,2020,37,0.7995891891891892,3,8.108108108108109
Engineering,3,2000,5,0.14796,15,80.0
Engineering,3,2001,15,0.63488,201,73.33333333333333
Engineering,3,2002,12,0.516725,139,100.0
Engineering,3,2003,20,0.813555,359,80.0
Engineering,3,2004,20,2.4385649999999996,1193,90.0
Engineering,3,2005,18,3.994966666666667,1551,94.44444444444444
Engineering,3,2006,28,1.0851500000000003,680,85.71428571428571
Engineering,3,2007,23,0.8519304347826085,439,95.65217391304348
Engineering,3,2008,33,0.9739727272727273,608,84.84848484848484
Engineering,3,2009,49,1.3510285714285715,1378,95.91836734693877
Engineering,3,2010,44,1.0384386363636364,907,86.36363636363636
Engineering,3,2011,36,0.9556749999999999,641,88.88888888888889
Engineering,3,2012,46,1.1486760869565218,891,80.43478260869566
Engineering,3,2013,71,1.6323028169014093,1816,90.14084507042254
Engineering,3,2014,65,1.2854153846153846,987,92.3076923076923
Engineering,3,2015,79,1.8063493670886075,1859,88.60759493670885
Engineering,3,2016,106,1.4579415094339625,1362,89.62264150943396
Engineering,3,2017,124,1.4705951612903232,1412,95.96774193548387
Engineering,3,2018,171,1.7212374269005843,1293,84.7953216374269
Engineering,3,2019,224,1.4427629464285716,416,46.42857142857143
Engineering,3,2020,59,1.57814406779661,18,18.64406779661017
Geosciences,4,2000,3,0.2841,34,100.0
Geosciences,4,2001,10,5.01447,1975,100.0
Geosciences,4,2002,4,0.12855,20,100.0
Geosciences,4,2003,6,2.5128333333333335,599,100.0
Geosciences,4,2004,9,2.9801111111111114,1043,100.0
Geosciences,4,2005,7,5.774657142857143,1506,100.0
Geosciences,4,2006,17,0.8089823529411765,497,70.58823529411765
Geosciences,4,2007,13,0.7293230769230769,313,100.0
Geosciences,4,2008,12,4.970558333333334,1613,83.33333333333334
Geosciences,4,2009,20,2.0598300000000003,1250,95.0
Geosciences,4,2010,31,1.0673935483870969,911,96.7741935483871
Geosciences,4,2011,23,0.8839304347826089,528,100.0
Geosciences,4,2012,18,1.0392055555555555,537,100.0
Geosciences,4,2013,38,1.7779815789473687,1354,94.73684210526315
Geosciences,4,2014,50,1.3730739999999997,1167,96.0
Geosciences,4,2015,59,0.9934000000000002,828,96.61016949152543
Geosciences,4,2016,56,1.5150035714285714,913,100.0
Geosciences,4,2017,79,1.3006367088607595,758,96.20253164556962
Geosciences,4,2018,109,1.4228577981651371,551,81.65137614678899
Geosciences,4,2019,138,1.758094927536232,290,50.0
Geosciences,4,2020,27,3.0835000000000004,11,11.11111111111111
Materials Science,5,2000,4,2.104425,198,100.0
Materials Science,5,2001,1,1.2089,30,100.0
Materials Science,5,2002,4,1.9834,203,100.0
Materials Science,5,2003,9,2.3035222222222225,584,100.0
Materials Science,5,2004,10,0.98537,204,90.0
Materials Science,5,2005,19,0.2777315789473685,144,89.47368421052632
Materials Science,5,2006,15,0.8756533333333335,358,93.33333333333333
Materials Science,5,2007,17,0.6874117647058824,342,94.11764705882352
Materials Science,5,2008,20,1.12133,636,90.0
Materials Science,5,2009,25,0.7057440000000001,491,92.0
Materials Science,5,2010,19,1.044789473684211,579,100.0
Materials Science,5,2011,20,0.8172,440,90.0
Materials Science,5,2012,37,1.0093540540540542,944,97.2972972972973
