"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,40,0.36250499999999997,406,95.0
Chemistry,1,2001,40,0.26899500000000004,314,82.5
Chemistry,1,2002,62,0.44410483870967743,834,90.32258064516128
Chemistry,1,2003,44,0.3960704545454546,564,95.45454545454545
Chemistry,1,2004,67,0.42475074626865666,895,92.53731343283582
Chemistry,1,2005,90,0.3361611111111112,998,93.33333333333333
Chemistry,1,2006,114,0.351567543859649,1200,91.22807017543859
Chemistry,1,2007,110,0.3608427272727272,1132,93.63636363636364
Chemistry,1,2008,119,0.3858369747899161,1278,91.59663865546219
Chemistry,1,2009,98,0.7890275510204081,1981,90.81632653061224
Chemistry,1,2010,109,0.5219733944954127,1490,92.66055045871559
Chemistry,1,2011,143,0.6202202797202797,2142,89.5104895104895
Chemistry,1,2012,129,0.6564410852713177,1916,88.37209302325581
Chemistry,1,2013,162,0.8723475308641976,2903,93.82716049382715
Chemistry,1,2014,186,1.0104736559139789,3435,96.23655913978494
Chemistry,1,2015,208,1.0660264423076922,3462,92.3076923076923
Chemistry,1,2016,219,1.0293050228310503,2847,92.69406392694064
Chemistry,1,2017,223,1.1605843049327353,2453,90.5829596412556
Chemistry,1,2018,223,1.1746183856502246,1471,86.54708520179372
Chemistry,1,2019,260,1.5221469230769236,667,59.61538461538461
Chemistry,1,2020,76,2.790739473684211,28,11.842105263157894
Materials Science,2,2000,6,0.24798333333333333,35,66.66666666666666
Materials Science,2,2001,9,0.6626888888888889,148,77.77777777777779
Materials Science,2,2002,3,0.013033333333333334,1,33.33333333333333
Materials Science,2,2003,11,0.3861181818181819,123,100.0
Materials Science,2,2004,8,0.6133625,143,87.5
Materials Science,2,2005,10,0.66115,187,100.0
Materials Science,2,2006,8,0.307275,67,75.0
Materials Science,2,2007,14,0.33192142857142853,136,92.85714285714286
Materials Science,2,2008,13,0.5235153846153847,193,92.3076923076923
Materials Science,2,2009,13,1.1719846153846154,424,100.0
Materials Science,2,2010,8,0.9042749999999999,211,100.0
Materials Science,2,2011,16,1.8617437500000005,830,93.75
Materials Science,2,2012,34,0.902944117647059,776,97.05882352941177
Materials Science,2,2013,34,1.142244117647059,920,97.05882352941177
Materials Science,2,2014,64,1.2957984375,1790,98.4375
Materials Science,2,2015,72,1.2590958333333335,1669,98.61111111111111
Materials Science,2,2016,50,1.4315440000000004,1067,94.0
Materials Science,2,2017,74,1.509562162162162,1257,98.64864864864865
Materials Science,2,2018,55,1.4925763636363636,545,87.27272727272727
Materials Science,2,2019,100,1.506842,284,67.0
Materials Science,2,2020,33,0.6931363636363637,3,9.090909090909092
Physics,3,2000,6,0.4509833333333333,76,100.0
Physics,3,2001,21,0.42077619047619047,235,95.23809523809523
Physics,3,2002,22,0.31262272727272733,181,90.9090909090909
Physics,3,2003,42,0.7622857142857142,827,90.47619047619048
Physics,3,2004,32,0.501365625,427,87.5
Physics,3,2005,34,0.5746588235294118,502,97.05882352941177
Physics,3,2006,36,0.4264666666666667,372,97.22222222222221
Physics,3,2007,46,0.4215608695652174,448,91.30434782608695
Physics,3,2008,71,0.4749718309859155,782,94.36619718309859
Physics,3,2009,64,0.48966406250000016,681,87.5
Physics,3,2010,66,0.5397469696969696,749,92.42424242424242
Physics,3,2011,71,0.48394929577464785,651,95.77464788732394
Physics,3,2012,77,0.3207389610389611,448,81.81818181818183
Physics,3,2013,68,0.42787941176470584,467,89.70588235294117
Physics,3,2014,86,0.6610499999999999,810,82.55813953488372
Physics,3,2015,64,0.4871828125,384,82.8125
Physics,3,2016,80,0.8421862499999998,659,87.5
Physics,3,2017,82,0.6424817073170731,372,84.14634146341463
Physics,3,2018,85,0.6082435294117646,221,70.58823529411765
Physics,3,2019,89,1.7478516853932586,197,42.69662921348314
Physics,3,2020,19,0.17792105263157895,1,5.263157894736842
Mathematics,4,2000,14,0.9901142857142858,215,78.57142857142857
Mathematics,4,2001,9,3.0388666666666664,417,100.0
Mathematics,4,2002,9,0.9758,129,88.88888888888889
Mathematics,4,2003,13,2.1706384615384615,403,92.3076923076923
Mathematics,4,2004,21,1.0989952380952381,344,90.47619047619048
Mathematics,4,2005,27,1.1758962962962964,447,96.29629629629629
Mathematics,4,2006,26,0.9920115384615383,352,80.76923076923077
Mathematics,4,2007,28,0.7633214285714285,269,85.71428571428571
Mathematics,4,2008,31,0.8171516129032258,303,93.54838709677419
Mathematics,4,2009,44,1.111843181818182,546,95.45454545454545
Mathematics,4,2010,49,0.6161836734693877,312,83.6734693877551
Mathematics,4,2011,62,0.9049677419354839,501,80.64516129032258
Mathematics,4,2012,67,0.719461194029851,367,71.64179104477611
Mathematics,4,2013,62,0.7721209677419357,315,79.03225806451613
Mathematics,4,2014,73,0.6414287671232877,264,65.75342465753424
Mathematics,4,2015,64,0.8026156249999999,250,71.875
Mathematics,4,2016,62,0.8510225806451613,199,58.06451612903226
Mathematics,4,2017,81,0.8255419753086419,186,69.1358024691358
Mathematics,4,2018,78,1.0828179487179488,146,56.41025641025641
Mathematics,4,2019,78,0.7570794871794873,36,17.94871794871795
Mathematics,4,2020,16,0.0,0,0.0
Engineering,5,2000,2,0.0,0,0.0
Engineering,5,2001,3,0.18953333333333333,12,66.66666666666666
Engineering,5,2002,5,0.19628,22,60.0
Engineering,5,2003,2,0.50795,22,100.0
Engineering,5,2004,4,0.2146,21,100.0
Engineering,5,2006,5,0.9919400000000002,111,100.0
Engineering,5,2007,3,0.4909666666666667,33,100.0
Engineering,5,2008,4,0.059875,5,50.0
Engineering,5,2009,6,0.7926833333333333,99,83.33333333333334
Engineering,5,2010,8,0.521875,84,87.5
Engineering,5,2011,13,1.0817153846153849,262,100.0
Engineering,5,2012,9,0.7313999999999999,111,77.77777777777779
Engineering,5,2013,19,0.984142105263158,293,89.47368421052632
Engineering,5,2014,17,1.2516058823529412,297,76.47058823529412
Engineering,5,2015,23,1.5994,444,91.30434782608695
Engineering,5,2016,16,2.0839812500000003,323,87.5
Engineering,5,2017,26,1.7284153846153847,331,88.46153846153845
Engineering,5,2018,40,1.2686925,221,72.5
Engineering,5,2019,75,1.356934666666667,131,38.666666666666664
Engineering,5,2020,3,5.4806333333333335,3,33.33333333333333
Geosciences,6,2001,1,1.9296,76,100.0
Geosciences,6,2002,1,0.36000000000000004,14,100.0
Geosciences,6,2003,1,0.6796,27,100.0
Geosciences,6,2004,1,0.36000000000000004,14,100.0
Geosciences,6,2007,2,0.12115000000000001,8,100.0
Geosciences,6,2008,3,0.4960333333333334,47,100.0
Geosciences,6,2009,5,0.36910000000000004,56,100.0
Geosciences,6,2010,4,0.528325,60,100.0
Geosciences,6,2011,11,0.6650818181818181,190,100.0
Geosciences,6,2012,8,0.7281249999999999,134,100.0
Geosciences,6,2013,17,1.326729411764706,452,94.11764705882352
Geosciences,6,2014,15,1.0981466666666668,280,100.0
Geosciences,6,2015,23,1.2024608695652175,388,100.0
Geosciences,6,2016,19,1.1158263157894737,244,84.21052631578947
Geosciences,6,2017,17,0.6696823529411765,84,88.23529411764706
Geosciences,6,2018,20,0.78291,63,70.0
Geosciences,6,2019,22,0.6903000000000001,18,36.36363636363637
Geosciences,6,2020,5,0.0,0,0.0
Environment/Ecology,7,2000,2,0.9,82,100.0
Environment/Ecology,7,2002,3,0.1648666666666667,22,100.0
Environment/Ecology,7,2003,1,2.8254,122,100.0
Environment/Ecology,7,2004,2,0.9510000000000001,81,100.0
Environment/Ecology,7,2005,3,0.29116666666666663,37,100.0
Environment/Ecology,7,2006,2,0.21685,17,100.0
Environment/Ecology,7,2007,2,1.56655,117,100.0
Environment/Ecology,7,2008,2,1.53285,107,100.0
Environment/Ecology,7,2009,3,0.3604,33,100.0
Environment/Ecology,7,2010,11,0.8786363636363638,336,100.0
Environment/Ecology,7,2011,8,0.6187375000000002,130,100.0
Environment/Ecology,7,2012,11,0.8680090909090908,193,100.0
Environment/Ecology,7,2013,9,1.2508222222222223,235,100.0
Environment/Ecology,7,2014,6,0.59775,63,83.33333333333334
Environment/Ecology,7,2015,19,0.8437105263157897,234,94.73684210526315
Environment/Ecology,7,2016,17,0.4871588235294118,92,94.11764705882352
Environment/Ecology,7,2017,12,0.5236333333333333,50,91.66666666666666
Environment/Ecology,7,2018,26,0.6286,83,92.3076923076923
Environment/Ecology,7,2019,52,0.6232057692307692,42,36.53846153846153
Environment/Ecology,7,2020,11,0.6286727272727273,1,9.090909090909092
Biology & Biochemistry,8,2002,2,1.09525,104,100.0
Biology & Biochemistry,8,2004,2,1.05535,100,100.0
Biology & Biochemistry,8,2005,2,0.5958,108,100.0
Biology & Biochemistry,8,2006,3,0.9641666666666667,124,100.0
Biology & Biochemistry,8,2007,4,0.765125,122,100.0
Biology & Biochemistry,8,2008,1,0.0269,1,100.0
Biology & Biochemistry,8,2009,8,0.996175,286,87.5
Biology & Biochemistry,8,2010,8,0.5731875,148,87.5
Biology & Biochemistry,8,2011,3,1.0716333333333334,94,100.0
Biology & Biochemistry,8,2012,8,0.9182875,193,100.0
Biology & Biochemistry,8,2013,8,0.6259374999999999,124,100.0
Biology & Biochemistry,8,2014,2,1.11325,43,50.0
Biology & Biochemistry,8,2015,6,2.5322999999999998,240,100.0
Biology & Biochemistry,8,2016,8,1.3941624999999997,133,100.0
Biology & Biochemistry,8,2017,6,0.8211833333333334,42,100.0
Biology & Biochemistry,8,2018,13,0.7995076923076924,51,61.53846153846154
Biology & Biochemistry,8,2019,12,0.9855666666666668,17,66.66666666666666
Biology & Biochemistry,8,2020,5,0.0,0,0.0
Computer Science,9,2000,1,1.1473,25,100.0
Computer Science,9,2004,1,0.11570000000000001,2,100.0
Computer Science,9,2006,1,0.11410000000000001,2,100.0
Computer Science,9,2007,1,0.6108,14,100.0
Computer Science,9,2008,4,1.9639000000000002,178,100.0
Computer Science,9,2009,2,0.4312,18,100.0
Computer Science,9,2010,5,2.08894,207,100.0
Computer Science,9,2011,6,0.12395,15,66.66666666666666
Computer Science,9,2012,10,0.9397300000000002,156,100.0
Computer Science,9,2013,10,0.39706,63,60.0
Computer Science,9,2014,17,0.35092352941176475,87,94.11764705882352
Computer Science,9,2015,19,0.5517368421052633,129,89.47368421052632
Computer Science,9,2016,13,0.6483307692307693,61,84.61538461538461
Computer Science,9,2017,19,1.1341421052631582,161,78.94736842105263
