"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,47,0.23889361702127668,326,74.46808510638297
Chemistry,1,2001,54,0.2081425925925926,328,77.77777777777779
Chemistry,1,2002,50,0.31099800000000005,471,80.0
Chemistry,1,2003,46,0.8421000000000002,1183,89.13043478260869
Chemistry,1,2004,67,0.6552895522388061,1360,97.01492537313433
Chemistry,1,2005,73,0.2790013698630137,616,93.15068493150685
Chemistry,1,2006,92,0.2697217391304348,732,94.56521739130434
Chemistry,1,2007,75,0.2669813333333333,556,84.0
Chemistry,1,2008,60,0.4115233333333334,685,86.66666666666667
Chemistry,1,2009,59,0.7904813559322036,1205,79.66101694915254
Chemistry,1,2010,58,0.47878620689655166,706,77.58620689655173
Chemistry,1,2011,53,0.6492132075471697,831,84.90566037735849
Chemistry,1,2012,53,0.5170169811320756,620,84.90566037735849
Chemistry,1,2013,69,0.8857260869565217,1229,92.7536231884058
Chemistry,1,2014,99,1.2811323232323233,2339,96.96969696969697
Chemistry,1,2015,102,1.463405882352941,2432,95.09803921568627
Chemistry,1,2016,156,1.3542442307692308,2829,94.23076923076923
Chemistry,1,2017,216,2.181426388888889,4524,95.37037037037037
Chemistry,1,2018,211,2.1939274881516595,2596,92.41706161137441
Chemistry,1,2019,268,2.2432626865671645,1022,71.26865671641791
Chemistry,1,2020,83,3.1029590361445787,34,16.867469879518072
Mathematics,2,2000,11,0.44543636363636363,76,90.9090909090909
Mathematics,2,2001,10,0.73458,112,90.0
Mathematics,2,2002,17,0.42449411764705886,106,94.11764705882352
Mathematics,2,2003,16,1.02841875,235,81.25
Mathematics,2,2004,27,0.8199851851851853,330,77.77777777777779
Mathematics,2,2005,38,0.9084052631578947,486,92.10526315789474
Mathematics,2,2006,59,0.899150847457627,724,79.66101694915254
Mathematics,2,2007,83,1.065444578313253,1113,91.56626506024097
Mathematics,2,2008,70,1.0366771428571429,868,88.57142857142857
Mathematics,2,2009,59,1.4776169491525424,973,93.22033898305084
Mathematics,2,2010,54,2.034142592592592,1130,96.29629629629629
Mathematics,2,2011,56,1.6859517857142856,848,92.85714285714286
Mathematics,2,2012,91,1.2817142857142856,888,85.71428571428571
Mathematics,2,2013,69,1.6920362318840585,766,86.95652173913044
Mathematics,2,2014,68,1.9992382352941178,761,86.76470588235294
Mathematics,2,2015,50,3.172443999999999,772,96.0
Mathematics,2,2016,83,3.6992771084337357,1158,95.18072289156626
Mathematics,2,2017,108,6.637670370370372,1994,96.29629629629629
Mathematics,2,2018,229,4.76433056768559,1886,80.34934497816593
Mathematics,2,2019,279,3.274801433691757,557,48.74551971326165
Mathematics,2,2020,77,2.2155545454545464,21,15.584415584415584
Engineering,3,2000,5,2.5057400000000003,254,100.0
Engineering,3,2001,4,0.5211749999999999,44,100.0
Engineering,3,2002,5,4.88954,65,100.0
Engineering,3,2003,8,1.0937125,147,87.5
Engineering,3,2004,8,0.5519000000000001,108,87.5
Engineering,3,2005,12,1.4989083333333335,401,91.66666666666666
Engineering,3,2006,11,0.7839727272727274,193,81.81818181818183
Engineering,3,2007,17,1.5805823529411764,602,94.11764705882352
Engineering,3,2008,18,3.05545,1148,94.44444444444444
Engineering,3,2009,21,3.0243142857142855,1322,95.23809523809523
Engineering,3,2010,24,2.3049791666666675,1113,95.83333333333334
Engineering,3,2011,28,1.8938714285714287,988,100.0
Engineering,3,2012,36,1.0888555555555555,669,91.66666666666666
Engineering,3,2013,48,1.2631416666666668,939,85.41666666666666
Engineering,3,2014,35,1.701502857142857,837,91.42857142857143
Engineering,3,2015,56,1.5786178571428573,1067,91.07142857142857
Engineering,3,2016,55,1.4827763636363636,790,94.54545454545455
Engineering,3,2017,119,1.7216142857142858,1509,94.11764705882352
Engineering,3,2018,152,1.5711361842105263,1040,80.92105263157895
Engineering,3,2019,173,2.8973757225433525,647,51.445086705202314
Engineering,3,2020,28,8.025192857142859,41,28.57142857142857
Physics,4,2000,5,0.1068,15,80.0
Physics,4,2001,9,0.3711111111111111,90,100.0
Physics,4,2002,8,0.20087500000000003,44,75.0
Physics,4,2003,10,0.19742,51,70.0
Physics,4,2004,11,0.6728909090909091,197,100.0
Physics,4,2005,14,0.7923214285714283,285,92.85714285714286
Physics,4,2006,35,0.603354285714286,523,94.28571428571428
Physics,4,2007,44,0.6256568181818183,636,88.63636363636364
Physics,4,2008,43,0.3740674418604652,373,90.69767441860465
Physics,4,2009,45,0.49267777777777777,500,88.88888888888889
Physics,4,2010,43,0.5674232558139535,513,90.69767441860465
Physics,4,2011,49,0.715726530612245,668,91.83673469387756
Physics,4,2012,60,0.5503583333333334,599,88.33333333333333
Physics,4,2013,53,0.756145283018868,648,90.56603773584906
Physics,4,2014,37,1.0167405405405405,536,91.8918918918919
Physics,4,2015,46,1.050254347826087,595,84.78260869565217
Physics,4,2016,48,0.7028895833333334,330,93.75
Physics,4,2017,75,1.2972639999999998,685,84.0
Physics,4,2018,80,1.2653225000000001,485,88.75
Physics,4,2019,111,1.1239891891891893,158,44.14414414414414
Physics,4,2020,22,0.0,0,0.0
Materials Science,5,2004,4,2.736275,299,100.0
Materials Science,5,2005,2,1.1544,63,100.0
Materials Science,5,2006,10,1.00162,273,100.0
Materials Science,5,2007,5,1.55626,62,100.0
Materials Science,5,2008,7,0.4180857142857143,83,100.0
Materials Science,5,2009,5,0.51026,71,80.0
Materials Science,5,2010,8,0.6557000000000001,153,87.5
Materials Science,5,2011,5,3.5735800000000006,111,100.0
Materials Science,5,2012,8,2.4924000000000004,504,100.0
Materials Science,5,2013,10,2.5672400000000004,590,70.0
Materials Science,5,2014,24,1.3959499999999998,736,100.0
Materials Science,5,2015,14,1.5635714285714286,479,85.71428571428571
Materials Science,5,2016,17,1.077270588235294,273,88.23529411764706
Materials Science,5,2017,50,3.0108220000000006,1766,98.0
Materials Science,5,2018,41,1.3740048780487806,374,90.2439024390244
Materials Science,5,2019,78,1.2360794871794871,219,65.38461538461539
Materials Science,5,2020,25,1.24274,8,8.0
Computer Science,6,2000,1,0.13770000000000002,3,100.0
Computer Science,6,2004,1,0.0,0,0.0
Computer Science,6,2005,2,4.58175,148,100.0
Computer Science,6,2006,5,0.5246999999999999,46,80.0
Computer Science,6,2007,2,0.47995000000000004,22,100.0
Computer Science,6,2009,6,2.794983333333334,350,100.0
Computer Science,6,2010,2,0.3532,14,100.0
Computer Science,6,2011,9,2.1649666666666665,393,100.0
Computer Science,6,2012,11,1.3088454545454546,239,81.81818181818183
Computer Science,6,2013,11,0.7436090909090911,175,81.81818181818183
Computer Science,6,2014,9,1.0057111111111112,132,100.0
Computer Science,6,2015,15,1.0672466666666667,197,100.0
Computer Science,6,2016,24,1.08155,250,91.66666666666666
Computer Science,6,2017,37,2.235545945945946,618,83.78378378378379
Computer Science,6,2018,40,2.2681675000000006,351,82.5
Computer Science,6,2019,67,3.3454358208955224,266,56.71641791044776
Computer Science,6,2020,24,7.831241666666666,47,29.166666666666668
Biology & Biochemistry,7,2003,1,1.1514,55,100.0
Biology & Biochemistry,7,2004,1,0.1477,7,100.0
Biology & Biochemistry,7,2005,2,1.7424,159,100.0
Biology & Biochemistry,7,2008,1,1.3474000000000002,50,100.0
Biology & Biochemistry,7,2009,1,0.0557,2,100.0
Biology & Biochemistry,7,2011,3,0.22799999999999998,20,100.0
Biology & Biochemistry,7,2013,4,0.5977250000000001,54,75.0
Biology & Biochemistry,7,2014,4,0.258925,20,100.0
Biology & Biochemistry,7,2015,7,0.46122857142857143,51,85.71428571428571
Biology & Biochemistry,7,2016,11,0.8919636363636364,117,100.0
Biology & Biochemistry,7,2017,18,0.7528111111111112,114,94.44444444444444
Biology & Biochemistry,7,2018,23,0.7265782608695652,82,69.56521739130434
Biology & Biochemistry,7,2019,29,1.7512137931034482,73,65.51724137931035
Biology & Biochemistry,7,2020,4,0.0,0,0.0
Agricultural Sciences,8,2005,2,0.3195,18,100.0
Agricultural Sciences,8,2007,2,0.26175000000000004,13,50.0
Agricultural Sciences,8,2008,1,0.9909,21,100.0
Agricultural Sciences,8,2010,1,0.3783,7,100.0
Agricultural Sciences,8,2011,5,1.55712,130,100.0
Agricultural Sciences,8,2012,6,0.24185000000000004,22,100.0
Agricultural Sciences,8,2013,5,0.37034,25,80.0
Agricultural Sciences,8,2014,8,1.3482375,130,100.0
Agricultural Sciences,8,2015,8,0.9732875000000001,79,87.5
Agricultural Sciences,8,2016,6,2.1120666666666668,101,100.0
Agricultural Sciences,8,2017,10,1.26891,69,90.0
Agricultural Sciences,8,2018,10,2.25976,75,50.0
Agricultural Sciences,8,2019,10,1.8169899999999999,21,60.0
Agricultural Sciences,8,2020,10,2.12476,2,10.0
Plant & Animal Science,9,2001,1,0.7404000000000001,21,100.0
Plant & Animal Science,9,2003,2,0.2487,14,100.0
Plant & Animal Science,9,2004,3,0.7073666666666667,59,100.0
Plant & Animal Science,9,2005,2,1.8949000000000003,100,100.0
Plant & Animal Science,9,2006,2,0.35650000000000004,18,100.0
Plant & Animal Science,9,2007,3,1.2792000000000001,89,100.0
Plant & Animal Science,9,2008,6,0.34515000000000007,45,100.0
Plant & Animal Science,9,2009,3,0.48763333333333336,29,100.0
Plant & Animal Science,9,2010,3,1.7881666666666665,100,100.0
Plant & Animal Science,9,2011,3,0.3617000000000001,18,100.0
Plant & Animal Science,9,2012,3,0.27390000000000003,12,100.0
Plant & Animal Science,9,2013,4,0.11595000000000001,6,50.0
Plant & Animal Science,9,2014,8,0.5393875,48,87.5
Plant & Animal Science,9,2015,8,0.614225,44,100.0
Plant & Animal Science,9,2016,4,0.10842500000000001,3,25.0
Plant & Animal Science,9,2017,8,0.5025124999999999,19,62.5
Plant & Animal Science,9,2018,10,1.16278,32,80.0
Plant & Animal Science,9,2019,27,0.8156148148148149,20,40.74074074074074
Plant & Animal Science,9,2020,7,0.0,0,0.0
Molecular Biology & Genetics,10,2008,2,0.26,29,50.0
Molecular Biology & Genetics,10,2009,1,0.19440000000000002,10,100.0
Molecular Biology & Genetics,10,2010,3,0.4520666666666668,66,100.0
Molecular Biology & Genetics,10,2011,2,0.6447,55,100.0
Molecular Biology & Genetics,10,2012,2,0.64325,46,100.0
Molecular Biology & Genetics,10,2013,2,0.39730000000000004,25,100.0
Molecular Biology & Genetics,10,2014,3,0.5864666666666667,46,100.0
Molecular Biology & Genetics,10,2015,5,0.09312000000000001,10,80.0
Molecular Biology & Genetics,10,2016,11,0.34431818181818186,58,72.72727272727273
Molecular Biology & Genetics,10,2017,7,0.574657142857143,43,71.42857142857143
Molecular Biology & Genetics,10,2018,10,0.41502,26,60.0
Molecular Biology & Genetics,10,2019,23,0.35817826086956517,14,26.08695652173913
Molecular Biology & Genetics,10,2020,3,0.0,0,0.0
Environment/Ecology,11,2007,2,0.8837,66,100.0
Environment/Ecology,11,2008,2,0.15760000000000002,11,100.0
Environment/Ecology,11,2011,1,1.1042,29,100.0
Environment/Ecology,11,2012,5,0.28326,34,100.0
Environment/Ecology,11,2013,4,0.2874,24,100.0
Environment/Ecology,11,2014,3,1.4422,76,100.0
Environment/Ecology,11,2015,7,0.3820428571428571,45,85.71428571428571
Environment/Ecology,11,2016,5,0.4500800000000001,25,100.0
Environment/Ecology,11,2017,8,0.377,24,87.5
Environment/Ecology,11,2018,17,0.532,41,82.35294117647058
Environment/Ecology,11,2019,26,0.547473076923077,19,46.15384615384615
Environment/Ecology,11,2020,8,0.0,0,0.0
Geosciences,12,2005,1,0.10740000000000001,4,100.0
Geosciences,12,2007,1,1.3025,43,100.0
Geosciences,12,2009,1,0.1648,5,100.0
Geosciences,12,2012,2,0.26080000000000003,12,50.0
Geosciences,12,2013,2,0.7484999999999999,30,100.0
Geosciences,12,2014,4,0.3824,26,100.0
Geosciences,12,2015,1,0.5702,8,100.0
Geosciences,12,2016,9,1.2776444444444446,123,77.77777777777779
Geosciences,12,2017,2,0.4066,6,100.0
Geosciences,12,2018,13,0.8221000000000002,43,84.61538461538461
Geosciences,12,2019,10,0.59059,7,40.0
Geosciences,12,2020,3,0.0,0,0.0
Economics & Business,13,2003,1,0.645,25,100.0
Economics & Business,13,2005,1,0.0269,1,100.0
Economics & Business,13,2008,1,1.0912,28,100.0
Economics & Business,13,2009,2,0.27745,13,100.0
Economics & Business,13,2013,2,2.5276000000000005,73,100.0
Economics & Business,13,2014,3,2.0251,73,100.0
Economics & Business,13,2016,1,0.0,0,0.0
Economics & Business,13,2017,2,1.4872,14,100.0
Economics & Business,13,2018,2,0.9800500000000001,5,100.0
Economics & Business,13,2019,7,0.9126428571428572,5,42.857142857142854
Economics & Business,13,2020,1,0.0,0,0.0
"Social Sciences, general",14,2002,1,0.0,0,0.0
"Social Sciences, general",14,2009,1,0.0,0,0.0
"Social Sciences, general",14,2013,2,0.4677,11,100.0
"Social Sciences, general",14,2014,2,0.29910000000000003,6,100.0
"Social Sciences, general",14,2015,2,0.24985000000000002,4,50.0
"Social Sciences, general",14,2016,9,1.0200666666666667,54,77.77777777777779
"Social Sciences, general",14,2017,10,1.4207100000000001,68,80.0
"Social Sciences, general",14,2018,5,0.8792200000000001,10,40.0
"Social Sciences, general",14,2019,20,0.9103700000000001,13,20.0
"Social Sciences, general",14,2020,2,0.0,0,0.0
Microbiology,15,2006,1,0.2893,11,100.0
Microbiology,15,2012,1,0.09140000000000001,2,100.0
Microbiology,15,2015,1,0.1447,2,100.0
Microbiology,15,2016,3,0.8296333333333333,28,100.0
Microbiology,15,2017,5,1.6157200000000003,64,100.0
Microbiology,15,2018,2,0.9573500000000001,8,100.0
Microbiology,15,2019,8,1.2373750000000001,11,50.0
Microbiology,15,2020,1,0.0,0,0.0
Pharmacology & Toxicology,16,2006,1,0.19690000000000002,6,100.0
Pharmacology & Toxicology,16,2007,1,0.24980000000000002,7,100.0
Pharmacology & Toxicology,16,2008,1,0.07690000000000001,2,100.0
Pharmacology & Toxicology,16,2009,1,0.1258,3,100.0
Pharmacology & Toxicology,16,2010,2,0.2641,12,100.0
Pharmacology & Toxicology,16,2011,1,0.5951000000000001,12,100.0
Pharmacology & Toxicology,16,2012,2,0.5424,19,100.0
Pharmacology & Toxicology,16,2013,2,0.12390000000000001,4,50.0
Pharmacology & Toxicology,16,2015,3,4.580466666666667,28,100.0
Pharmacology & Toxicology,16,2017,2,1.75725,23,50.0
Pharmacology & Toxicology,16,2018,4,0.13392500000000002,2,25.0
Pharmacology & Toxicology,16,2019,1,0.0,0,0.0
Pharmacology & Toxicology,16,2020,2,0.0,0,0.0
Space Science,17,2004,1,0.024300000000000002,1,100.0
Space Science,17,2006,1,0.07050000000000001,3,100.0
Space Science,17,2008,1,0.0285,1,100.0
Space Science,17,2009,1,0.2796,10,100.0
Space Science,17,2015,1,0.5332,10,100.0
Space Science,17,2016,4,0.9434750000000001,55,100.0
Space Science,17,2017,4,0.288225,12,100.0
Space Science,17,2018,3,0.20683333333333334,4,100.0
Space Science,17,2019,5,0.21164,2,20.0
Space Science,17,2020,1,0.0,0,0.0
Clinical Medicine,18,2005,1,0.027100000000000003,1,100.0
Clinical Medicine,18,2006,1,0.08800000000000001,3,100.0
Clinical Medicine,18,2011,3,0.059533333333333334,4,33.33333333333333
Clinical Medicine,18,2014,1,0.5872,9,100.0
Clinical Medicine,18,2015,1,0.7017,9,100.0
Clinical Medicine,18,2016,3,0.5191333333333333,15,100.0
Clinical Medicine,18,2017,4,0.36985,10,50.0
Clinical Medicine,18,2018,7,0.9905714285714288,38,57.14285714285714
Clinical Medicine,18,2019,4,1.2048750000000001,5,75.0
Clinical Medicine,18,2020,1,0.0,0,0.0
Neuroscience & Behavior,19,2006,2,0.2051,19,100.0
Neuroscience & Behavior,19,2007,1,0.1119,5,100.0
Neuroscience & Behavior,19,2009,1,0.31520000000000004,12,100.0
Neuroscience & Behavior,19,2011,1,0.0316,1,100.0
Neuroscience & Behavior,19,2015,1,2.561,41,100.0
Neuroscience & Behavior,19,2016,1,0.3917,9,100.0
Neuroscience & Behavior,19,2017,2,0.1789,3,50.0
