"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,34,0.4690323529411765,463,88.23529411764706
Chemistry,1,2001,54,0.722787037037037,1139,94.44444444444444
Chemistry,1,2002,54,0.34360000000000007,562,88.88888888888889
Chemistry,1,2003,81,0.3658456790123457,905,87.65432098765432
Chemistry,1,2004,68,0.48077941176470596,1007,98.52941176470588
Chemistry,1,2005,98,0.36428061224489794,1086,94.89795918367348
Chemistry,1,2006,133,0.3914947368421054,1536,86.46616541353383
Chemistry,1,2007,159,0.4965981132075472,2214,92.45283018867924
Chemistry,1,2008,158,1.4080322784810129,2852,91.77215189873418
Chemistry,1,2009,177,0.665574011299435,3126,91.52542372881356
Chemistry,1,2010,160,0.7324025000000002,3056,94.375
Chemistry,1,2011,191,0.7258759162303664,3378,95.28795811518324
Chemistry,1,2012,152,0.6510309210526315,2239,91.44736842105263
Chemistry,1,2013,188,0.9832888297872341,3782,94.14893617021278
Chemistry,1,2014,213,0.8962394366197179,3582,92.01877934272301
Chemistry,1,2015,316,1.1761718354430377,6122,94.62025316455697
Chemistry,1,2016,356,1.0682755617977533,4880,94.3820224719101
Chemistry,1,2017,362,1.4021414364640885,5168,93.646408839779
Chemistry,1,2018,336,1.500743154761905,2885,85.11904761904762
Chemistry,1,2019,375,1.5818802666666665,1094,63.46666666666667
Chemistry,1,2020,100,1.342508,19,11.0
Materials Science,2,2000,1,0.42510000000000003,10,100.0
Materials Science,2,2001,4,0.3526,35,50.0
Materials Science,2,2002,6,1.113816666666667,171,100.0
Materials Science,2,2003,6,0.3964166666666667,67,83.33333333333334
Materials Science,2,2004,4,1.995025,218,100.0
Materials Science,2,2005,13,0.8062076923076924,286,100.0
Materials Science,2,2006,27,0.7256370370370371,534,96.29629629629629
Materials Science,2,2007,48,0.6698645833333333,941,95.83333333333334
Materials Science,2,2008,47,0.7352468085106384,980,95.74468085106383
Materials Science,2,2009,56,0.9995928571428573,1600,92.85714285714286
Materials Science,2,2010,61,0.6160049180327869,1096,100.0
Materials Science,2,2011,68,0.6493014705882354,1105,94.11764705882352
Materials Science,2,2012,60,0.8993699999999999,1364,96.66666666666667
Materials Science,2,2013,60,1.2226966666666665,1686,98.33333333333333
Materials Science,2,2014,112,0.9638357142857142,2330,94.64285714285714
Materials Science,2,2015,144,1.2304770833333334,3316,95.13888888888889
Materials Science,2,2016,140,1.3372228571428577,2800,96.42857142857143
Materials Science,2,2017,179,1.435403910614525,2908,95.53072625698324
Materials Science,2,2018,197,2.8174979695431484,3807,93.4010152284264
Materials Science,2,2019,254,1.905513779527559,921,70.07874015748031
Materials Science,2,2020,63,0.9681904761904763,8,9.523809523809524
Physics,3,2000,8,0.2194125,46,87.5
Physics,3,2001,7,0.25447142857142857,48,85.71428571428571
Physics,3,2002,22,0.2805454545454546,169,95.45454545454545
Physics,3,2003,16,0.5758562500000001,238,87.5
Physics,3,2004,24,0.4179958333333334,267,83.33333333333334
Physics,3,2005,25,0.50992,330,92.0
Physics,3,2006,41,0.6292878048780488,639,97.5609756097561
Physics,3,2007,49,0.6263020408163266,709,95.91836734693877
Physics,3,2008,52,0.45777307692307684,552,92.3076923076923
Physics,3,2009,57,0.4650280701754386,576,85.96491228070175
Physics,3,2010,66,0.5189303030303031,715,81.81818181818183
Physics,3,2011,96,0.6097697916666668,1115,89.58333333333334
Physics,3,2012,85,0.5104176470588238,787,92.94117647058823
Physics,3,2013,104,0.618248076923077,1032,88.46153846153845
Physics,3,2014,115,0.7324860869565217,1211,90.43478260869566
Physics,3,2015,109,0.8652871559633029,1218,88.07339449541286
