"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,35,0.5337771428571428,482,82.85714285714286
Chemistry,1,2001,36,0.6401972222222222,675,83.33333333333334
Chemistry,1,2002,48,0.8195708333333332,1192,91.66666666666666
Chemistry,1,2003,67,0.8953402985074626,1832,95.52238805970148
Chemistry,1,2004,97,0.5214701030927835,1558,94.84536082474226
Chemistry,1,2005,106,0.5300122641509435,1759,89.62264150943396
Chemistry,1,2006,95,0.5172389473684211,1558,88.42105263157895
Chemistry,1,2007,107,0.6630000000000003,2072,89.7196261682243
Chemistry,1,2008,83,0.5093204819277107,1167,91.56626506024097
Chemistry,1,2009,108,0.7685907407407404,2204,87.96296296296296
Chemistry,1,2010,87,0.5421080459770116,1222,87.35632183908046
Chemistry,1,2011,104,0.806516346153846,2037,92.3076923076923
Chemistry,1,2012,90,0.852012222222222,1735,94.44444444444444
Chemistry,1,2013,94,1.2300617021276594,2352,91.48936170212765
Chemistry,1,2014,99,1.1364474747474749,2284,92.92929292929293
Chemistry,1,2015,124,1.1896758064516124,3015,92.74193548387096
Chemistry,1,2016,167,1.6070047904191616,3500,94.61077844311377
Chemistry,1,2017,227,1.4667823788546246,3173,95.59471365638767
Chemistry,1,2018,355,2.0604707042253523,4191,92.3943661971831
Chemistry,1,2019,362,1.9870201657458566,1221,66.85082872928176
Chemistry,1,2020,83,0.9126373493975904,10,9.63855421686747
Physics,2,2000,18,0.5241833333333333,265,94.44444444444444
Physics,2,2001,11,0.46220909090909096,137,81.81818181818183
Physics,2,2002,25,2.448272,1676,96.0
Physics,2,2003,26,0.41862307692307693,275,92.3076923076923
Physics,2,2004,39,0.6050128205128207,628,94.87179487179486
Physics,2,2005,38,0.5367026315789474,524,94.73684210526315
Physics,2,2006,41,0.6804999999999999,691,92.6829268292683
Physics,2,2007,59,1.0336966101694915,1409,93.22033898305084
Physics,2,2008,70,0.31294999999999995,508,84.28571428571429
Physics,2,2009,63,0.6106507936507937,836,96.82539682539682
Physics,2,2010,66,0.3761742424242423,522,93.93939393939394
Physics,2,2011,63,0.4016666666666668,482,90.47619047619048
Physics,2,2012,62,0.4534709677419355,510,88.70967741935483
Physics,2,2013,58,0.670306896551724,624,89.65517241379311
Physics,2,2014,72,0.6384958333333336,655,93.05555555555556
Physics,2,2015,76,0.670942105263158,628,86.8421052631579
Physics,2,2016,68,0.9832911764705882,654,91.17647058823529
Physics,2,2017,86,1.0522953488372093,639,89.53488372093024
Physics,2,2018,142,2.0187077464788734,1233,87.32394366197182
Physics,2,2019,193,1.6184082901554406,398,53.8860103626943
Physics,2,2020,50,0.9861620000000001,5,8.0
Plant & Animal Science,3,2000,2,0.41965,24,100.0
Plant & Animal Science,3,2001,8,1.1237750000000002,255,87.5
Plant & Animal Science,3,2002,6,1.19725,201,100.0
Plant & Animal Science,3,2003,10,1.29299,364,90.0
Plant & Animal Science,3,2004,14,2.6642000000000006,1037,100.0
Plant & Animal Science,3,2005,6,1.8443666666666667,292,100.0
Plant & Animal Science,3,2006,15,1.6593933333333335,638,93.33333333333333
Plant & Animal Science,3,2007,10,1.44019,334,100.0
Plant & Animal Science,3,2008,10,0.82753,174,100.0
Plant & Animal Science,3,2009,20,0.99624,395,95.0
Plant & Animal Science,3,2010,18,1.5706222222222224,527,100.0
Plant & Animal Science,3,2011,14,1.6792214285714286,390,100.0
Plant & Animal Science,3,2012,22,1.2482045454545458,401,100.0
Plant & Animal Science,3,2013,25,1.8710280000000004,605,100.0
Plant & Animal Science,3,2014,25,2.4055440000000003,669,100.0
Plant & Animal Science,3,2015,29,2.12318275862069,628,100.0
