"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,15,0.9896466666666667,431,93.33333333333333
Chemistry,1,2001,16,0.5825375,272,87.5
Chemistry,1,2002,18,0.8070333333333334,440,83.33333333333334
Chemistry,1,2003,26,0.9508500000000001,755,92.3076923076923
Chemistry,1,2004,43,0.6772511627906977,897,88.37209302325581
Chemistry,1,2005,43,0.9050906976744186,1193,97.67441860465115
Chemistry,1,2006,58,0.9626034482758624,1647,89.65517241379311
Chemistry,1,2007,78,1.8224564102564103,4153,89.74358974358975
Chemistry,1,2008,72,1.1282708333333333,2253,97.22222222222221
Chemistry,1,2009,65,1.0177476923076925,1663,92.3076923076923
Chemistry,1,2010,71,1.1087126760563382,2010,90.14084507042254
Chemistry,1,2011,72,1.424651388888889,2667,98.61111111111111
Chemistry,1,2012,90,1.4423077777777775,2944,95.55555555555556
Chemistry,1,2013,99,1.2526757575757574,2704,90.9090909090909
Chemistry,1,2014,107,1.3357383177570092,2726,94.39252336448598
Chemistry,1,2015,100,1.2081639999999998,2039,95.0
Chemistry,1,2016,92,1.1914239130434783,1433,93.47826086956522
Chemistry,1,2017,97,1.2489298969072167,1174,92.78350515463917
Chemistry,1,2018,116,1.7598724137931034,1155,90.51724137931035
Chemistry,1,2019,139,1.4861338129496402,363,56.11510791366906
Chemistry,1,2020,34,0.4455794117647059,2,2.941176470588235
Materials Science,2,2000,1,1.0203,24,100.0
Materials Science,2,2001,3,0.9537333333333334,71,100.0
Materials Science,2,2002,3,0.8337333333333333,64,100.0
Materials Science,2,2003,2,0.5325,30,100.0
Materials Science,2,2004,11,1.0382727272727275,312,100.0
Materials Science,2,2005,3,1.0260666666666667,84,100.0
Materials Science,2,2006,8,4.5861875,1000,100.0
Materials Science,2,2007,9,0.9352111111111111,266,100.0
Materials Science,2,2008,28,1.0339892857142858,1099,100.0
Materials Science,2,2009,19,2.6288473684210523,1390,100.0
Materials Science,2,2010,30,0.9187233333333334,777,100.0
Materials Science,2,2011,51,1.9410313725490198,2665,100.0
Materials Science,2,2012,33,0.8919424242424244,744,100.0
Materials Science,2,2013,43,0.8712558139534885,861,97.67441860465115
Materials Science,2,2014,63,1.2957777777777777,1762,100.0
Materials Science,2,2015,52,1.346309615384615,1311,100.0
Materials Science,2,2016,54,1.5056407407407408,1212,96.29629629629629
Materials Science,2,2017,86,1.3540174418604651,1325,98.83720930232558
Materials Science,2,2018,88,1.067989772727273,628,89.77272727272727
Materials Science,2,2019,100,1.6532600000000004,317,67.0
Materials Science,2,2020,22,0.6931363636363637,2,9.090909090909092
Mathematics,3,2000,14,1.9617928571428571,426,85.71428571428571
Mathematics,3,2001,16,1.4921062499999997,364,81.25
Mathematics,3,2002,18,0.8888055555555554,235,88.88888888888889
Mathematics,3,2003,17,0.7101176470588237,165,88.23529411764706
Mathematics,3,2004,20,1.0734299999999999,320,90.0
Mathematics,3,2005,35,0.9375600000000002,462,94.28571428571428
Mathematics,3,2006,55,1.1550545454545458,867,89.0909090909091
Mathematics,3,2007,59,1.008654237288136,749,93.22033898305084
Mathematics,3,2008,98,1.2446632653061223,1459,92.85714285714286
Mathematics,3,2009,100,1.2158529999999994,1357,95.0
Mathematics,3,2010,90,1.0268622222222226,955,86.66666666666667
Mathematics,3,2011,93,1.1042666666666665,917,88.17204301075269
Mathematics,3,2012,97,1.2823278350515463,947,80.41237113402062
Mathematics,3,2013,104,0.8018038461538464,563,84.61538461538461
Mathematics,3,2014,104,0.6600807692307693,374,69.23076923076923
Mathematics,3,2015,82,1.170171951219512,467,81.70731707317073
Mathematics,3,2016,95,0.7842652631578948,281,77.89473684210526
Mathematics,3,2017,102,1.1349245098039216,322,66.66666666666666
Mathematics,3,2018,98,1.8771469387755104,318,67.3469387755102
Mathematics,3,2019,119,1.2957277310924367,94,28.57142857142857
Mathematics,3,2020,29,0.0,0,0.0
Physics,4,2000,8,0.3427,77,75.0
Physics,4,2001,18,0.8515,413,100.0
Physics,4,2002,6,1.3207833333333336,217,100.0
Physics,4,2003,12,1.3517333333333337,419,100.0
Physics,4,2004,13,0.7630153846153847,264,69.23076923076923
Physics,4,2005,14,0.89795,323,85.71428571428571
Physics,4,2006,13,0.6615769230769231,213,76.92307692307693
Physics,4,2007,22,0.7535499999999999,383,95.45454545454545
Physics,4,2008,24,0.5228750000000001,291,100.0
Physics,4,2009,34,1.2046,890,91.17647058823529
Physics,4,2010,50,0.6715759999999998,706,90.0
Physics,4,2011,40,0.6300050000000001,480,92.5
Physics,4,2012,43,0.4948697674418605,386,100.0
Physics,4,2013,40,1.101525,701,95.0
Physics,4,2014,55,0.5669436363636364,445,90.9090909090909
Physics,4,2015,47,0.9553531914893619,553,85.1063829787234
Physics,4,2016,44,1.0200636363636362,439,88.63636363636364
Physics,4,2017,59,0.7177169491525425,299,77.96610169491525
Physics,4,2018,65,1.0368369230769232,317,78.46153846153847
Physics,4,2019,77,0.9126974025974027,89,45.45454545454545
Physics,4,2020,13,0.0,0,0.0
Plant & Animal Science,5,2002,2,0.10725000000000001,6,100.0
Plant & Animal Science,5,2003,7,0.18774285714285716,37,100.0
Plant & Animal Science,5,2004,5,2.8963,379,100.0
Plant & Animal Science,5,2005,9,1.0822,257,88.88888888888889
Plant & Animal Science,5,2006,8,0.267475,59,100.0
Plant & Animal Science,5,2007,11,1.097590909090909,280,90.9090909090909
Plant & Animal Science,5,2008,11,1.7899909090909096,414,100.0
Plant & Animal Science,5,2009,19,0.8622578947368422,320,94.73684210526315
Plant & Animal Science,5,2010,28,0.3817285714285715,193,96.42857142857143
Plant & Animal Science,5,2011,36,0.7544805555555557,454,94.44444444444444
Plant & Animal Science,5,2012,48,0.5455833333333334,360,85.41666666666666
Plant & Animal Science,5,2013,61,0.5469065573770492,420,83.60655737704919
Plant & Animal Science,5,2014,46,1.0491891304347827,558,91.30434782608695
Plant & Animal Science,5,2015,51,0.7278176470588235,321,80.3921568627451
Plant & Animal Science,5,2016,60,1.0498183333333333,444,81.66666666666667
Plant & Animal Science,5,2017,59,1.3211627118644067,381,79.66101694915254
Plant & Animal Science,5,2018,87,1.423690804597701,348,80.45977011494253
Plant & Animal Science,5,2019,104,1.4204471153846154,108,38.46153846153847
Plant & Animal Science,5,2020,14,2.1191714285714287,4,14.285714285714285
Space Science,6,2000,2,0.22965000000000002,20,100.0
Space Science,6,2004,2,0.6817,56,100.0
Space Science,6,2005,4,0.3185,54,75.0
Space Science,6,2006,3,0.9247333333333333,118,100.0
Space Science,6,2007,4,0.151625,24,75.0
Space Science,6,2008,5,2.5835000000000004,454,100.0
Space Science,6,2009,10,0.7128599999999999,255,100.0
Space Science,6,2010,14,1.173942857142857,586,92.85714285714286
Space Science,6,2011,7,0.7967571428571428,179,100.0
Space Science,6,2012,8,3.2384875000000006,751,100.0
Space Science,6,2013,14,3.8399357142857147,1461,100.0
Space Science,6,2014,4,3.182475,292,100.0
Space Science,6,2015,10,1.69028,317,100.0
Space Science,6,2016,3,0.16010000000000002,7,66.66666666666666
Space Science,6,2017,8,0.7325249999999999,61,100.0
Space Science,6,2018,11,0.7334272727272726,52,72.72727272727273
Space Science,6,2019,7,0.9826142857142857,13,57.14285714285714
Space Science,6,2020,1,0.0,0,0.0
Engineering,7,2000,2,0.07400000000000001,3,50.0
Engineering,7,2001,1,0.0,0,0.0
Engineering,7,2002,2,1.3829,62,100.0
Engineering,7,2003,4,1.849075,16,75.0
Engineering,7,2004,2,0.02045,1,50.0
Engineering,7,2005,3,1.4652666666666665,98,100.0
Engineering,7,2006,7,1.1489857142857145,180,85.71428571428571
Engineering,7,2007,12,0.7327500000000001,197,83.33333333333334
Engineering,7,2008,12,1.3374333333333335,335,100.0
Engineering,7,2009,30,0.6998033333333334,437,93.33333333333333
Engineering,7,2010,25,0.801204,403,96.0
Engineering,7,2011,32,0.9090843750000001,542,93.75
Engineering,7,2012,17,1.7197882352941174,493,88.23529411764706
Engineering,7,2013,29,0.5103862068965517,237,75.86206896551724
Engineering,7,2014,21,1.5181,445,95.23809523809523
Engineering,7,2015,33,0.7067000000000001,312,93.93939393939394
Engineering,7,2016,23,1.1041217391304348,246,86.95652173913044
