"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Physics,1,2000,6,0.6171666666666668,104,83.33333333333334
Physics,1,2001,6,0.6185333333333334,100,100.0
Physics,1,2002,22,0.5029727272727275,303,90.9090909090909
Physics,1,2003,30,0.23097666666666666,179,93.33333333333333
Physics,1,2004,26,0.3497230769230769,242,96.15384615384616
Physics,1,2005,26,0.4820307692307693,322,80.76923076923077
Physics,1,2006,40,0.4300175000000001,426,87.5
Physics,1,2007,42,0.36380238095238093,353,78.57142857142857
Physics,1,2008,58,0.9851620689655173,1325,96.55172413793103
Physics,1,2009,44,0.41939545454545457,401,97.72727272727273
Physics,1,2010,54,0.5196629629629629,590,96.29629629629629
Physics,1,2011,37,0.4285162162162164,302,89.1891891891892
Physics,1,2012,45,0.33933777777777785,277,88.88888888888889
Physics,1,2013,66,0.472939393939394,501,89.39393939393939
Physics,1,2014,53,3.108011320754716,2347,92.45283018867924
Physics,1,2015,45,1.2774866666666667,708,82.22222222222221
Physics,1,2016,64,0.62875625,395,90.625
Physics,1,2017,45,0.8812088888888886,280,77.77777777777779
Physics,1,2018,62,1.5082935483870965,396,77.41935483870968
Physics,1,2019,82,0.7435890243902441,90,36.58536585365854
Physics,1,2020,19,2.6099,7,21.052631578947366
Chemistry,2,2000,5,0.11019999999999999,16,80.0
Chemistry,2,2001,11,0.17444545454545454,56,72.72727272727273
Chemistry,2,2002,16,0.1774375,86,100.0
Chemistry,2,2003,21,0.19334285714285715,124,85.71428571428571
Chemistry,2,2004,16,0.17248750000000002,85,87.5
Chemistry,2,2005,18,0.19754444444444447,109,100.0
Chemistry,2,2006,37,0.2226378378378379,243,78.37837837837837
Chemistry,2,2007,28,0.46046785714285715,358,89.28571428571429
Chemistry,2,2008,42,0.5306809523809525,631,100.0
Chemistry,2,2009,30,0.3565066666666667,274,73.33333333333333
Chemistry,2,2010,25,1.338928,851,84.0
Chemistry,2,2011,33,0.5006333333333334,399,75.75757575757575
Chemistry,2,2012,24,0.3627791666666667,197,75.0
Chemistry,2,2013,31,0.7314645161290324,456,96.7741935483871
Chemistry,2,2014,28,0.4708464285714286,303,82.14285714285714
Chemistry,2,2015,36,0.5402611111111111,307,88.88888888888889
Chemistry,2,2016,50,0.6035079999999999,419,84.0
Chemistry,2,2017,68,1.2089750000000001,691,94.11764705882352
Chemistry,2,2018,91,3.160773626373627,1656,92.3076923076923
Chemistry,2,2019,102,2.7253441176470585,471,64.70588235294117
Chemistry,2,2020,17,0.891164705882353,2,11.76470588235294
Engineering,3,2000,3,0.16443333333333335,10,100.0
Engineering,3,2001,4,0.450125,38,75.0
Engineering,3,2002,5,0.75836,85,80.0
Engineering,3,2003,10,0.81735,177,80.0
Engineering,3,2004,5,0.7849,96,100.0
Engineering,3,2005,12,0.28409999999999996,76,66.66666666666666
Engineering,3,2006,7,0.34468571428571426,54,71.42857142857143
Engineering,3,2007,11,0.32056363636363633,79,81.81818181818183
Engineering,3,2008,7,0.7254571428571429,106,85.71428571428571
Engineering,3,2009,11,0.48477272727272724,111,100.0
Engineering,3,2010,15,0.48045333333333334,145,80.0
Engineering,3,2011,14,0.8050857142857143,210,100.0
Engineering,3,2012,16,0.34468750000000004,93,93.75
Engineering,3,2013,15,0.4126866666666667,97,80.0
Engineering,3,2014,15,0.5014800000000001,105,86.66666666666667
Engineering,3,2015,13,1.3766076923076924,216,76.92307692307693
Engineering,3,2016,13,0.833776923076923,105,69.23076923076923
Engineering,3,2017,20,2.9732849999999997,438,85.0
Engineering,3,2018,49,5.754744897959183,1228,89.79591836734694
Engineering,3,2019,56,3.870483928571428,279,58.92857142857143
Engineering,3,2020,11,3.4876636363636364,7,27.27272727272727
Materials Science,4,2000,1,1.0203,24,100.0
Materials Science,4,2003,3,0.16566666666666668,14,100.0
Materials Science,4,2004,1,0.25620000000000004,7,100.0
Materials Science,4,2005,1,0.0,0,0.0
Materials Science,4,2006,5,0.33020000000000005,45,100.0
Materials Science,4,2007,2,0.44420000000000004,26,100.0
Materials Science,4,2008,15,1.0131933333333334,431,100.0
Materials Science,4,2009,10,0.5426100000000001,151,100.0
Materials Science,4,2010,15,0.45713999999999994,200,100.0
Materials Science,4,2011,7,0.9710857142857143,183,100.0
Materials Science,4,2012,6,0.27035000000000003,41,83.33333333333334
Materials Science,4,2013,9,0.8557333333333335,177,88.88888888888889
Materials Science,4,2014,15,0.6609933333333334,214,100.0
Materials Science,4,2015,25,0.8277839999999999,386,96.0
Materials Science,4,2016,15,0.5277133333333333,118,100.0
Materials Science,4,2017,37,1.2993972972972974,541,97.2972972972973
Materials Science,4,2018,51,1.9594215686274512,706,90.19607843137256
Materials Science,4,2019,56,2.176119642857143,235,71.42857142857143
Materials Science,4,2020,7,10.892128571428572,10,14.285714285714285
Mathematics,5,2000,9,1.518688888888889,212,88.88888888888889
Mathematics,5,2001,3,1.3336000000000003,61,100.0
Mathematics,5,2002,13,1.2725692307692307,243,100.0
Mathematics,5,2003,9,1.019188888888889,131,88.88888888888889
Mathematics,5,2004,14,0.5942285714285714,124,85.71428571428571
Mathematics,5,2005,17,1.2868470588235295,308,100.0
Mathematics,5,2006,22,0.6694499999999999,201,95.45454545454545
Mathematics,5,2007,25,0.6578839999999999,207,92.0
Mathematics,5,2008,20,0.627025,150,85.0
Mathematics,5,2009,36,0.4196027777777779,172,80.55555555555556
Mathematics,5,2010,26,0.647623076923077,174,80.76923076923077
Mathematics,5,2011,32,0.7839531249999998,224,87.5
Mathematics,5,2012,40,0.44000000000000006,134,80.0
Mathematics,5,2013,36,0.6416638888888889,152,80.55555555555556
Mathematics,5,2014,30,0.9400333333333333,159,73.33333333333333
Mathematics,5,2015,35,0.510737142857143,87,62.857142857142854
Mathematics,5,2016,33,1.253418181818182,156,63.63636363636363
Mathematics,5,2017,29,1.078537931034483,87,68.96551724137932
Mathematics,5,2018,26,5.71815,257,69.23076923076923
Mathematics,5,2019,51,3.087696078431373,96,45.09803921568628
Mathematics,5,2020,10,0.0,0,0.0
Computer Science,6,2000,1,0.0459,1,100.0
Computer Science,6,2003,1,2.0554,39,100.0
Computer Science,6,2004,3,0.0,0,0.0
Computer Science,6,2005,2,0.4737,2,50.0
Computer Science,6,2006,4,0.128325,9,75.0
Computer Science,6,2007,4,0.370825,34,100.0
Computer Science,6,2008,3,0.7355333333333333,50,100.0
Computer Science,6,2009,4,0.934325,78,100.0
Computer Science,6,2010,3,0.6727666666666668,40,100.0
Computer Science,6,2011,3,0.7436666666666666,45,100.0
Computer Science,6,2012,10,0.39155000000000006,65,90.0
Computer Science,6,2013,11,0.5843909090909092,102,90.9090909090909
Computer Science,6,2014,14,1.3567357142857144,277,92.85714285714286
Computer Science,6,2015,9,0.6049333333333333,67,77.77777777777779
Computer Science,6,2016,14,1.2756285714285713,172,92.85714285714286
Computer Science,6,2017,28,3.8411250000000003,788,89.28571428571429
Computer Science,6,2018,26,7.016503846153845,660,92.3076923076923
Computer Science,6,2019,46,4.404432608695652,247,54.347826086956516
Computer Science,6,2020,3,13.3298,10,66.66666666666666
Environment/Ecology,7,2001,1,0.7307,31,100.0
Environment/Ecology,7,2007,1,0.6695,25,100.0
Environment/Ecology,7,2013,3,0.11176666666666668,7,66.66666666666666
Environment/Ecology,7,2014,3,0.5123666666666667,27,100.0
Environment/Ecology,7,2015,2,0.58405,17,100.0
Environment/Ecology,7,2016,11,0.5401090909090909,66,81.81818181818183
Environment/Ecology,7,2017,7,2.7647714285714287,154,71.42857142857143
Environment/Ecology,7,2018,22,1.470440909090909,152,90.9090909090909
Environment/Ecology,7,2019,34,2.0720264705882356,104,55.88235294117647
Environment/Ecology,7,2020,12,5.186566666666667,9,41.66666666666667
Psychiatry/Psychology,8,2004,2,0.0,0,0.0
Psychiatry/Psychology,8,2010,1,2.7286,77,100.0
Psychiatry/Psychology,8,2011,1,0.5257000000000001,13,100.0
Psychiatry/Psychology,8,2012,3,0.4146333333333334,26,100.0
Psychiatry/Psychology,8,2013,3,1.3329000000000002,71,100.0
Psychiatry/Psychology,8,2014,8,0.7206625,87,75.0
Psychiatry/Psychology,8,2015,6,0.5773,41,83.33333333333334
Psychiatry/Psychology,8,2016,3,0.4402333333333333,11,66.66666666666666
Psychiatry/Psychology,8,2017,3,0.8171333333333334,14,66.66666666666666
Psychiatry/Psychology,8,2018,8,0.7579250000000001,19,62.5
Psychiatry/Psychology,8,2019,9,0.5238666666666667,5,33.33333333333333
Psychiatry/Psychology,8,2020,5,0.0,0,0.0
Plant & Animal Science,9,2007,1,0.4743,11,100.0
Plant & Animal Science,9,2008,2,0.19025000000000003,8,100.0
Plant & Animal Science,9,2009,1,0.3027,6,100.0
Plant & Animal Science,9,2011,1,1.3864,23,100.0
Plant & Animal Science,9,2012,5,0.5615400000000002,41,100.0
Plant & Animal Science,9,2013,2,1.1210499999999999,29,100.0
Plant & Animal Science,9,2014,5,0.9528800000000001,53,100.0
Plant & Animal Science,9,2015,5,1.4517600000000002,65,100.0
Plant & Animal Science,9,2016,7,1.4663571428571431,71,100.0
Plant & Animal Science,9,2017,8,1.0050000000000001,38,100.0
Plant & Animal Science,9,2018,7,0.48568571428571433,9,42.857142857142854
Plant & Animal Science,9,2019,12,0.7591416666666667,7,41.66666666666667
Plant & Animal Science,9,2020,2,0.0,0,0.0
Molecular Biology & Genetics,10,2005,1,0.3436,23,100.0
Molecular Biology & Genetics,10,2009,2,0.23325,24,100.0
Molecular Biology & Genetics,10,2010,1,0.5342,26,100.0
Molecular Biology & Genetics,10,2012,1,1.4542000000000002,52,100.0
Molecular Biology & Genetics,10,2013,2,0.0795,5,100.0
Molecular Biology & Genetics,10,2014,2,0.306,16,100.0
Molecular Biology & Genetics,10,2015,2,0.65195,28,100.0
Molecular Biology & Genetics,10,2016,12,0.16298333333333334,25,75.0
Molecular Biology & Genetics,10,2017,3,1.6487333333333334,42,100.0
Molecular Biology & Genetics,10,2018,3,0.7182666666666667,19,100.0
Molecular Biology & Genetics,10,2019,12,0.09807500000000001,2,8.333333333333332
Molecular Biology & Genetics,10,2020,2,0.0,0,0.0
Economics & Business,11,2012,1,1.397,23,100.0
Economics & Business,11,2015,1,0.10450000000000001,1,100.0
Economics & Business,11,2016,1,16.8409,119,100.0
Economics & Business,11,2017,2,2.1246,20,50.0
Economics & Business,11,2018,2,6.860250000000001,35,100.0
Economics & Business,11,2019,6,8.943950000000001,42,66.66666666666666
Economics & Business,11,2020,2,2.3794,1,50.0
"Social Sciences, general",12,2006,1,3.2799,84,100.0
"Social Sciences, general",12,2007,2,0.2414,13,100.0
"Social Sciences, general",12,2008,1,0.20090000000000002,4,100.0
"Social Sciences, general",12,2011,1,0.0658,1,100.0
"Social Sciences, general",12,2012,2,0.22740000000000002,6,100.0
"Social Sciences, general",12,2013,3,1.7857666666666667,63,100.0
"Social Sciences, general",12,2014,2,0.40965,15,100.0
"Social Sciences, general",12,2016,1,0.17,1,100.0
"Social Sciences, general",12,2017,4,0.7296,12,75.0
"Social Sciences, general",12,2018,3,0.4396,3,33.33333333333333
"Social Sciences, general",12,2019,6,0.71055,5,16.666666666666664
"Social Sciences, general",12,2020,3,1.6657000000000002,1,33.33333333333333
Space Science,13,2001,1,0.2878,12,100.0
Space Science,13,2003,1,0.0,0,0.0
Space Science,13,2004,1,0.0,0,0.0
Space Science,13,2009,1,0.055900000000000005,2,100.0
Space Science,13,2011,1,4.736000000000001,152,100.0
Space Science,13,2017,1,0.0,0,0.0
Agricultural Sciences,14,2007,1,1.1276000000000002,28,100.0
Agricultural Sciences,14,2008,1,1.746,37,100.0
Agricultural Sciences,14,2009,1,0.3049,6,100.0
Agricultural Sciences,14,2014,2,0.3734,9,100.0
Agricultural Sciences,14,2016,4,1.3487750000000003,43,100.0
Agricultural Sciences,14,2017,18,0.08376111111111112,14,16.666666666666664
Agricultural Sciences,14,2018,6,0.7030333333333334,14,66.66666666666666
Agricultural Sciences,14,2019,4,1.2398500000000001,5,100.0
Agricultural Sciences,14,2020,1,0.0,0,0.0
Biology & Biochemistry,15,2006,2,0.40825,35,100.0
Biology & Biochemistry,15,2008,2,0.35035000000000005,26,100.0
Biology & Biochemistry,15,2010,1,0.3098,10,100.0
Biology & Biochemistry,15,2011,1,0.684,20,100.0
Biology & Biochemistry,15,2013,2,0.15495,7,100.0
Biology & Biochemistry,15,2014,2,0.233,9,100.0
Biology & Biochemistry,15,2016,5,0.1845,11,60.0
Biology & Biochemistry,15,2017,6,0.19549999999999998,10,83.33333333333334
Biology & Biochemistry,15,2018,7,0.1746857142857143,6,28.57142857142857
Biology & Biochemistry,15,2019,11,1.2386636363636365,20,54.54545454545454
Neuroscience & Behavior,16,2014,1,0.45280000000000004,9,100.0
Neuroscience & Behavior,16,2015,1,8.3076,133,100.0
Neuroscience & Behavior,16,2016,1,0.0816,1,100.0
Neuroscience & Behavior,16,2018,2,0.2204,2,100.0
Neuroscience & Behavior,16,2019,6,0.5931333333333334,5,50.0
Neuroscience & Behavior,16,2020,3,0.0,0,0.0
Pharmacology & Toxicology,17,2001,1,0.032,1,100.0
Pharmacology & Toxicology,17,2009,1,3.3138,79,100.0
Pharmacology & Toxicology,17,2013,1,0.30970000000000003,5,100.0
Pharmacology & Toxicology,17,2014,2,1.09795,30,100.0
Pharmacology & Toxicology,17,2015,3,0.05853333333333333,2,66.66666666666666
Pharmacology & Toxicology,17,2016,1,0.4582,4,100.0
Pharmacology & Toxicology,17,2017,4,0.30560000000000004,8,50.0
Pharmacology & Toxicology,17,2019,7,0.5466,4,14.285714285714285
Geosciences,18,2006,1,0.0,0,0.0
Geosciences,18,2007,1,0.09090000000000001,3,100.0
Geosciences,18,2008,1,0.21100000000000002,1,100.0
Geosciences,18,2011,2,0.5391,28,100.0
Geosciences,18,2012,4,0.391225,36,75.0
Geosciences,18,2016,2,0.5142,11,100.0
Geosciences,18,2017,4,0.6776750000000001,20,100.0
Geosciences,18,2018,1,1.4913,6,100.0
Geosciences,18,2019,7,0.3615857142857143,3,42.857142857142854
Geosciences,18,2020,2,0.0,0,0.0
Microbiology,19,2007,1,0.08310000000000001,3,100.0
Microbiology,19,2010,1,0.1391,4,100.0
Microbiology,19,2011,2,0.5303,26,100.0
Microbiology,19,2013,7,0.32732857142857147,45,100.0
Microbiology,19,2014,3,0.2316,12,100.0
Microbiology,19,2015,1,0.5787,8,100.0
Microbiology,19,2019,4,0.887325,5,75.0
Microbiology,19,2020,1,0.0,0,0.0
Clinical Medicine,20,2010,1,0.4743,12,100.0
Clinical Medicine,20,2011,1,1.0714000000000001,24,100.0
Clinical Medicine,20,2012,2,0.49420000000000003,20,100.0
Clinical Medicine,20,2013,1,0.1696,3,100.0
Clinical Medicine,20,2014,1,0.261,4,100.0
Clinical Medicine,20,2015,1,0.0,0,0.0
Clinical Medicine,20,2016,1,0.8493,14,100.0
Clinical Medicine,20,2017,3,0.7559333333333335,17,100.0
Clinical Medicine,20,2018,2,0.6846000000000001,5,100.0
Clinical Medicine,20,2019,1,0.0,0,0.0
Clinical Medicine,20,2020,2,0.0,0,0.0
Multidisciplinary,21,2019,1,1.7262000000000002,2,100.0
Immunology,22,2018,1,0.0,0,0.0

Filter Summary:
Dataset: InCites Dataset
"学科分类体系:  Essential Science Indicators"
"出版年:  [2000, 2020]"
"机构名称:  [Sichuan Normal University]"

"Exported Date  2020-05-21. "
"InCites dataset updated  Apr 28, 2020. Includes Web of Science content indexed through Mar 31, 2020. "
