"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,14,0.16039999999999996,66,85.71428571428571
Chemistry,1,2001,10,0.10623,31,70.0
Chemistry,1,2002,33,0.2511242424242424,251,87.87878787878788
Chemistry,1,2003,28,0.44757500000000017,385,100.0
Chemistry,1,2004,54,0.51645,859,98.14814814814815
Chemistry,1,2005,56,0.5586214285714287,928,94.64285714285714
Chemistry,1,2006,72,0.4774097222222221,1014,97.22222222222221
Chemistry,1,2007,127,0.549764566929134,1933,94.48818897637796
Chemistry,1,2008,154,1.0288038961038959,2699,85.06493506493507
Chemistry,1,2009,199,0.6953824120603015,3546,90.45226130653266
Chemistry,1,2010,226,0.7418225663716814,4163,92.03539823008849
Chemistry,1,2011,265,0.7242803773584907,4701,86.41509433962264
Chemistry,1,2012,220,0.7688168181818182,3897,93.18181818181817
Chemistry,1,2013,216,0.7260523148148146,3204,92.5925925925926
Chemistry,1,2014,184,0.8394777173913043,2854,92.93478260869566
Chemistry,1,2015,212,0.9553759433962263,3229,92.9245283018868
Chemistry,1,2016,220,1.2966027272727276,3570,94.54545454545455
Chemistry,1,2017,212,1.1108410377358493,2248,91.0377358490566
Chemistry,1,2018,227,1.3249550660792953,1758,85.90308370044053
Chemistry,1,2019,309,1.287556634304208,676,63.75404530744336
Chemistry,1,2020,74,0.9212716216216218,9,12.162162162162163
Physics,2,2000,10,0.52695,148,90.0
Physics,2,2001,23,0.3356086956521739,208,100.0
Physics,2,2002,27,0.7010851851851853,511,100.0
Physics,2,2003,28,0.6788607142857144,491,100.0
Physics,2,2004,44,0.57725,676,97.72727272727273
Physics,2,2005,56,0.8374892857142858,1205,91.07142857142857
Physics,2,2006,68,0.9037338235294118,1522,91.17647058823529
Physics,2,2007,85,0.7594647058823528,1481,97.6470588235294
Physics,2,2008,144,0.6215680555555555,2025,85.41666666666666
Physics,2,2009,132,0.8337878787878789,3182,95.45454545454545
Physics,2,2010,175,0.563306285714286,2070,91.42857142857143
Physics,2,2011,197,0.6644629441624365,2560,90.86294416243655
Physics,2,2012,224,0.6922821428571427,2935,92.41071428571429
Physics,2,2013,194,0.6904731958762887,2237,89.17525773195877
Physics,2,2014,226,0.9246681415929202,2989,88.93805309734513
Physics,2,2015,242,0.8208016528925621,2442,86.77685950413223
Physics,2,2016,228,0.9145732456140347,2057,87.71929824561403
Physics,2,2017,224,0.8992526785714284,1423,85.26785714285714
Physics,2,2018,284,1.0855288732394368,1326,80.63380281690141
Physics,2,2019,358,1.127970391061453,512,44.97206703910614
Physics,2,2020,83,0.4752590361445783,4,3.614457831325301
Materials Science,3,2000,4,0.07437500000000001,7,75.0
Materials Science,3,2001,1,1.2895,32,100.0
Materials Science,3,2002,4,1.2603750000000002,129,100.0
Materials Science,3,2004,5,1.391,190,100.0
Materials Science,3,2005,13,0.9274230769230769,329,100.0
Materials Science,3,2006,16,0.48613125,212,93.75
Materials Science,3,2007,21,0.7370761904761904,453,85.71428571428571
Materials Science,3,2008,30,0.8897800000000001,757,90.0
Materials Science,3,2009,28,0.9791964285714287,763,100.0
Materials Science,3,2010,26,1.3848999999999998,1067,92.3076923076923
Materials Science,3,2011,39,1.878225641025641,1972,94.87179487179486
Materials Science,3,2012,53,1.632490566037736,2187,96.22641509433963
Materials Science,3,2013,67,0.7143761194029852,1100,94.02985074626866
Materials Science,3,2014,103,1.366968932038835,3064,96.11650485436894
Materials Science,3,2015,89,1.2103955056179774,2021,97.75280898876404
Materials Science,3,2016,97,1.0852649484536083,1684,97.9381443298969
Materials Science,3,2017,134,1.2045880597014924,1845,96.26865671641791
Materials Science,3,2018,158,1.487725316455696,1532,91.77215189873418
Materials Science,3,2019,278,1.4963769784172662,782,63.66906474820144
Materials Science,3,2020,58,0.7887413793103448,6,10.344827586206897
Mathematics,4,2000,18,0.44773333333333337,125,77.77777777777779
Mathematics,4,2001,17,0.22761764705882354,59,64.70588235294117
Mathematics,4,2002,22,0.4292363636363636,126,86.36363636363636
Mathematics,4,2003,15,1.13898,244,86.66666666666667
Mathematics,4,2004,28,0.5582857142857143,233,85.71428571428571
Mathematics,4,2005,28,0.664617857142857,262,85.71428571428571
Mathematics,4,2006,39,0.9769820512820511,520,69.23076923076923
Mathematics,4,2007,68,0.5620220588235294,481,77.94117647058823
Mathematics,4,2008,100,0.6571190000000001,786,86.0
Mathematics,4,2009,109,0.9352577981651377,1123,83.4862385321101
Mathematics,4,2010,136,1.0808669117647056,1519,84.55882352941177
Mathematics,4,2011,146,1.1590609589041097,1504,89.04109589041096
Mathematics,4,2012,138,0.9946152173913042,1045,81.88405797101449
Mathematics,4,2013,140,0.8206514285714288,756,81.42857142857143
Mathematics,4,2014,140,1.0819235714285713,854,80.0
Mathematics,4,2015,115,0.8236634782608693,461,72.17391304347827
Mathematics,4,2016,102,1.0709735294117646,412,79.41176470588235
Mathematics,4,2017,101,0.8626118811881188,243,63.366336633663366
Mathematics,4,2018,111,1.0527513513513513,202,61.261261261261254
Mathematics,4,2019,109,1.0082770642201835,67,34.862385321100916
Mathematics,4,2020,47,1.5556021276595746,9,10.638297872340425
