"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,14,0.08117142857142856,33,71.42857142857143
Chemistry,1,2001,20,0.15934500000000001,93,90.0
Chemistry,1,2002,16,0.1506375,73,75.0
Chemistry,1,2003,28,0.25728571428571434,220,100.0
Chemistry,1,2004,74,0.28737297297297293,655,86.48648648648648
Chemistry,1,2005,58,0.7261362068965518,1291,79.3103448275862
Chemistry,1,2006,60,0.65588,1228,88.33333333333333
Chemistry,1,2007,67,0.7577507462686567,1482,88.05970149253731
Chemistry,1,2008,52,0.7345134615384615,1056,94.23076923076923
Chemistry,1,2009,78,0.6483628205128207,1477,89.74358974358975
Chemistry,1,2010,95,0.9978389473684212,2410,86.31578947368422
Chemistry,1,2011,102,0.9092323529411765,2270,85.29411764705883
Chemistry,1,2012,94,0.6812904255319148,1449,93.61702127659575
Chemistry,1,2013,87,0.7997114942528737,1813,89.65517241379311
Chemistry,1,2014,89,0.705023595505618,1149,84.26966292134831
Chemistry,1,2015,109,0.8787935779816513,1512,88.9908256880734
Chemistry,1,2016,104,1.0116326923076924,1324,89.42307692307693
Chemistry,1,2017,99,1.0466313131313136,978,91.91919191919192
Chemistry,1,2018,131,1.3691053435114504,1048,89.31297709923665
Chemistry,1,2019,148,1.5513479729729733,404,60.810810810810814
Chemistry,1,2020,33,0.6886272727272728,3,9.090909090909092
Materials Science,2,2000,3,4.208866666666666,297,100.0
Materials Science,2,2001,2,0.403,20,100.0
Materials Science,2,2002,1,0.7816000000000001,20,100.0
Materials Science,2,2003,5,0.2414,34,100.0
Materials Science,2,2004,3,0.1342,11,66.66666666666666
Materials Science,2,2005,7,1.0417857142857143,199,100.0
Materials Science,2,2006,18,0.21810555555555558,107,88.88888888888889
Materials Science,2,2007,11,0.5684454545454546,183,90.9090909090909
Materials Science,2,2008,3,0.2586,22,100.0
Materials Science,2,2009,3,0.5629666666666667,47,100.0
Materials Science,2,2010,8,0.6642750000000001,155,100.0
Materials Science,2,2011,8,0.5060875000000001,109,75.0
Materials Science,2,2012,18,0.4986166666666667,218,88.88888888888889
Materials Science,2,2013,32,0.71100625,404,100.0
Materials Science,2,2014,32,0.641378125,443,96.875
Materials Science,2,2015,29,0.8318793103448274,605,96.55172413793103
Materials Science,2,2016,32,2.0382218750000005,1200,100.0
Materials Science,2,2017,51,1.5497156862745098,939,96.07843137254902
Materials Science,2,2018,36,2.2406055555555557,647,91.66666666666666
Materials Science,2,2019,51,1.1310235294117645,126,60.78431372549019
Materials Science,2,2020,6,0.0,0,0.0
Space Science,3,2000,2,1.35485,118,100.0
Space Science,3,2001,5,0.23504000000000005,49,60.0
Space Science,3,2002,6,0.8665833333333334,213,83.33333333333334
Space Science,3,2004,2,0.24345,20,50.0
Space Science,3,2005,3,2.4614333333333334,313,100.0
Space Science,3,2006,3,0.8150000000000001,104,100.0
