"名称",排名,出版年,Web of Science 论文数,学科规范化的引文影响力,被引频次,论文被引百分比
Chemistry,1,2000,11,0.31624545454545455,101,90.9090909090909
Chemistry,1,2001,14,0.2937142857142857,120,92.85714285714286
Chemistry,1,2002,20,0.20468999999999998,124,85.0
Chemistry,1,2003,31,0.30070967741935484,259,83.87096774193549
Chemistry,1,2004,44,0.3076863636363636,417,79.54545454545455
Chemistry,1,2005,55,0.6138945454545455,1035,94.54545454545455
Chemistry,1,2006,72,0.4618722222222222,981,79.16666666666666
Chemistry,1,2007,107,0.5941046728971963,1755,80.37383177570094
Chemistry,1,2008,109,1.1173935779816515,1718,89.90825688073394
Chemistry,1,2009,134,0.47515149253731354,1639,82.08955223880598
Chemistry,1,2010,122,0.46282131147540984,1574,79.50819672131148
Chemistry,1,2011,168,0.9733184523809523,3929,88.69047619047619
Chemistry,1,2012,158,1.0596101265822786,3791,89.24050632911393
Chemistry,1,2013,162,1.2765104938271603,4353,90.74074074074075
Chemistry,1,2014,165,1.5802690909090908,5947,97.57575757575758
Chemistry,1,2015,148,1.5937466216216216,4441,96.62162162162163
Chemistry,1,2016,148,1.5678425675675676,2953,92.56756756756756
Chemistry,1,2017,168,1.4158875,2242,93.45238095238095
Chemistry,1,2018,203,2.0427768472906407,2353,94.08866995073892
Chemistry,1,2019,211,2.9355369668246447,1072,69.66824644549763
Chemistry,1,2020,45,7.406533333333334,44,22.22222222222222
Physics,2,2000,7,0.39165714285714287,77,85.71428571428571
Physics,2,2001,11,0.8029818181818181,238,81.81818181818183
Physics,2,2002,21,1.0208047619047615,587,100.0
Physics,2,2003,36,0.7581361111111112,705,97.22222222222221
Physics,2,2004,39,0.5953846153846154,618,97.43589743589743
Physics,2,2005,44,0.5590409090909092,632,90.9090909090909
Physics,2,2006,60,0.6535899999999999,963,90.0
Physics,2,2007,59,0.5003152542372883,650,86.4406779661017
Physics,2,2008,77,0.6986584415584416,1304,93.5064935064935
Physics,2,2009,104,0.7641682692307691,1727,95.1923076923077
Physics,2,2010,109,0.9822146788990829,2251,96.3302752293578
Physics,2,2011,110,0.9168536363636365,1921,93.63636363636364
Physics,2,2012,133,0.8761082706766918,2189,92.4812030075188
Physics,2,2013,91,0.8914252747252748,1302,93.4065934065934
Physics,2,2014,74,1.4030527027027029,1586,95.94594594594594
Physics,2,2015,64,0.85174375,652,81.25
Physics,2,2016,58,1.121244827586207,618,79.3103448275862
Physics,2,2017,74,1.151166216216216,621,87.83783783783784
Physics,2,2018,94,1.1020797872340427,449,80.85106382978722
Physics,2,2019,102,1.0585696078431373,141,50.98039215686274
Physics,2,2020,27,1.8262259259259261,5,7.4074074074074066
Materials Science,3,2003,1,0.2485,7,100.0
Materials Science,3,2004,2,0.604,33,100.0
Materials Science,3,2005,4,0.531375,58,100.0
Materials Science,3,2006,7,0.6132428571428573,117,85.71428571428571
Materials Science,3,2007,22,1.4024954545454547,903,86.36363636363636
Materials Science,3,2008,16,0.9239125,420,100.0
Materials Science,3,2009,22,0.6221863636363637,384,100.0
Materials Science,3,2010,34,0.705870588235294,700,94.11764705882352
Materials Science,3,2011,43,1.110281395348837,1320,95.34883720930233
Materials Science,3,2012,48,1.2032,1430,97.91666666666666
Materials Science,3,2013,78,1.0933833333333338,1960,97.43589743589743
Materials Science,3,2014,88,1.5936568181818183,3027,98.86363636363636
Materials Science,3,2015,81,1.8708098765432102,2868,98.76543209876543
Materials Science,3,2016,72,1.9527986111111109,2128,95.83333333333334
Materials Science,3,2017,68,1.5671588235294123,1339,97.05882352941177
Materials Science,3,2018,92,2.0522184782608703,1294,91.30434782608695
Materials Science,3,2019,88,1.784734090909091,304,67.04545454545455
Materials Science,3,2020,26,1.46625,5,15.384615384615385
Mathematics,4,2000,1,0.19340000000000002,3,100.0
Mathematics,4,2001,2,0.65585,20,50.0
Mathematics,4,2002,5,0.29954000000000003,22,80.0
Mathematics,4,2003,12,0.5251333333333333,90,91.66666666666666
Mathematics,4,2004,19,0.41314210526315787,117,73.68421052631578
Mathematics,4,2005,23,0.42307826086956524,137,82.6086956521739
Mathematics,4,2006,36,0.48849166666666655,240,86.11111111111111
Mathematics,4,2007,32,0.8342656249999998,336,87.5
Mathematics,4,2008,38,0.644621052631579,293,94.73684210526315
Mathematics,4,2009,82,1.1675646341463417,1112,90.2439024390244
Mathematics,4,2010,73,1.4820835616438355,1118,98.63013698630137
