PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Wei, GW; Garg, H; Gao, H; Wei, C				Wei, Guiwu; Garg, Harish; Gao, Hui; Wei, Cun			Interval-Valued Pythagorean Fuzzy Maclaurin Symmetric Mean Operators in Multiple Attribute Decision Making	IEEE ACCESS			English	Article						Multiple attribute decision making (MADM); MSM operator; IVPFS; aggregation operators; potential evaluation; emerging technology commercialization	AGGREGATION OPERATORS; SIMILARITY MEASURES; ACCURACY FUNCTION; TODIM METHOD; SETS; MODELS; TOPSIS	Interval-valued Pythagorean fuzzy (IVPF) set is one the successful extension of the existing theories for handling the uncertainties during the decision-making process. Under that environment, various aggregation operators have been developed by the authors to aggregate the different preferences of the decision makers under the different attributes. But these studies have conducted under the assumption that their corresponding pairs are independent and don't consider the interaction between the pairs of the membership degrees. In this paper, these conditions have been relaxed by considering the interrelationship between the different inputs by using Maclaurin symmetric mean (MSM) operator. Further, based on the input and MSM operator, we proposed two aggregation operators namely, IVPF Maclaurin symmetric mean and IVPF weighted Maclaurin symmetric mean operators and studied their desirable properties. A decision-making method based on these operators has been discussed for solving the decision-making problems under IVPF set environment. Finally, an illustrative example and a comparative analysis have been presented to demonstrate the proposed approach.	[Wei, Guiwu; Gao, Hui] Sichuan Normal Univ, Sch Business, Chengdu 610101, Sichuan, Peoples R China; [Garg, Harish] Thapar Inst Engn & Technol, Sch Math, Patiala 147004, Punjab, India; [Wei, Cun] Southwest Petr Univ, Sch Sci, Chengdu 610500, Sichuan, Peoples R China	Wei, C (reprint author), Southwest Petr Univ, Sch Sci, Chengdu 610500, Sichuan, Peoples R China.	weicun1990@163.com	Garg, Harish/C-6063-2012	Garg, Harish/0000-0001-9099-8422	National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61174149, 71571128]; Humanities and Social Sciences Foundation, Ministry of Education, China [16YJA630033]; Construction Plan of Scientific Research Innovation Team for Colleges and Universities in Sichuan Province [15TD0004]	This work was supported in part by the National Natural Science Foundation of China under Grant 61174149 and Grant 71571128, in part by the Humanities and Social Sciences Foundation, Ministry of Education, China, under Grant 16YJA630033, and in part by the Construction Plan of Scientific Research Innovation Team for Colleges and Universities in Sichuan Province under Grant 15TD0004.		53	53	53	1	4	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	2169-3536			IEEE ACCESS	IEEE Access		2018	6						67866	67884		10.1109/ACCESS.2018.2877725			19	Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications	Computer Science; Engineering; Telecommunications	HD2WG	WOS:000452372100001		DOAJ Gold	Y	N	2020-05-24	
J	Wei, GW; Wei, C; Gao, H				Wei, Guiwu; Wei, Cun; Gao, Hui			Multiple Attribute Decision Making With Interval-Valued Bipolar Fuzzy Information and Their Application to Emerging Technology Commercialization Evaluation	IEEE ACCESS			English	Article						Multiple attribute decision making (MADM); bipolar fuzzy set; IVBFSs; Hamacher aggregation; IVBFHHA operator; IVBFHHG operator; emerging technology commercialization	HAMACHER AGGREGATION OPERATORS; DIAGNOSTIC-ANALYSIS; EQUILIBRIUM; ENTERPRISE; AVERAGES; SUPPORT; NUMBERS; SETS	In this paper, we investigate the multiple attribute decision making (MADM) problems with interval-valued bipolar fuzzy sets (IVBFSs). First, the concept, operational laws, score function, and accuracy function of IVBFSs are defined. Then, based on the operational laws, some interval-valued bipolar fuzzy Hamacher aggregation operators are developed for aggregating the interval-valued bipolar fuzzy information. A series of characteristics of aggregation operators is studied. Then, based on these proposed operators, we develop an interval-valued bipolar fuzzy method to solve an uncertainty MADM problem. Finally, an illustrative example for evaluating the emerging technology commercialization is given to verify the developed approach and to demonstrate its practicality and effectiveness.	[Wei, Guiwu; Gao, Hui] Sichuan Normal Univ, Sch Business, Chengdu 610101, Sichuan, Peoples R China; [Wei, Cun] Southwest Petr Univ, Sch Sci, Chengdu 610500, Sichuan, Peoples R China	Wei, C (reprint author), Southwest Petr Univ, Sch Sci, Chengdu 610500, Sichuan, Peoples R China.	weicun1990@163.com			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [71571128]; Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China [17XJA630003]; Construction Plan of Scientific Research Innovation Team for Colleges and Universities in Sichuan Province [15TD0004]	This work was supported in part by the National Natural Science Foundation of China under Grant 71571128, in part by the Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China under Grant 17XJA630003, and in part by the Construction Plan of Scientific Research Innovation Team for Colleges and Universities in Sichuan Province under Grant 15TD0004.		87	36	36	3	8	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	2169-3536			IEEE ACCESS	IEEE Access		2018	6								UNSP 2875261	10.1109/ACCESS.2018.2875261			26	Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications	Computer Science; Engineering; Telecommunications	HA4TE	WOS:000450256000001		DOAJ Gold			2020-05-24	
J	Jiang, WJ; Xia, J; Zhang, XC; Song, YF; Ma, C; Fangohr, H; Zhao, GP; Liu, XX; Zhao, WS; Zhou, Y				Jiang, Wenjing; Xia, Jing; Zhang, Xichao; Song, Yifan; Ma, Chuang; Fangohr, Hans; Zhao, Guoping; Liu, Xiaoxi; Zhao, Weisheng; Zhou, Yan			Dynamics of Magnetic Skyrmion Clusters Driven by Spin-Polarized Current With a Spatially Varied Polarization	IEEE MAGNETICS LETTERS			English	Article						Spin electronics; magnetism in solids; magnetic skyrmion; spin current; spintronics micromagnetics	LATTICE; STATES	Magnetic skyrmions are promising candidates for future information technology. We present a micromagnetic study of isolated skyrmions and skyrmion clusters in ferromagnetic nanodisks driven by a spin-polarized current with spatially varied polarization. The current-driven skyrmion clusters can be either dynamically steady or static, depending on the spatially varied polarization profile. For the dynamically steady state, the skyrmion cluster moves in a circle in the nanodisk, whereas for the static state, the skyrmion cluster is stationary. The frequency of the skyrmion circular motion and the dependence of skyrmion cluster dynamics on the magnetic anisotropy and Dzyaloshinskii-Moriya interaction are investigated. Our results may provide a pathway to realize devices based on magnetic skyrmion clusters.	[Jiang, Wenjing; Xia, Jing; Zhang, Xichao; Song, Yifan; Zhou, Yan] Chinese Univ Hong Kong, Sch Sci & Engn, Shenzhen 518172, Guangdong, Peoples R China; [Ma, Chuang; Liu, Xiaoxi] Shinshu Univ, Dept Elect & Comp Engn, Nagano 3808553, Japan; [Fangohr, Hans] European XFEL GmbH, D-22869 Schenefeld, Germany; [Fangohr, Hans] Univ Southampton, Fac Engn & Environm, Southampton SO17 1BJ, Hants, England; [Zhao, Guoping] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610068, Sichuan, Peoples R China; [Zhao, Weisheng] Beihang Univ, BDBC, Fert Beijing Inst, Beijing 100191, Peoples R China; [Zhao, Weisheng] Beihang Univ, Sch Elect & Informat Engn, Beijing 100191, Peoples R China	Zhou, Y (reprint author), Chinese Univ Hong Kong, Sch Sci & Engn, Shenzhen 518172, Guangdong, Peoples R China.	zhouyan@cuhk.edu.cn	Fangohr, Hans/C-6367-2008; Zhang, Xichao/L-4924-2013; Ma, Chuang/AAK-8296-2020; Liu, Xiaoxi/D-9319-2013; Fangohr, Hans/O-2099-2019; Zhou, Yan/A-9690-2009	Fangohr, Hans/0000-0001-5494-7193; Zhang, Xichao/0000-0001-9656-9696; Ma, Chuang/0000-0001-8357-7005; Liu, Xiaoxi/0000-0001-5917-5495; Fangohr, Hans/0000-0001-5494-7193; Zhou, Yan/0000-0001-5641-9191; Zhao, Guoping/0000-0002-3327-9445	Japan Society for the Promotion of Science RONPAKU (Ph.D. dissertation) ProgramMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science; National Natural Science Foundation of ChinaNational Natural Science Foundation of China [51771127, 11074179, 10747007, 61501013, 61571023, 61627813, 11574137]; Construction Plan for Scientific Research Innovation Teams of Universities in Sichuan [12TD008]; Ministry of Science and Technology in ChinaMinistry of Science and Technology, China [2015DFE12880]; Program of Introducing Talents of Discipline to Universities in ChinaMinistry of Education, China - 111 Project [B16001]; President's Fund of The Chinese University of Hong Kong, Shenzhen; Shenzhen Fundamental Research Fund [JCYJ20160331164412545, JCYJ20170410171958839]	The work of X. Zhang was supported by the Japan Society for the Promotion of Science RONPAKU (Ph.D. dissertation) Program. The work of G. P. Zhao was supported in part by the National Natural Science Foundation of China under Grant 51771127, Grant 11074179, and Grant 10747007 and in part by the Construction Plan for Scientific Research Innovation Teams of Universities in Sichuan under Grant 12TD008. The work of W. Zhao was supported in part by the projects from the National Natural Science Foundation of China under Grant 61501013, Grant 61571023, and Grant 61627813, in part by the International Collaboration Project from the Ministry of Science and Technology in China under Grant 2015DFE12880, and in part by the Program of Introducing Talents of Discipline to Universities in China under Grant B16001. The work of Y. Zhou was supported in part by the President's Fund of The Chinese University of Hong Kong, Shenzhen, in part by the National Natural Science Foundation of China under Grant 11574137, and in part by the Shenzhen Fundamental Research Fund under Grant JCYJ20160331164412545 and Grant JCYJ20170410171958839.		35	3	3	1	17	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1949-307X			IEEE MAGN LETT	IEEE Magn. Lett.		2018	9								3102905	10.1109/LMAG.2018.2825280			5	Engineering, Electrical & Electronic; Physics, Applied	Engineering; Physics	GF4EK	WOS:000431914100001					2020-05-24	
J	Huang, YH; Wei, GW				Huang, Yu-Han; Wei, Gui-Wu			TODIM method for Pythagorean 2-tuple linguistic multiple attribute decision making	JOURNAL OF INTELLIGENT & FUZZY SYSTEMS			English	Article						Multiple attribute decision making ( MADM); Pythagorean 2-tuple linguistic sets (P2TLSs); Pythagorean 2-tuple linguistic numbers (P2TLNs); Pythagorean interval 2-tuple linguistic sets (PI2TLSs); TODIM method; prospect theory	FUZZY AGGREGATION OPERATORS; BONFERRONI MEAN OPERATORS; RELATIONAL ANALYSIS METHOD; INTUITIONISTIC FUZZY; PROSPECT-THEORY; VIKOR METHOD; FUNDAMENTAL PROPERTIES; PRIORITIZED OPERATORS; POTENTIAL OPTIMALITY; REPRESENTATION MODEL	Recently, the TODIM (an acronym in Portuguese for Interactive Multi-criteria Decision Making) approach, which can characterize the decision makers' psychological behaviors under risk, has been introduced to handle multiple attribute decision making(MADM) problems. The Pythagorean 2-tuple linguistic sets (P2TLSs) are useful tools to depict uncertainty in MADM. This paper use TODIM method to solveMADMwith the Pythagorean 2-tuple linguistic numbers (P2TLNs). Firstly, the definition, comparison and distance of P2TLNs are briefly presented, and classical TODIM for MADM are introduced. Then, the extended classical TODIM method is proposed to deal with MADM problems with P2TLNs, and its important characteristic is to fully consider the decision makers' bounded rationality which is a real action in MADM. Furthermore, we extend TODIM method to Pythagorean interval 2-tuple linguistic sets (PI2TLSs). Finally, a numerical example is proposed and a comparative analysis is also given.	[Huang, Yu-Han] Sichuan Normal Univ, Coll Math & Software Sci, Chengdu, Sichuan, Peoples R China; [Wei, Gui-Wu] Sichuan Normal Univ, Sch Business, Chengdu 610101, Sichuan, Peoples R China	Wei, GW (reprint author), Sichuan Normal Univ, Sch Business, Chengdu 610101, Sichuan, Peoples R China.	weiguiwu1973@sicnu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61174149, 71571128]; Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China [17XJA630003]; Construction Plan of Scientific Research Innovation Team for Colleges and Universities in Sichuan Province [15TD0004]	The work was supported by the National Natural Science Foundation of China under Grant No. 61174149 and 71571128 and the Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China (No. 17XJA630003) and the Construction Plan of Scientific Research Innovation Team for Colleges and Universities in Sichuan Province (15TD0004).		118	69	69	4	25	IOS PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	1064-1246	1875-8967		J INTELL FUZZY SYST	J. Intell. Fuzzy Syst.		2018	35	1					901	915		10.3233/JIFS-171636			15	Computer Science, Artificial Intelligence	Computer Science	GO8IF	WOS:000440330300079			Y	N	2020-05-24	
J	Wei, G; Wei, Y				Wei, G.; Wei, Y.			Some single-valued neutrosophic dombi prioritized weighted aggregation operators in multiple attribute decision making	JOURNAL OF INTELLIGENT & FUZZY SYSTEMS			English	Article						Multiple attribute decision making (MADM); single-valued neutrosophic numbers; single-valued neutrosophic Dombi prioritized weighted average (SVNDPWA) operator; single-valued neutrosophic Dombi prioritized weighted geometric (SVNDPWG) operator	COSINE SIMILARITY MEASURES; PICTURE FUZZY-SETS; CORRELATION-COEFFICIENT; ENTROPY	In this paper, we utilize prioritized aggregation operators to develop some single-valued neutrosophic Dombi prioritized aggregation operators: single-valued neutrosophic Dombi prioritized average (SVNDPA) operator, single-valued neutrosophic Dombi rioritized geometric (SVNDPG) operator, single-valued neutrosophic Dombi prioritized weighted average (SVNDPWA) operator and single-valued neutrosophic Dombi prioritized weighted geometric (SVNDPWG) operator. The prominent characteristic of these proposed operators are studied. Then, we have utilized the SVNDPWA and SVNDPWG operators to develop some approaches to solve the single-valued neutrosophic multiple attribute decision making problems. Finally, a practical example about talent introduction is given to verify the developed approach and to demonstrate its practicality and effectiveness.	[Wei, G.] Sichuan Normal Univ, Sch Business, Chengdu, Sichuan, Peoples R China; [Wei, G.] Univ Elect Sci & Technol China, Sch Management & Econ, Chengdu, Sichuan, Peoples R China; [Wei, Y.] Yunnan Univ Finance & Econ, Sch Finance, Kunming, Yunnan, Peoples R China	Wei, G (reprint author), Sichuan Normal Univ, Sch Business, Chengdu, Sichuan, Peoples R China.; Wei, G (reprint author), Univ Elect Sci & Technol China, Sch Management & Econ, Chengdu, Sichuan, Peoples R China.	weiguiwu@uestc.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [71571128]; Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China [17XJA630003]; Construction Plan of Scientific Research Innovation Team for Colleges and Universities in Sichuan Province [15TD0004]	The work was supported by the National Natural Science Foundation of China under Grant No. 71571128 and the Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China (17XJA630003) and the Construction Plan of Scientific Research Innovation Team for Colleges and Universities in Sichuan Province (15TD0004).		69	58	58	3	20	IOS PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	1064-1246	1875-8967		J INTELL FUZZY SYST	J. Intell. Fuzzy Syst.		2018	35	2					2001	2013		10.3233/JIFS-171741			13	Computer Science, Artificial Intelligence	Computer Science	GS1LV	WOS:000443287900065			Y	N	2020-05-24	
J	Gao, H				Gao, Hui			Pythagorean fuzzy Hamacher Prioritized aggregation operators in multiple attribute decision making	JOURNAL OF INTELLIGENT & FUZZY SYSTEMS			English	Article						Multiple attribute decision making (MADM); Pythagorean fuzzy numbers(PFNs); Hamacher aggregation operators; prioritized aggregation operators; Pythagorean fuzzy Hamacher Prioritized weighted average (PFHPWA) operator; Pythagorean fuzzy Hamacher Prioritized weighted geometric (PFHPWG) operator	EINSTEIN OPERATIONS; SETS; INFORMATION; TOPSIS	In this paper, we utilize Hamacher operations and Prioritized aggregation operators to develop some Pythagorean fuzzy Hamacher Prioritized aggregation operators: Pythagorean fuzzy Hamacher Prioritized average (PFHPA) operator, Pythagorean fuzzy Hamacher Prioritized geometric (PFHPG) operator, Pythagorean fuzzy Hamacher Prioritized weighted average (PFHPWA) operator and Pythagorean fuzzy Hamacher Prioritized weighted geometric (PFHPWG) operator. The prominent characteristic of these proposed operators are studied. Then, we have utilized these operators to develop some approaches to solve the Pythagorean fuzzy multiple attribute decision making problems. Finally, a practical example is given to verify the developed approach and a comparative analysis is also delivered.	[Gao, Hui] Sichuan Normal Univ, Sch Business, Chengdu, Sichuan, Peoples R China	Gao, H (reprint author), Sichuan Normal Univ, Sch Business, Chengdu, Sichuan, Peoples R China.	gaohuisxy@sicnu.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [71571128]; Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China [17XJA630003]; Construction Plan of Scientific Research Innovation Team for Colleges and Universities in Sichuan Province [15TD0004]	The work was supported by the National Natural Science Foundation of China under Grant No. 71571128 and the Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China (17XJA630003) and the Construction Plan of Scientific Research Innovation Team for Colleges and Universities in Sichuan Province (15TD0004).		85	71	71	3	12	IOS PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	1064-1246	1875-8967		J INTELL FUZZY SYST	J. Intell. Fuzzy Syst.		2018	35	2					2229	2245		10.3233/JIFS-172262			17	Computer Science, Artificial Intelligence	Computer Science	GS1LV	WOS:000443287900081			Y	N	2020-05-24	
J	Liu, K; Zheng, BJ; Wu, JJ; Chen, YF; Wang, XQ; Qi, F; He, DW; Zhang, WL; Li, YR				Liu, Ke; Zheng, Binjie; Wu, Jingjun; Chen, Yuanfu; Wang, Xinqiang; Qi, Fei; He, Duanwei; Zhang, Wanli; Li, Yanrong			Synthesis of two-dimensional semiconductor single-crystal PtSe2 under high pressure	JOURNAL OF MATERIALS SCIENCE			English	Article							FREESTANDING CATHODE; CAPACITY ANODE; GRAPHENE; MOS2; NANOSHEETS; EFFICIENT; CATALYST; ARCHITECTURE; TRANSITION; GROWTH	Single-crystal platinum diselenide (PtSe2) is successfully synthesized through direct reaction of metal platinum foil and selenium powder under high pressure and high temperature. Characterizations are performed by scanning electron microscopy observation, X-ray diffraction technique and atomic force microscopy, which show that the largest crystallite size is more than 15 microns. Our studies not only lead to a new method for the growth of single-crystal PtSe2 under high pressure, but also provide a new technique and method in expanding the family of transition-metal dichalcogenides.	[Liu, Ke; Zheng, Binjie; Chen, Yuanfu; Wang, Xinqiang; Qi, Fei; Zhang, Wanli; Li, Yanrong] Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Sichuan, Peoples R China; [Liu, Ke; Wu, Jingjun; He, Duanwei] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Sichuan, Peoples R China; [Liu, Ke] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610101, Sichuan, Peoples R China	Chen, YF (reprint author), Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Sichuan, Peoples R China.; He, DW (reprint author), Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Sichuan, Peoples R China.	yfchen@uestc.edu.cn; DuanweiHe@scu.edu.cn	Chen, Yuanfu/S-1753-2019		National High Technology Research and Development Program of ChinaNational High Technology Research and Development Program of China [2015AA034202]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China [51372033]; China Postdoctoral Science FoundationChina Postdoctoral Science Foundation [2016M602666]	The research was supported by National High Technology Research and Development Program of China (Grant No. 2015AA034202), the National Natural Science Foundation of China (Grant No. 51372033), and the project funded by China Postdoctoral Science Foundation (Grant No. 2016M602666).		42	5	5	10	128	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0022-2461	1573-4803		J MATER SCI	J. Mater. Sci.	JAN	2018	53	2					1256	1263		10.1007/s10853-017-1572-x			8	Materials Science, Multidisciplinary	Materials Science	FL2VY	WOS:000414079300033					2020-05-24	
J	Lai, X; Liu, L				Lai, Xin; Liu, Liu			A simple test procedure in standardizing the power of Hosmer-Lemeshow test in large data sets	JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION			English	Article						Logistic regression; Hosmer-Lemeshow test; power; large data sets	LOGISTIC-REGRESSION-MODEL; PROSTATE-CANCER; CARDIAC-SURGERY; FIT TESTS; GOODNESS; SCORE; STATISTICS; MORTALITY; CARE	The Hosmer-Lemeshow (H-L) test is a widely used method when assessing the goodness-of-fit of a logistic regression model. However, the H-L test is sensitive to the sample sizes and the number of groups in H-L test. Cautions need to be taken for interpreting an H-L test with a large sample size. In this paper, we propose a simple test procedure to evaluate the model fit of logistic regression model with a large sample size, in which a bootstrap method is used and the test result is determined by the power of H-L test at the target sample size. Simulation studies show that the proposed method can effectively standardize the power of the H-L test under the pre-specified level of type I error. Application to the two datasets illustrates the usefulness of the proposed model.	[Lai, Xin] Xi An Jiao Tong Univ, Sch Management, Xian, Shaanxi, Peoples R China; [Lai, Xin] Chinese Univ Hong Kong, Jockey Club Sch Publ Hlth & Primary Care, Div Biostat, Shatin, Hong Kong, Peoples R China; [Liu, Liu] Sichuan Normal Univ, Sch Math, Chengdu, Sichuan, Peoples R China; [Liu, Liu] Sichuan Normal Univ, VC & VR Prov Key Lab, Chengdu, Sichuan, Peoples R China; [Liu, Liu] Univ Elect Sci & Technol, Sch Math Sci, Chengdu, Sichuan, Peoples R China	Liu, L (reprint author), Sichuan Normal Univ, Sch Math, Chengdu, Sichuan, Peoples R China.; Liu, L (reprint author), Sichuan Normal Univ, VC & VR Prov Key Lab, Chengdu, Sichuan, Peoples R China.; Liu, L (reprint author), Univ Elect Sci & Technol, Sch Math Sci, Chengdu, Sichuan, Peoples R China.	liuliu@sicnu.edu.cn	Liu, Liu/AAE-4443-2019					22	1	1	0	3	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND	0094-9655	1563-5163		J STAT COMPUT SIM	J. Stat. Comput. Simul.		2018	88	13					2463	2472		10.1080/00949655.2018.1467912			10	Computer Science, Interdisciplinary Applications; Statistics & Probability	Computer Science; Mathematics	GK8EL	WOS:000436450800001					2020-05-24	
J	Wu, WQ; Tang, YH; Yu, MM; Jiang, Y; Liu, H				Wu, Wenqing; Tang, Yinghui; Yu, Miaomiao; Jiang, Ying; Liu, Hui			Reliability analysis of a k-out-of-n:G system with general repair times and replaceable repair equipment	QUALITY TECHNOLOGY AND QUANTITATIVE MANAGEMENT			English	Article						k-out-of-n:G system; replaceable repair equipment; semi-Markov process; reliability measures	MODEL; AVAILABILITY; COMPONENTS; FACILITY; POLICY	This paper studies a k-out-of-n:G repairable system with one replaceable repair equipment, where the lifetimes and repair times of components follow exponential distributions and arbitrary distributions, respectively. When one component breaks down, it is repaired by the repair equipment. Further, the repair equipment may fail during the repair period and then be replaced by a new one. The replacement time of the repair equipment is a generally distributed random variable. Employing the semi-Markov process theory and the Laplace (Laplace-Stieltjes) transform, the mean time to the first failure, the steady-state system availability, the rate of occurrence of failures of the system, the probability that the repair equipment is being replaced and the rate of occurrence of failures of the repair equipment are derived. Meanwhile, some numerical illustrations are reported to demonstrate how the various parameters of the model influence the behaviour of the system. Finally, a special case (n - 1)-out-of-n:G repairable system is discussed to validate the correctness of the theoretical results.	[Wu, Wenqing; Yu, Miaomiao; Jiang, Ying; Liu, Hui] Southwest Univ Sci & Technol, Sch Sci, Mianyang, Sichuan, Peoples R China; [Wu, Wenqing; Tang, Yinghui] Sichuan Normal Univ, Sch Math & Software Sci, Chengdu, Sichuan, Peoples R China	Wu, WQ (reprint author), Southwest Univ Sci & Technol, Sch Sci, Mianyang, Sichuan, Peoples R China.; Wu, WQ (reprint author), Sichuan Normal Univ, Sch Math & Software Sci, Chengdu, Sichuan, Peoples R China.	wwqing0704@swust.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [71571127, 71301111]; Doctoral Research Foundation of Southwest University of Science and Technology [15zx7141]	This work was supported by the National Natural Science Foundation of China under [grant number 71571127], [grant number 71301111]; the Doctoral Research Foundation of Southwest University of Science and Technology under [grant number 15zx7141].		26	3	3	0	7	NCTU-NATIONAL CHIAO TUNG UNIV PRESS	TAICHUNG	NO 100, WENHWA RD, TAICHUNG, 40724 ROC, TAIWAN	1684-3703	1811-4857		QUAL TECHNOL QUANT M	Qual. Technol. Quant. Manag.		2018	15	2					274	300		10.1080/16843703.2016.1226712			27	Engineering, Industrial; Operations Research & Management Science; Statistics & Probability	Engineering; Operations Research & Management Science; Mathematics	GB8PX	WOS:000429338900006					2020-05-24	
J	Ge, NN; Bai, S; Chang, J; Ji, GF				Ge, Ni-Na; Bai, Sha; Chang, Jing; Ji, Guang-Fu			Shock response of condensed-phase RDX: molecular dynamics simulations in conjunction with the MSST method	RSC ADVANCES			English	Article							EXCITED ELECTRONIC STATES; THERMAL-DECOMPOSITION; ENERGETIC MATERIALS; HMX; HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE; DISSOCIATION; SPECTROSCOPY; SENSITIVITY; PREDICTION; MECHANISM	We have performed molecular dynamics simulations in conjunction with the multiscale shock technique (MSST) to study the initial chemical processes of condensed-phase RDX under various shock velocities (8 km s(-1), 10 km s(-1) and 11 km s(-1)). A self-consistent charge density functional tight-binding (SCC-DFTB) method was used. We find that the N-NO2 bond dissociation is the primary pathway for RDX with the NO2 groups facing (group 1) the shock, whereas the C-N bond scission is the dominant primary channel for RDX with the NO2 groups facing away from (group 2) the shock. In addition, our results present that the NO2 groups facing away from the shock are rather inert to shock Loading. Moreover, the reaction pathways of a single RDX molecule under the 11 km s(-1) shock velocity have been mapped out in detail, NO2, NO, N2O, CO and N-2 were the main products.	[Ge, Ni-Na] Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621010, Peoples R China; [Bai, Sha; Ji, Guang-Fu] China Acad Engn Phys, Inst Fluid Phys, Lab Shock Wave & Detonat Phys Res, Mianyang 621900, Peoples R China; [Chang, Jing] Sichuan Normal Univ, Inst Solid State Phys, Chengdu 610101, Sichuan, Peoples R China	Ge, NN (reprint author), Southwest Univ Sci & Technol, State Key Lab Cultivat Base Nonmet Composites & F, Mianyang 621010, Peoples R China.	genina911@163.com		ji, guang fu/0000-0002-0033-6765	National Natural Science Foundation of ChinaNational Natural Science Foundation of China [11504304, 11304211]; Open Project of State Key Laboratory Cultivation Base for Nonmetal Composites and Functional Materials [15zxfk08]; Longshan academic talent research supporting program of SWUST [17LZX674]; Sichuan Science and Technology Program [2018GZ0333, 2017TD0020]; Science Challenging Program [JCKY2016212A501]	The authors would acknowledge the National Natural Science Foundation of China (Grant No. 11504304 and 11304211), the Open Project of State Key Laboratory Cultivation Base for Nonmetal Composites and Functional Materials (15zxfk08) and Funded by Longshan academic talent research supporting program of SWUST No. 17LZX674, Supported by Sichuan Science and Technology Program 2018GZ0333 and 2017TD0020. Science Challenging Program JCKY2016212A501.		40	4	4	2	9	ROYAL SOC CHEMISTRY	CAMBRIDGE	THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND	2046-2069			RSC ADV	RSC Adv.		2018	8	31					17312	17320		10.1039/c8ra00409a			9	Chemistry, Multidisciplinary	Chemistry	GK0SN	WOS:000435822200032		DOAJ Gold			2020-05-24	
