PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Yu, WH; Nie, SC; Bai, YF; Jing, Y; Wang, BQ; Hu, P; Zhao, KQ				Yu WenHao; Nie ShiChang; Bai YueFeng; Jing Yang; Wang BiQin; Hu Ping; Zhao KeQing			Synthesis of disk-rod-disk liquid crystal trimers by using click chemistry	SCIENCE CHINA-CHEMISTRY			English	Article						liquid crystal trimer; triphenylene; rectangular columnar mesophase; click chemistry; copper(I) catalyzed alkyne azide cycloaddition	PURIFICATION; DIMERS; PHASE	A series of disk-rod-disk liquid crystal trimers were synthesized. CuI-NEt3 catalyzed alkyne azide cycloaddition in toluene at room temperature connected two triphenylene discogens to a biphenyl rod-shaped mesogen. The trimers were characterized by using H-1 NMR, IR, and high resolution mass spectrometry. The mesomorphic properties were investigated using polarized optical microscopy (POM), differential scanning calorimetry (DSC), and wide-angle X-ray diffraction. The results showed that the trimers exhibited rectangular columnar mesophase (Col(r)). The length of the flexible spacer connecting the three segments has prominent influence on the phase transition temperatures of the trimers.	[Yu WenHao; Nie ShiChang; Bai YueFeng; Jing Yang; Wang BiQin; Hu Ping; Zhao KeQing] Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China	Zhao, KQ (reprint author), Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China.	kqzhao@sicnu.edu.cn		Zhao, Ke-Qing/0000-0001-5703-3768	National Natural Science Foundation of ChinaNational Natural Science Foundation of China [20872104, 50673069, 50973076]	This work was supported by the National Natural Science Foundation of China (20872104, 50673069 and 50973076).		36	11	11	1	18	SCIENCE PRESS	BEIJING	16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA	1674-7291	1869-1870		SCI CHINA CHEM	Sci. China-Chem.	MAY	2010	53	5					1134	1141		10.1007/s11426-010-0140-x			8	Chemistry, Multidisciplinary	Chemistry	604FU	WOS:000278263500024					2020-05-24	
J	Li, LY; Xu, SM; Ju, ZJ; Zhang, Z; Liao, FH; Li, GB				Li Lin-yan; Xu Sheng-ming; Ju Zhong-jun; Zhang Zhang; Liao Fu-hui; Li Guo-bao			Dialkyl phosphinic acids: Synthesis and applications as extractant for nickel and cobalt separation	TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA			English	Article						dialkylphosphinic acid; free radical addition; extraction; cobalt/nickel separation	SOLVENT-EXTRACTION; CYANEX-272; GALLIUM; INDIUM; METALS	Three kinds of dialkylphosphinic acids (DAPAs), i.e. dihexylphophinic acid (DHPA), di-(2,4,4-trimethylpentyl) phosphinic acid (DTMPPA) and didecylphophinic acid (DDPA), were synthesized through free radical addition reaction. The influence of the types of initiator, reation time and reaction temperature on the yield of DAPAs were investigated. The products were characterized by NMR and MS. By using DHPA, DTMPPA and DDPA (10% in kerosene) as extractants, the extraction of Co2+ and Ni2+ in sulphate medium at different equilibrium pH values were measured. The results show that the maximum yield of DHPA, DTMPPA and DDPA can all be achieved at about 130 degrees C under the initiation of di- tert-butyl peroxide (DTBP). All the extraction of cobalt with respect to DHPA, DDPA and DTMPPA precedes that of nickel. The difference in pH(1/2) value (defined as the pH at which 50% metal extraction occurs) between cobalt and nickel increases in the following sequence from large to small: DHPA, DDPA and DTMPPA, which indicates that the separation ability for cobalt and nickel ascends from DHPA, DDPA to DTMPPA.	[Li Lin-yan; Xu Sheng-ming; Ju Zhong-jun] Tsinghua Univ, Inst Nucl & New Energy Technol, Beijing 100084, Peoples R China; [Li Lin-yan; Liao Fu-hui; Li Guo-bao] Beijing Natl Lab Mol Sci, Beijing 100080, Peoples R China; [Zhang Zhang] Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China	Xu, SM (reprint author), Tsinghua Univ, Inst Nucl & New Energy Technol, Beijing 100084, Peoples R China.	smxu@tsinghua.edu.cn			National Basic Research Program of ChinaNational Basic Research Program of China [2007CB613506]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China [50674060, 50734005]	Foundation item: Projects(2007CB613506) supported by the National Basic Research Program of China; Projects(50674060, 50734005) supported by the National Natural Science Foundation of China		15	7	7	1	26	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	1003-6326	2210-3384		T NONFERR METAL SOC	Trans. Nonferrous Met. Soc. China	MAY	2010	20			1			S205	S210		10.1016/S1003-6326(10)60040-4			6	Metallurgy & Metallurgical Engineering	Metallurgy & Metallurgical Engineering	610CE	WOS:000278706500039					2020-05-24	
J	Zhang, FL; Zhang, D; Hu, WH; Li, LC				Zhang Fulan; Zhang Di; Hu Wuhong; Li Laicai			A Theoretical Study on the Reaction Mechanism of 4-Fluorobenzaldehyde, beta-Naphthylamine and Meldrum's Acid One-pot to Form 1-(4-Fluorophenyl)-1,2-Dihydrobenzo[f] Quinolin-3(4H)-one	ACTA CHIMICA SINICA			Chinese	Article						4-fluorobenzaldehyde; beta-naphthylamine; meldrum's acid; 1-(4-fluorophenyl)-1,2-dihydrobenzo[f] quinolin-3(4H)-one; reaction mechanism; solvent effects	DERIVATIVES; ANALOGS; WATER	The reaction mechanism of 4-fluorobenzaldehyde, beta-naphthylamine and meldrum's acid one-pot to form 1-(4-fluorophenyl)-1,2-dihydrobenzo[f] quinolin-3(4H)-one were studied by density functional theory. The geometries of the reactants, transition states, intermediates and products were optimized at the B3LYP/6-311G* level. Vibration analysis was carried out to confirm the transition state structure, and the intrinsic reaction coordinate (IRC) method was performed to search the reaction path. In addition, atoms in molecules (AIM) theories were used to discuss bond natures. The reaction in water solution was investigated at the same level with SCRF(PCM) method. Reaction pathways were investigated in this study. The result indicates that the reaction Re -> TS1 -> IM1 -> TS2 -> IM2 -> TS3 -> IM3 -> TS4 -> IM5 -> TS7 -> IM9 -> TS13 -> IM10 -> TS14 -> P3 is the main pathway, the activation energy of which is the lowest. The dominant product predicted theoretically is in agreement with the experiment results.	[Zhang Fulan; Hu Wuhong] Yangtze Normal Univ, Coll Chem & Chem Engn, Chongqing 408100, Peoples R China; [Zhang Di; Li Laicai] Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China	Zhang, FL (reprint author), Yangtze Normal Univ, Coll Chem & Chem Engn, Chongqing 408100, Peoples R China.	cjsy0606@163.com						19	1	1	0	0	SCIENCE CHINA PRESS	BEIJING	16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA	0567-7351			ACTA CHIM SINICA	Acta Chim. Sin.	APR 28	2010	68	8					760	768					9	Chemistry, Multidisciplinary	Chemistry	601FO	WOS:000278043900006					2020-05-24	
J	Li, XG; Wu, YH; Lai, SY				Li, Xiaoguang; Wu, Yonghong; Lai, Shaoyong			A sharp threshold of blow-up for coupled nonlinear Schrodinger equations	JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL			English	Article							POSITIVE SOLUTIONS; GLOBAL EXISTENCE; SOLITARY WAVES; CAUCHY-PROBLEM; R-N; SYSTEM	This paper is concerned with the coupled supercritical nonlinear Schrodinger equations which have applications in many physical problems, especially in nonlinear optics. Two types of new invariant evolution flows are established. A sharp threshold of blow-up and global existence of solutions for the equations is derived. It is shown that the main result obtained includes parts of those presented by Fanelli and Montefusco (2007 J. Phys. A: Math. Theor. 40 14139-50).	[Li, Xiaoguang] Sichuan Normal Univ, Sichuan Prov Key Lab Comp Software, Chengdu 610066, Peoples R China; [Wu, Yonghong] Curtin Univ Technol, Dept Math & Stat, Perth, WA 6845, Australia; [Lai, Shaoyong] SW Univ Finance & Econ, Dept Appl Math, Chengdu 610074, Peoples R China	Li, XG (reprint author), Sichuan Normal Univ, Sichuan Prov Key Lab Comp Software, Chengdu 610066, Peoples R China.	lixiaoguang1235@msn.com; Y.Wu@curtin.edu.au; laishaoy@swufe.edu.cn	Wu, Yong Hong/D-4327-2013	Wu, Yong Hong/0000-0003-1028-1785	National Natural Science Foundation of PR ChinaNational Natural Science Foundation of China [10771151]; Chinese Ministry of EducationMinistry of Education, China [109140]	This work is supported by both the National Natural Science Foundation of PR China (10771151) and the Key Project of Chinese Ministry of Education (109140).		22	9	9	0	3	IOP PUBLISHING LTD	BRISTOL	TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND	1751-8113			J PHYS A-MATH THEOR	J. Phys. A-Math. Theor.	APR 23	2010	43	16							165205	10.1088/1751-8113/43/16/165205			11	Physics, Multidisciplinary; Physics, Mathematical	Physics	577EI	WOS:000276204400009					2020-05-24	
J	Zhao, GP; Bo, N; Zhang, HW; Feng, YP; Deng, Y				Zhao, G. P.; Bo, N.; Zhang, H. W.; Feng, Y. P.; Deng, Y.			Demagnetization process and hysteresis loops in perpendicularly oriented hard/soft trilayers	JOURNAL OF APPLIED PHYSICS			English	Article							MAGNETIZATION REVERSAL; DOMAIN-WALLS; MAGNETS; NANOLAYERS	Nucleation and evolution of domain walls as well as the magnetic reversal process in perpendicularly oriented hard/soft trilayers have been investigated within a micromagnetic approach, concentrated on the situation with very thin hard layer. The formula for the nucleation field has been derived, which falls as the soft layer thickness rises. Negative nucleation field occurs at thick soft layer when the shape anisotropy surpasses the crystalline one, where the magnetization in the center of the soft layer obeys the coherent rotation model. The microscopic and macroscopic hysteresis loops have been calculated numerically, with the angular distribution of the magnetization between the nucleation and pinning fields obtained. The area of the hysteresis loop decreases while the coercivity mechanism changes from nucleation to pinning as the soft layer thickness increases. The effect of the hard layer thickness is contrary to that of the soft layer, however, the former affects the demagnetization process and hysteresis loops significantly only when the layers are thin enough. (C) 2010 American Institute of Physics. [doi:10.1063/1.3356984]	[Zhao, G. P.; Bo, N.; Deng, Y.] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610066, Peoples R China; [Zhao, G. P.; Zhang, H. W.] Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China; [Feng, Y. P.] Natl Univ Singapore, Dept Phys, Singapore 117542, Singapore	Zhao, GP (reprint author), Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610066, Peoples R China.	zhaogp@uestc.edu.cn	Feng, Yuan Ping/A-4507-2012	Feng, Yuan Ping/0000-0003-2190-2284; Zhao, Guoping/0000-0002-3327-9445	National Natural Science Foundation of ChinaNational Natural Science Foundation of China [10747007]; Scientific Research Foundation for the Returned Overseas Chinese Scholars, State Education MinistryScientific Research Foundation for the Returned Overseas Chinese Scholars	This work is supported by the financial support from National Natural Science Foundation of China (Grant No. 10747007) and the Scientific Research Foundation for the Returned Overseas Chinese Scholars, State Education Ministry.		18	12	13	0	17	AMER INST PHYSICS	MELVILLE	1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA	0021-8979	1089-7550		J APPL PHYS	J. Appl. Phys.	APR 15	2010	107	8							083907	10.1063/1.3356984			6	Physics, Applied	Physics	591LX	WOS:000277303200062					2020-05-24	
J	Zhang, Y; Wang, X; Li, LC				Zhang Ying; Wang Xin; Li Laicai			Theoretical Investigation on Reaction Mechanism of H2O2 Dismutation Catalyzed by a Non-heme Tetraaza Annulene Complex [Fe(III)TMTAA]	ACTA CHIMICA SINICA			Chinese	Article						macrocyclic complex; tetraaza annulene; catalase mimic; density functional theory; reaction mechanism; intermediate; transition state	DENSITY-FUNCTIONAL THEORY; CRYSTAL-STRUCTURES; TRANSITION-METALS; MACROCYCLIC LIGAND; COMPOUND I; BASIS-SETS; CATALASE; DERIVATIVES; DIANION; 4-COORDINATE	The reaction mechanism of H2O2 dismutation catalyzed by a non-heme tetraaza annulene complex [Fe(III)TMTAA] has been investigated by density functional theory using the B3LYP functional. All the stationary points on the doublet, quartet, and sextet potential energy surfaces (PES) have been fully optimized. The reaction undergoes preferentially on the quartet PES. The whole reaction can be divided into two stages. In the stage 1, the complex is oxidized by H2O2 through an O-O bond homolytic cleavage pathway and the intermediate IM6 and the first H2O molecule are formed. In the stage 2, the IM6 is reduced by the second H2O2 molecule via two hydrogen abstraction steps and O-2 and the second H2O are formed. The rate-determining step was found to be the O-O bond breaking step with a barrier of 63.9 kJ.mol(-1). The calculated barrier for the O-O homolytic cleavage in dismutation of free H2O2 is 226.7 kJ.mol(-1). The results indicate that the [Fe(III)TMTAA] complex can decrease energy barrier of the titled reaction and it may be a potential candidate for catalase mimic.	[Zhang Ying; Li Laicai] Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China; [Wang Xin] Sichuan Univ, Fac Chem, Chengdu 610064, Peoples R China	Zhang, Y (reprint author), Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China.	wangxin@scu.edu.cn; lilcmail@163.com						39	0	0	0	10	SCIENCE PRESS	BEIJING	16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA	0567-7351			ACTA CHIM SINICA	Acta Chim. Sin.	APR 14	2010	68	7					633	640					8	Chemistry, Multidisciplinary	Chemistry	592YU	WOS:000277418700006					2020-05-24	
J	Gao, DJ; Lai, X; Cui, CH; Cheng, P; Bi, J; Lin, DM				Gao, Daojiang; Lai, Xin; Cui, Chunhua; Cheng, Ping; Bi, Jian; Lin, Dunmin			Oxidant-assisted preparation of CaMoO4 thin film using an irreversible galvanic cell method	THIN SOLID FILMS			English	Article						Calcium molybdate; Thin films; Galvanic cell; X-ray diffraction; Scanning electron microscopy; Photoluminescence	ROOM-TEMPERATURE; PHOTOLUMINESCENCE PROPERTIES; ELECTROCHEMICAL TECHNIQUE; OPTICAL CHARACTERIZATION; HYDROTHERMAL SYNTHESIS; BAMOO4 FILM; FABRICATION; CAWO4; DEPOSITION; GROWTH	CaMoO4 thin films were prepared by an irreversible galvanic cell method at room temperature; the crystalline phase structure, surface morphology, chemical composition and room temperature photoluminescence property were characterized by X-ray diffraction, Raman spectroscopy, scanning electronic microscopy, X-ray photoelectron spectroscopy as well as photoluminescence spectroscopy. Our results reveal that it is very difficult to directly deposit dense and uniform CaMoO4 thin films in saturated Ca(OH)(2) solution at room temperature by the irreversible galvanic cell method. After adding some oxidant (NaCIO solution or H2O2 solution), the growth of CaMoO4 grains has been promoted, and well-crystallized, dense, and uniform CaMoO4 films were obtained. The as-prepared CaMoO4 films exhibit a good green photoluminescence, with the excitation of various wavelengths (220 nm, 230 nm, 240 nm, 250 nm and 270 nm) of ultraviolet irradiation. (C) 2009 Elsevier B.V. All rights reserved.	[Gao, Daojiang; Lai, Xin; Cui, Chunhua; Cheng, Ping; Bi, Jian; Lin, Dunmin] Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China	Gao, DJ (reprint author), Sichuan Normal Univ, Coll Chem & Mat Sci, 5 Jingan Rd, Chengdu 610066, Peoples R China.	daojianggao@126.com; laixin1972@126.com	Cui, Chunhua/C-5715-2008; Lin, Dunmin/D-6765-2012	Cui, Chunhua/0000-0002-2774-1576; Lin, Dunmin/0000-0002-2245-6717	National Natural Science Foundation of ChinaNational Natural Science Foundation of China [50472103]; Sichuan Youth Science & Technology Foundation [08ZQ026-054]; Foundation of Sichuan Normal University [08KYL02]	This work was supported by the National Natural Science Foundation of China (No. 50472103), Sichuan Youth Science & Technology Foundation (No. 08ZQ026-054) and the Foundation of Sichuan Normal University (No. 08KYL02).		34	16	18	0	17	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	0040-6090			THIN SOLID FILMS	Thin Solid Films	APR 2	2010	518	12					3151	3155		10.1016/j.tsf.2009.08.040			5	Materials Science, Multidisciplinary; Materials Science, Coatings & Films; Physics, Applied; Physics, Condensed Matter	Materials Science; Physics	582DB	WOS:000276574700002					2020-05-24	
J	Wu, SQ; Hou, T; Zhao, GP; Yu, WL				Wu Shao-Quan; Hou Tao; Zhao Guo-Ping; Yu Wan-Lun			Magnetotransport through an Aharonov-Bohm ring with parallel double quantum dots coupled to ferromagnetic leads	CHINESE PHYSICS B			English	Article						Kondo effect; double quantum dots; Aharonov-Bohm ring; magnetoresistance	TRANSPORT; SYSTEMS	Using the Keldysh nonequilibrium Green function and equation-of-motion technique, this paper studies the magnetotransport through an Aharonov-Bohm (AB) ring with parallel double quantum dots coupled to ferromagnetic leads. It calculates the transmission probability in both the equilibrium and the nonequilibrium case, analyses the conductance and the tunnel magnetoresistance for various parameters, and obtains some new results. These results show that this system is provided with an excellent spin filtering property, and that a large tunnelling magnetoresistance and a negative tunnelling magnetoresistance can arise by adjusting relative parameters; these facts indicate that this system is a possible candidate for spin valve transistors, and has important applications in spintronics.	[Wu Shao-Quan; Hou Tao; Zhao Guo-Ping; Yu Wan-Lun] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610068, Peoples R China	Wu, SQ (reprint author), Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610068, Peoples R China.	sqwucd@yahoo.com.cn		Zhao, Guoping/0000-0002-3327-9445	Scientific Research Fund of the Education Department of Sichuan Province of China [2006A069]; Funds for Major Basic Research Project of Sichuan Province of China [2006J13-155]	Project supported by the Scientific Research Fund of the Education Department of Sichuan Province of China (Grant No. 2006A069) and Funds for Major Basic Research Project of Sichuan Province of China (Grant No. 2006J13-155).		33	5	5	0	3	IOP PUBLISHING LTD	BRISTOL	TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND	1674-1056	1741-4199		CHINESE PHYS B	Chin. Phys. B	APR	2010	19	4							047202	10.1088/1674-1056/19/4/047202			6	Physics, Multidisciplinary	Physics	586TN	WOS:000276936200058					2020-05-24	
J	Chen, JF; Wu, SQ; Hou, T; Zhao, GP				Chen Jia-Feng; Wu Shao-Quan; Hou Tao; Zhao Guo-Ping			Kondo and Coulomb Interaction Effects in Spin-Polarized Transport through Double Quantum Dots	CHINESE PHYSICS LETTERS			English	Article							FERROMAGNETIC LEADS; MESOSCOPIC RING	By means of the slave-boson mean-field approximation, we theoretically investigate the Kondo and Coulomb interaction effects in spin-polarized transport through two coupled quantum dots coupled to two ferromagnetic leads by the Anderson Hamiltonian. The density of states is calculated in the Kondo regime for the effect of the interdot Coulomb repulsion with both parallel and antiparallel lead-polarization alignments. Our results reveal that the interdot Coulomb interaction between quantum dots greatly influence the density of states of the dots. We then clarify relevant underlying physics of this problem.	[Chen Jia-Feng; Wu Shao-Quan; Hou Tao; Zhao Guo-Ping] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610068, Peoples R China	Chen, JF (reprint author), Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610068, Peoples R China.	chenjiafeng1983@yahoo.com.cn		Zhao, Guoping/0000-0002-3327-9445	Education Department of Sichuan Province [2006A069]; Major Basic Research Project of Sichuan Province [2006J13-155]	Supported by the Scientific Research Funds of Education Department of Sichuan Province under Grant No 2006A069, the Major Basic Research Project of Sichuan Province under Grant No 2006J13-155.		20	4	5	0	1	IOP PUBLISHING LTD	BRISTOL	DIRAC HOUSE, TEMPLE BACK, BRISTOL BS1 6BE, ENGLAND	0256-307X			CHINESE PHYS LETT	Chin. Phys. Lett.	APR	2010	27	4							047201	10.1088/0256-307X/27/4/047201			4	Physics, Multidisciplinary	Physics	577EC	WOS:000276203700053					2020-05-24	
J	Dan, L				Dan, Li			An Analysis of The French Lieutenant' s Woman with the Theory of Historiographic Metafiction	FOREIGN LITERATURE STUDIES			Chinese	Article						historiographic metafiction; The French Lieutenant' s Woman; Linda Hutcheon; ideology; fiction		This article analyzes The French Lieutenant' s Woman with the theory of historiographic metafiction. The present author holds that this text has both self-reference of metafiction and the reference to exterior hisrory and reality, and that the former has not not only weakened but also strengthened the latter. Employing the metafiction technique of exposing its own fictionality, the novel gives prominence to the fictionality and narrativity of history in the process of telling history as a story, and discloses the narrative logic and ideology in the "objective", "real" history text; furthermore, it reveals how the history and the real world are fictionalized according to discourse hegemony. As a historiographic metafiction, the novel no longer self-refers, self-indulges or disengages itself from history and reality as radical metafiction. It refers to the operation of the discourse of social power and the ideological dialogue under the cover of self-consciousness.	Sichuan Normal Univ, Chengdu 610066, Peoples R China	Dan, L (reprint author), Sichuan Normal Univ, Chengdu 610066, Peoples R China.	superunedan@163.com						10	0	0	1	7	CENTRAL CHINA NORMAL UNIV	WUHAN	152 LUOYU RD, WUHAN, 430079, PEOPLES R CHINA	1003-7519			FOREIGN LIT STUD	Foreign Lit. Stud.	APR	2010	32	2					89	96					8	Literature	Literature	596QD	WOS:000277699100010					2020-05-24	
